AL,11/18/2016,0.016839454
AR,11/18/2016,-0.000396786
AZ,11/18/2016,0.002409042
CA,11/18/2016,0.001704225
CO,11/18/2016,-0.005235586
CT,11/18/2016,-0.002453383
DC,11/18/2016,0.001588452
DE,11/18/2016,-5.04E-05
FL,11/18/2016,-0.002481414
GA,11/18/2016,-0.004856328
HI,11/18/2016,0.015172005
IA,11/18/2016,0.004107065
ID,11/18/2016,-0.000992948
IL,11/18/2016,-0.003100381
IN,11/18/2016,0.009022577
KS,11/18/2016,0.000628072
KY,11/18/2016,0.002754602
LA,11/18/2016,0.015788052
MA,11/18/2016,0.003383963
MD,11/18/2016,0.001856177
ME,11/18/2016,-0.00310675
MI,11/18/2016,0.002256372
MN,11/18/2016,0.001910801
MO,11/18/2016,0.000662286
MS,11/18/2016,0.00618799
MT,11/18/2016,0.002125268
NC,11/18/2016,-0.000939469
ND,11/18/2016,0.006557792
NE,11/18/2016,0.005370627
NH,11/18/2016,-0.000984589
NJ,11/18/2016,-0.003334108
NM,11/18/2016,0.003585376
NV,11/18/2016,0.004715911
NY,11/18/2016,0.00392166
OH,11/18/2016,0.00027509
OK,11/18/2016,0.001259084
OR,11/18/2016,-0.0099703
PA,11/18/2016,-0.002037611
RI,11/18/2016,-0.013320156
SC,11/18/2016,0.00176909
SD,11/18/2016,0.003471312
TN,11/18/2016,0.002118181
TX,11/18/2016,0.00176909
UT,11/18/2016,0.008616464
VA,11/18/2016,-0.005696678
VT,11/18/2016,-0.003428022
WA,11/18/2016,0.002379852
WI,11/18/2016,-0.002897756
WV,11/18/2016,0.016096747
WY,11/18/2016,-0.003587993
