AL,10/29/2016,-0.005426698
AR,10/29/2016,0.016194324
AZ,10/29/2016,0.010936684
CA,10/29/2016,0.00691225
CO,10/29/2016,0.006914563
CT,10/29/2016,0.006767539
DC,10/29/2016,0.002483328
DE,10/29/2016,0.001488659
FL,10/29/2016,0.006024264
GA,10/29/2016,0.013292014
HI,10/29/2016,-0.016857612
IA,10/29/2016,-0.010658001
ID,10/29/2016,0.014168902
IL,10/29/2016,0.00657204
IN,10/29/2016,0.000802027
KS,10/29/2016,0.003636731
KY,10/29/2016,0.012306117
LA,10/29/2016,0.017920756
MA,10/29/2016,0.000406282
MD,10/29/2016,0.007278906
ME,10/29/2016,-0.001919646
MI,10/29/2016,-0.006400043
MN,10/29/2016,0.007340656
MO,10/29/2016,0.012653007
MS,10/29/2016,0.015586652
MT,10/29/2016,0.004406903
NC,10/29/2016,0.007214221
ND,10/29/2016,-0.003570125
NE,10/29/2016,0.008377532
NH,10/29/2016,-0.002407771
NJ,10/29/2016,0.000155118
NM,10/29/2016,-0.00055354
NV,10/29/2016,-0.004601218
NY,10/29/2016,0.00881757
OH,10/29/2016,0.009895152
OK,10/29/2016,0.012951164
OR,10/29/2016,0.007847299
PA,10/29/2016,-0.00180046
RI,10/29/2016,0.012084045
SC,10/29/2016,-0.011953086
SD,10/29/2016,-0.00258902
TN,10/29/2016,-0.000955375
TX,10/29/2016,-0.086655931
UT,10/29/2016,0.010650083
VA,10/29/2016,-0.004982605
VT,10/29/2016,-0.002245159
WA,10/29/2016,0.012429886
WI,10/29/2016,0.010476849
WV,10/29/2016,0.004167113
WY,10/29/2016,0.004442524
