2017-04-24,WA,seattle,@cics_dr_marquez,@dias_siete,new,@lakesammfriends,@sminaev2015,@uicc,@vanguardiason,car,drive-by,help,like,police,say,shooting,team,@cdwgwagov,@cityclubtacoma,@darklayersbook,@mayoredmurray,@westsideseo,book,dark,dinner
2017-04-24,DE,netde,rd,accident,report,sb,old,@dopojeff,ave,lane,next,one,start,traffic,week,wet,airport,church,delaware,dover,great,i-95,network,salem,st,straight
2017-04-24,DC,de,en,que,el,la,dijotrump,las,se,trump,week,muro,2/2,drogas,first,fronterizo,georgetown,gorka,today,al,assault,campus,charged,con,construction,correspondents
2017-04-24,WI,new,april,annual,cdt,madison,tonight,beloit,day,find,says,state,thanks,5:19am,@karinswansonwx,@michellefox47,@thekevinlewis,able,all-new,brought,casino,chippewa,climate,council,days
2017-04-24,FL,&gt;&gt;&gt,50s,80s,@abc27,@alexcorderowx,@panerabread,agriculture,confirms,delivering,expected,ga,gawx,highs,looking,lows,morning,perdue,re,secretary,senate,sonny,south-central,tomorrow,warm,hire
2017-04-24,NH,@seacoastonline,via,@steinhausernh1,brentwood,energy,@dinanelizabeth,@fostersdailydem,nh,portsmouth,woman,@nh1news,@smgphoto,hassan,maggie,police,revision,south,@hbarndollar,@revisionsolar,alleged,art,arts,berwick,include,new
2017-04-24,NE,nebraska,bill,people,@osisports,dog,passed,18-year-old,able,arrested,bob,check,coach,college,collided,convicted,department,earlier,exclusive,felonies,interview,legislature,lincoln,morning,motorcycle,named
2017-04-24,NY,@audioboom,via,new,former,lake,.@curtissliwa,24th,4/24/17,@77wabcradio,adirondack,april,beating,city,company,compelling,coneyisland,easter,eye,help,man,montauk,morning,part,priest,radio
2017-04-24,PA,man,$26.5,.@69news,69news,@chandilowrywfmz,@jimvasilwfmz,@melanie_falcon,allentown,alley,art,awarded,back\xe2\x80\xa6,beating,bethlehem,bowling,brutal,calls,catch,charge,could,crisis,downtown,employees,expresses,fight
2017-04-24,RI,man,new,ri,aaron,police,@amandamilkovits,@kmulvane,baltimore,central,falls,r.i,via,@ed_achorn,@gwaynemiller,@randyedgar1,alleging,connecticut,detox,funeral,gun,health,hiring,lawsuit,monday,newport
2017-04-24,CO,aspen,colorado,@newscpr,april,denver,home,music,one,town,@cbsnews,\xe2\x80\x93,beauty,best,better,brand,business,coffee,day,energy,friends,generation,girl,hall,hear,jobs
2017-04-24,CA,@bakersfieldcali,via,consulate,justice,march,turkish,john,102nd,american,angeles,annual,armenian,bakersfield,cancels,canyon,commemoration,deadly,elton,genocide,kern,lineman,los,martyrs,montebello,monument
2017-04-24,AL,city,pell,talladega,air,confederate,county,place,program,school,$12,7th-grader,8pm,@thestaningold,abuse,annual,approves,apr,barriers,begin,big,board,boe,breaking,building,c\xe2\x80\xa6
2017-04-24,AR,arkansas,new,de,us,@npr,april,pope,sale,see,today,breaking,city,first,game,get,government,make,science,shutdown,south,tax,trump,week,police
2017-04-24,IL,fire,garage
2017-04-24,GA,atlanta,georgia,best,county,days,morning,photos,robbery,trump,earth,event,good,icymi,liberty,news,park,perdue,say,school,secretary,sonny,us,valley,via
2017-04-24,IN,iu,new,home,saturday,april,reported,team,years,\xe2\x80\x93,black,four,friday,race,ready,sunday,time,us,weekend,second,ali,all-american,alpha,baseball,bid
2017-04-24,AZ,$40,29th,6-10pm,@arizonastate,@gowildua,@sgtjenriquez,@thedatadoc,\xe2\x80\x98phoenix,\xe2\x80\xa2,across,albert,another,april,arizona,asu,auction,awareness,benefit
2017-04-24,ID,opinion,piece
2017-04-24,CT,darien,@hannetworkct,live,stamford,watch,connecticut,school,high,fciac,ctbase,new,april,first,bottom,check,greenwich,han,police,set,health,life,saturday,weekend,3rd
2017-04-24,ME,bangor,fire,mesports,st,@jonalba,beats,brewer,college,discuss,final,governor,held,lepage,new,s,time,year,$2,1-0,18,3%tax,4/25/17,5-1,7am,@mattrandall_
2017-04-24,MD,wmdt,$2,chicago,college,crash,fatal,first,former,girls,live,obama,park,pres,services,set,st,tickets,update,police,.@wicosheriff,@47abc,@abc,@abc7news,@abcworldnews
2017-04-24,MA,@breedelstein,andover,spring,city,former,methuen,new,said,@eagletrib,capecod,girls,great,police,school,teacher,abuse,book,boston,check,day,education,photos,reader,sapienza,says
2017-04-24,UT,utah,@udottraffic,clearance,co,crash,est,provo,time,center,closed,i-15,inside,lane,nb,new,pm,school,us,video,400,@ap,@youtube,accident,alive,assist
2017-04-24,MI,boyne,city,gazette,400th,anyone,issue,monroe,buy,county,honor,offering,service,t,today,try,zeeland,114th,12-week,400,99.7,along,also,always,ann
2017-04-24,KS,icymi,kansas,photo,city,gallery,school,sunday,@highplainsjrnl,briefs,check,community,date,display,ehs,events,garden,granada,high,history,issues,ku,latest,park,relays,return
2017-04-24,MT,mtnews,bill,montana,mtpol,mtnews\xe2\x80\xa6,attempt,election,humvee,monday,mtleg,national,shot,state,could,allow,apartments,army,ask,assault,away,blue,bullock,business,charged,charity
2017-04-24,MS,$776,4-1,4-6,45-60,8:30,@davewlox,@kihnemanbp,a.m.-4,acso,act
2017-04-24,SC,county,flood,road,@charlieonair,collision,columbia,please,pm,rain,traffic,weather,4/24/17,advisory,april,area,bonus,boone,cpd,day,drive,floodadvisory,going,hill,home,injuries
2017-04-24,KY,day,us,\xe2\x80\x94,county,monday,new,@record_archlou,may,@archlouky,lexington,st,center,community,high,life,local,people,says,school,sign,still,sunday,week,students
2017-04-24,SD,people,@northernstateu,high,icymi,innings,photo,week,\xe2\x80\x94,back,care,chance,comes,day,days,depression,eat,focus,going,good,low,may,part,program,rain
