2017-04-08,DE,broadcast,photo,11:30,12-6am,20-11,4-8-17,5-2,@curtisinstitute,@shs_glax,academy,aggressive,alan,alert,announce,annual,antennas,arkin,arrest,attend,bach,baltimore,baseball,bed,bet
2017-04-08,HI,|,sub.req,content,free,hawaii,dreams,following,perseverance,prince,resiliency,talent,victoria,waimea,3rd,@hokuleawwv,ag,agency,art,artifacts,auction,biif,bill,bringing,chin,chinese
2017-04-08,NM,new,\xc2\xa0,abq,news,proposed,soda,world,@dailylobo,@dioceseofgallup,@jongabrielb,albuquerque,best,calls,check,county,fiestas2017,funk,help,jesus,lazarus,lights,mexico,much,need,one
2017-04-08,TX,approach,axe,civil,courts\xe2\x80\xa6,dallas,judges,lawyers,oppose,popular,s,story,week
2017-04-08,NC,@reneeswope,always,christ,enough,hundreds,kids,resurrection,scramble,via,life
2017-04-08,ND,new,agweek,best,growing,hall,look,people,pm,rural,temperatures,tv,photos,$382,3:45,@fmredhawks,@pfseed,@redcrossdakotas,\xe2\x80\x8beast,\xe2\x80\x9cfit,addicts,administration,advice,afternoon
2017-04-08,NY,syracuse,budget,new,@circus1903,news,@77wabcradio,cooking,may,@ritacosby,one,state,know,home,de,cuomo,experience,irish,ny,nyc,party,saratoga,sentinel,still,top
2017-04-08,PA,@cpbj,aim,attacks,dog,make,postal,prevent,sets,state,today,top,via,workers,day,house,photos,police,prepares,show,$122,.@pennstatewlax,12-8\xe2\x80\xa6,3-4
2017-04-08,NV,carsoncity,carson,nevada,tahoe,easter,de,el,tiempo,|,city,lasvegas,books,egg,en,honored,housing,hunt,lake,library,may,best,con,coyote,dayton,director
2017-04-08,VA,county,spring,story,|,new,next,best,chance,high,plans,see,team,thebreezeatvpas,virginia,photos,win,@ajfriedenberger,@andybittervt,association,could,crash,crews,fire,following,good
2017-04-08,CO,season,colorado,aspen,business,crash,fun,grand,greeley,much,new,valley,attack,breakfast,check,denver,even,get,girls,high,jobs,see,slope,soccer,spring,start
2017-04-08,CA,@pyaradio,\xd4\xb5\xd6\x82,\xd5\x88\xd6\x80,\xe2\x80\x9cthere,\xe2\x80\x9cwe
2017-04-08,AL,\xe2\x80\x93,7th,age,betty,fri,hamilton,long,stidham,april
2017-04-08,AR,arpreps,fort,smith,arkansas,correspondents,fire,family,music,see,soccer,@,@nwatracy,days,first,signs,springdale,two,@fssouthside,@grizzliesnhs,@hogeyemarathon,@nwstulsa,angel,annual
2017-04-08,IL,rockford,side,syria,west,berg,black,center,chicago,corcoran,death,electronics,fashion,grocery,hhgregg,hoo,irvin,jenny,korean,nordstrom,one,pops,protest,rehabilitation,richard,right
2017-04-08,IN,game,@acjetsathletics,bellmont,9:00am,adams,advisory,county,family,frost,jay,south,update,$100,13-8,5-0,5-2,50th,@acjetstennis,ac,anniversary,awarded,band,blanks,busines\xe2\x80\xa6
2017-04-08,AZ,azcollectibles,@frontlinepbs,paintings
2017-04-08,ME,mesports,maine,nac,ordinance,22,6\xe2\x80\x939,@bowdoincollege,@bowdoinorient,@fresheggsdaily,@marthastewart,\xe2\x80\x94,advice,amended,area,backyard,bangor,bangor-native,barnet,basketball,bimf,blog,books,bowdoin
2017-04-08,MD,baltimore,county,@47abc,@lilizhengtv,\xe2\x80\x9cthe,afro,afronews,bond,breweries,child,director,happening,history,maryland,sell,tonight,beer,.@kdrabinski,.@theannextheater,19-year-old,@47abcsports,@_terrault_
2017-04-08,MA,irish,marathon,town,@harnishfegerim,@jackfoleyhn,@lisakash23,boston,dedham,fight,haverhill,life,see,new,.@aly_raisman,3-0,@inkym,@merrimack,@nhswhalers,@zoesmathews,april,arrested,ask,bring,cancer,capecod
2017-04-08,UT,utah,npr,river,dance,team,forecast,green,hear,high,rodeo,social,south,spring,wind,@ap,@utclimatecenter,advisory,also,arts,baseball,bear,cedar,center,cocktail
2017-04-08,MO,@randyspeer_dsj,holden,liveonktvo,-0500,apr,hill,fri,one,tigers,@phs_stitchball,bottom,county,game,third,2b,scores,two,us,warrensburg,.@phs_stitchball,1st,2-run,@kq2,b6,ball
2017-04-08,MI,$16,$640k,.@cmusga,.@cmusoftball,5-7:30,@cmuspj,@greekweekcmu,@owls_cmu,age,akron,allows,also,announced,arranger,ask,asking,assault,attitudes,august,author,beautify
2017-04-08,KS,\xe2\x80\x9cyour,gorsuch,graduated,high,honor,michael,pittsburg,trent,school
2017-04-08,MT,montana,mtnews,bill,billings,boyd,diane,goodall,hall,jane,mtpol,photos,s,wolves,2nd,@ccsaints,accused,act,admits,aging,aimed,anti-suicide,aquarium,areas,baez
2017-04-08,MS,new,@kihnemanbp,@usccb,away,cast,committed,dispatches,fifth,heart,lent,lord,repenta\xe2\x80\xa6,says,sins,spirit,emergency,make,saturday,april,week
2017-04-08,KY,\xe2\x80\x93,@kykernelsports,@wdavis_wbko,party,day,-albert,31st,715th,@cwnewsjournal,@louisvillecom,@louisvillemag,@nkuedu,@nkunorse,@northernersport,@pontifex,@trainsmagazine,@wasatch_rail,aaron,adds,afraid,american,annual,another
2017-04-08,OR,@kdrv,@spencer_wnews,pearblossomfestival,@corbanathletics,hatsofpearblossom,newswatch,sweep,@bipartisan,@corbansoftball,@critfc,best,boat,ccc,college,columbia,contenders,doubleheader,falls,family,get,idpreps,one,past,pear,powers
