2017-03-19,DE,@dopojeff,golf,st,years,beach,case,crawl,missed,ocean,photos,police,pub,road,shooting,star,step,think,trip,trump,view,wait,west,worcester
2017-03-19,HI,|,sub.req,content,free,holding,lake,state,|\xe2\x80\xa6,242-6343,808,@elsprincipal,@hawaiiredcross,alpine,already\xe2\x80\x99,atop,back,beach,beaches,bears,bee,bigisland,breaks,captures,check
2017-03-19,WY,cowgirls,wyoming,get,high,many,school,season,spring,time,wnit,would,students,2nd,6-figure,68-67,abolish,according,across,act,adult,affects,airport,all-terrain,americans,approximately
2017-03-19,NH,10towatch,21-40,3/18/17,603-470-3343,9-12,@donnasoucy,@nh1news,@nhdoti89,@nhstateparks,@officialkeef,@senatorsanborn,\xe2\x81\xb0the,age
2017-03-19,NJ,group,nj,school,windsor,april,cape,support,@artiequitter,class,college,day,eht,hearing,m,nationally,police,sbdc,scheduled,shopstrangenj,st,stage,township,weekend,west
2017-03-19,NM,3rd,5,5-4,5th,artesiainvite,beings,belen,bhs,cruces,even,finish,gallup
2017-03-19,TX,clients,comes,firm,law,matter,metrics,think
2017-03-19,NC,fire,ncaa,police,trump,win,game,de,duke,|,chief,former,greenville,hornets,new,apartment,chuck,county,detained,greenvillenc,hampton,lambert,march,nc,news
2017-03-19,ND,b,class,stateb,game,championship,dakota,photo,spring,agriculture,agweek,basketball,boys,national,north,oak,quarter,tournament,tv,win,3rd,ag,al,announces,authorities
2017-03-19,NE,nebraska,north,help,high,new,school,soccer,15mph,@jackiekentnews,@mtobiasnetnews,around,beatrice,born,check,fire,forecast,gering,girls,head,highs,lnk911,march,opinion,platte
2017-03-19,TN,6th,big,city,county,firm,get,miss,one,take,via,@laurenmo_,@rustyellis13,@tdt_sports,baseball,baylor,best,butler,call,company,congratulations,cumberland,elizabeth,falls,field
2017-03-19,PA,township,$500,.@caluofpa,67-year-old,@bucknellu,@litmagmadness,@notredame,@notredamereview,@scotttady,@wahlburgers,accused,adams,archaeology,attention,brady,coming,growing,hey,illegal,library,litmagmadness,lived,marijuana,mars
2017-03-19,VA,virginia,see,|,today,wnit,covaideahouse,cuts,hokies,jmu,odu,round,us,come,day,eight,local,march,may,new,position,second,spring,tech,win
2017-03-19,CO,aspen,aspen2017,day,fire,greeley,gs,high,world,boulder,spring,@boulderoem,check,denver,durango,look,sunshinefire,updates,@mikaelashiffrin,area,county,cup,final,formation,great
2017-03-19,AL,\xe2\x80\x93,age,hamilton,hartwick,mar,nancy,obituary
2017-03-19,AR,harrison,lsu,new,saturday,year,4-1,6th,@lsutarpcrew,arkansas,arpreps,ballot,berry,bills,bureau,catch,chuck,consider,convention,crew,details,division,fight,geauxtigers,gettin,grounds
2017-03-19,GA,$66
2017-03-19,IA,70s,breezy,check,fever,light,made,mostly,normal,record,spring,summer,temp
2017-03-19,ID,@youtube,via,could,idaho,local,shooting,state,baseball,basketball,begins,boise,car,championships,charged,cheer,csi,dozens,gather,get,icymi,lincoln,luncheon,returns,saturday,team
2017-03-19,UT,soutah,stgeorge,local,utah,city,kitchen,like,mother,new,southern,valley,$38.5,$4m,.@utahtechcouncil,.@vivintarena,20th,@action_utah,@actionstgeorge,@jimdabakis,@lunartwinmusic,@quiet_oaks,@usugymnastics,\xe2\x80\x9chaving
2017-03-19,MO,connection,arrested,council,providence,candidates,chase,como,fight,four,lane,morning,mu,sylvan,tournament,people
2017-03-19,MN,@hibbdailytrib,via,state,chuck,berry,\xe2\x80\x93,back,came,column,letter,march,new,things,us,women,activist,alexandria,another,around,basketball,board,candid,chuckberry,class
2017-03-19,MI,$100,allegedly,annual,arrested,award,bike,botanical,collect,deputy,dose,dpw,fallen,festival,former,gardens,get,honors,incentive,joseph\xe2\x80\x99s,longtime,matthaei
2017-03-19,MT,montana,mtnews,billings,mtpol,west,avalanche,bigfork,end,go,hard,kalispell,mtleg,years,$900k,6-year-old,@bgkord,@k_hought,\xe2\x80\x93,ads,advisory,ago,arrested,back,canal,care
2017-03-19,MS,msu,@sdndannyp,depaul,via,bulldogs,game,hailstate,second,sunday,sweet,us,week
2017-03-19,SC,news,@foxnews,night,today,|,@immigrant4trump,article,day,get,health,like,upstate,white,4th,@_proud_american,advocate,awards,bid,big,blough,blue,carolina,cast,charleston
