2017-05-12,DE,coastal,|,point,$10,\xe2\x80\x94,\xe2\x80\xa2,asks,build,counts,discusses,dump,editor,feathered,get,gmb,holiday,illegal,letters,lights,man,maria,millsboro,millville,mother\xe2\x80\x99s
2017-05-12,WV,st,baseball,@dailyathenaeum,huntington,@sportsturtle11,buffalo,congratulations,editorial,fundraiser,joe,lawrence,manager,moms,past,s,sectional,signing,state,t,tennis,today,tournament,wvugrad,home,students
2017-05-12,HI,|,content,free,sub.req,bigisland,crowned,hawaiian,plan,s,county,$20m,306-unit,aka,asked,begin,borrow,children,close,commitments,condo,copy,council,cultural,due
2017-05-12,WY,$10,happy,mothers,mothers\xe2\x80\x99,day
2017-05-12,TN,$725,@philshow987,@revtonycansler,\xe2\x80\x94,acceptable,alexander,army,arts,ashford,atvs,bank,blotter,bradley,buy,chattanooga,cleveland
2017-05-12,PA,county,@69news,news,beaver,montgomery,new,prison,@jimvasilwfmz,back,charged,correctional,former,hamburg,home,live,officers,problem,breaking,5:30,@alexhoganwfmz,@jaccii,@stampouthunger,allentown,approved,area
2017-05-12,RI,live,back,caldwell,catch,makes,new,scott,text,time,@golocalprov,@kjp,@mollyjoobrien,@nerevolution,\xe2\x80\x9ccrazier,\xe2\x80\x9cmadden,\xe2\x80\x9cnot,alex,ani\xe2\x80\x99s,anything,aponte\xe2\x80\x99s,award,bad,bbq,beckwith
2017-05-12,VA,best,congratulations,winning,gold,hour,store,wfls,93.3,fatima,southside,arrived,bridge,bronze,canonize,consignment,crawl,cute,earn,fatima100,foundations,garden,get,going,greenhouses
2017-05-12,AL,died,@audioboom,bill,gadsdenwall,via,hour,province,05/12,@alnewsnetwork,gadsden,game,@darrellpuckett,city,time,\xe2\x80\x93,coming,fun,house,m&amp;a,montgomery,near,richard,richarddixonshow,talk995
2017-05-12,AR,nwanews,nwark,friday,yell,arkansas,deputy,today,trump,president,springdale,people,comey,arnews,arwx,bella,closed,co,fayetteville,ivey,lane,little,look,man,says,state
2017-05-12,VT,suncmtynews,vermont,business,nh,vt,|,icymi,magazine,new,award,breer,closure,crash,days,enews,eurovision,get,getting,harley,health,high,kingdom,last,led,look
2017-05-12,IL,@crainschicago,chicago,via,crain20s,one,new,man,meet,see,20s,arrested,beloit,cubs,de,diana,get,house,mi,north,staff,strike,woo,@claire_bushey,@dropkickjeffy
2017-05-12,GA,atlanta,+,albany,authorities,barrow,celebrate,chappelle,cobb,county,dave,debbie\xe2\x80\x99s,fraud,lifestyles,man,mother\xe2\x80\x99s,update,reports,$,$1,$7,.@borusg,5th,85th,=
2017-05-12,IN,@14sportsteam,@jdowns14news,@mthompson14news,avoid,semi,softball,usi,area,crash,.@14sportsteam,6-4,@14news,@cnn,@derick14news,@evansvillenhs,@evansvillepd,@ispevansville,@jackie14news,@randy14news,advances,breaking,build,catc\xe2\x80\xa6,challenge,closed
2017-05-12,IA,city,state,@vanman1973,iowa,local,mason,2nd,boys,north,qualify,big,meet,pm,new,council,golf,iahstrack,letter,5/16/17,auction,bid,class,closes,cst,friends
2017-05-12,MA,@barnstablema,@dotnews,@welcometodot,@_catwilldoomyou,bank,capecod,cover,golf,$15m,$22.4m,$39m,$75m,.@dotnews,199-unit,@americanstroke,@businessinsider,@cdcgov,@david_cbinsight,@gillettestadium,@heartmass,@newrconf,@tomecurran,around,authority
2017-05-12,AZ,colorado,river,@,@gowildua,along,college,details,get,graduates,kyma,night,new,a.m,arizona,begins,chance,chemistry,crosby,dallis,din\xc3\xa9,dine,employees,family,footage
2017-05-12,ID,idaho,ibrnews,ibrpeople,2cscoop,@cdapressnews,asks,idpol,idpreps,today,@esicompanies,@lochsaeng,@suarchitecture,@uidaho,ap,appeals,ban,basement,boise,bookstore,ceo,congratulations,dies,drought,falls,farms
2017-05-12,CT,\xe2\x80\x94,darien,school,watch,barlow,connecticut,joel,meeting,new,ondemand,live,news,state,may,boys,budget,day,high,man,weekend,@after_words,@govmalloyoffice,bank,bethel
2017-05-12,MD,930wfmd,@abcpolitics,@mdsp,african
2017-05-12,OK,\xe2\x80\x94,foster,8-year-old,affair,apparent,arrest,attempt,attended,attorney,bartlesville,bpd,bullied,champions,city,currently,double,garden,hilton,homicide,inn,killing,know,large,look,made
2017-05-12,OH,kirkersville,officer,sectional,barberton,licking,shot,suspect,tournament,division,e,friday,get,local,national,norton,st,chief,county,home,new,nursing,two,@917wvxu,@chriscincibiz,@cityofcincy
2017-05-12,UT,utah,river,baseball,logan,provo,soutah,city,stgeorge,@npr,flood,fork,high,national,region,watch,weather,baby,death,editorial,fun,man,names,north,service
2017-05-12,MN,a.m,anti-semitic,bands,bphs,cards,dayton,distracted,downtown,dwi,find,floor,food,foolish,fun
2017-05-12,MI,saturday,$500,4pm,6-9,6am,acts,anyone,arson,art,awarded,claim,fires,forget,holland,investigated,know,looks,monday,normal,pm,project,seat,separate,t,things
2017-05-12,KS,kansas,city,new,usd,board,@derby_sports,coach,good,make,president,s,trump,school,@derbypanther,@highplainsjrnl,@mikec2w,approves,arrest,behavioral,cleanup,comes,commission,compass,connection
2017-05-12,KY,north,prep,track,@thenesports,charge,hardin,wreck,@record_archlou,\xe2\x80\x94,girls,boys,central,grayson,county,day,injured,kentucky,killed,man,today,@archlouky,across,diamond,ems,first-degree
2017-05-12,OR,update,nb,right,lane,foster,i-5,open,still,crash,blocked,glisan,last,odot,traffic,vanwa,exit,friday,i-205,jammed,man,oregon,st,stall,wb,heading
