2017-05-16,WA,spokane,\xe2\x80\x93,former,man,one,trump,breaking,deputy,washington,barber,city,county,hills,house,killed,like,listen,live,morning,seattle,@chronavt,black,centralia,first
2017-05-16,DC,de,en,el,la,arlington,con,d.c,dc,dijotrump,ducks,fox,help,jewish,lo,trump,access,begins,better,boats,capitol,del,dnc,festival,film,get
2017-05-16,WI,weather,latest,bulletins,severe,wiwx,may,\xe2\x80\x93,cdt,wis,green,issued,new,project,state,trump,e-edition,food,home,man,nws,police,school,special,statement,work
2017-05-16,HI,|,sub.req,content,free,bigisland,budget,cancer,council,crack,harry,hirono,increases,kidney,kim\xe2\x80\x99s,mayor,mazie,proposed,sen,tax,treatment,$491.2m,$491.m,accidents,all-american
2017-05-16,FL,60s,90s,away,basketball,chief,find,florida,ga,heat,live,lows,rabies
2017-05-16,WY,wyoming,casper,clinic,closes,expected,july,location,lose,parenthood,photos,planned,seat,state,$10,\xe2\x80\x9cboth,according,among,applicants,asked,attack,attorney,avenue,back,banker,basketball
2017-05-16,NH,@fostersdailydem,@kylerstucker,concord,rollover,hospital,king,man,person,science,@cityofconcordnh,@conmonitornews,@granitegeek,@nikbeimler,biodiversity,cafe,city,dover,dovernh,information,injuries,may,minor,one,pembroke,police
2017-05-16,NJ,@billspadea,@nj1015,may,man,nj,@danzarrow,says,suit,ave,budget,center,crash,day,flags,hopatcong,jersey,letter,morning,park,pork,princeton,service,stop,summer,tix
2017-05-16,NM,albuquerque,abq,@kob4,@morganaguilar,krqenewsbrief,police,@kristencurrietv,\xc2\xa0,atrisco,high,budget,closed,news,nm,nmwx,swat,@lmitri_krqe,big,city,council,due,fire,first,girl
2017-05-16,TX,firms,icymi,bar,law,name,tx,$40m,.@microsoft,.@morganlewislaw,@cisco,@eagleford_shale,@lockelord,@vinsonandelkins,\xe2\x80\x98way,\xe2\x80\xa6,accusations,acquisition,advise,ai,amok,annual
2017-05-16,LA,louisiana,bill,confederate,house,gas,man,shooting,tax,trump,arrest,one,two,us,boost,city,details,first,high,lalege,legislature,monroe,morning,orleans,police,say
2017-05-16,NC,trump,man,us,lockdown,gospel,intel,middle,report,rugby,russia,sex,@joecarter,@sheriffhcso,appropriate,cyberattack,investigation,killed,killings,lady,lake,leader,lifted,mass,mcmaster
