2017-07-27,WA,blizzard,home,miss,scene,t,fire,story,boats,full,park,swag,county,@caphillchamber,@chronnailon,@chronnatalie,@dairyqueen,@fox28_spokane,@kalaechock,@khqmattrogers,also,away,benefits,camp,capitol
2017-07-27,HI,|,content,free,sub.req,\xe2\x80\x93,bigisland,park,|\xe2\x80\xa6,airport,amano,approval,begins,cleanup,early,enforcement,gets,next,no-camping,old,permit,policy,scheduled,set,starting,telescope
2017-07-27,WY,wyoming,casper,mountain,photos,west,best,citizens,eclipse,football,media,money,summit,transgender,troops,waterproof,worst,state,\xe2\x80\x94,\xe2\x80\x9ca,accompany,advisory,allen,america,andrew,animals
2017-07-27,NH,@ncaa,\xe2\x80\x9cva,act,allegations,angela,approved,artwork,bandstand,black,concord,dancing,day,deal,detail,early,enjoy,entire,footlight,franklin,hall,holding
2017-07-27,TX,award,congrats,hair,nominees,s,attorney,year,.@dbreview,.@pillsburylaw,@statebaroftexas,accidentally,ankle,apply,austin,barexam\xe2\x80\xa6,barry,bb\xe2\x80\xa6,bckyrd,beyonce,biotech,bradley,burgdorf,carter
2017-07-27,LA,yourvoicear,louisiana,shreveport,@myarklamiss,parish,man,fox,new,police,6:30pm,@reprickcrawford,breaking,one,representatives,texas,us,shooting,@repfrenchhill,orleans,@timonbc6,crash,dead,exclusive,happened,human
2017-07-27,PA,@69news,pawlowski,mayor,police,allentown,charges,man,@69newsbusiness,@jamiestovernews,attorney,guilty,new,@alexhoganwfmz,acosta,business,court,indictment,pennsylvania,senate,federal,first,go,innocent,m
2017-07-27,VA,camp,gmrva,training,@8news,richmond,@mitchcarrtv,@redskins,@roxie8news,breaking,due,fair,ohio,rva,virginia,police,state,amendment,ban,crash,live,redskins,transgender,dog,local
2017-07-27,CO,broncos,@troyrenck,@denverchannel,water,camp,day,training,colorado,says,break,breaking,denver,main,pueblo,update,@lionelbienvenu,bill,denver7,@broncos,arapahoe,crash,practice,@jennkovaleski,booker,ridley
2017-07-27,AL,del,de,condado,el,estatales,hasta,los,noticias,productores,publicaci\xc3\xb3n,tienen,usda,agosto,alabama,birmingham,criticism,jeff,para,sessions,1\xe2\x80\xa6,7:00pm,@foxnews,@greg_garrison,ad,admission
2017-07-27,AR,arkansas,police,little,rock,\xc2\xbb,arnews,details,say,arkdg,car,happened,man,dead,found,trump,july,outside,restaurant,new,teen,+,fatally,state,woman
2017-07-27,VT,police,car,trump,new,bill,state,white,fair,hits,hospital,ohio,one,ride,river,say,sure,two,video,woman,house,@jackmynbc5,accident,arm,ban,baseball
2017-07-27,IL,day,firefighters,foxconn,illinois,use,wisconsin,2nd,adjourn,adjourned,coveted,deadly,drone,drones,f,ford,funding,highly,investigate,investigations,jobs,landed,lawmakers,legislators,ohio,plant
2017-07-27,GA,school,w/,crime,podcast,true,guide,ultimate,breakdown,find,season,listen,now\xe2\x80\xa6,ga,georgia,black,info,back,church,thought,u,u\xe2\x80\x99d,addictive,atlanta,download,highly
2017-07-27,IN,@lauren14news,evansville,feeling,grateful
2017-07-27,MA,7news,police,@wrenclair7,hospital,man,new,rain,says,@clamberton7,patriots,project,scabies,south,@jcuoconews,@sharmantv,ave,boston,car,comm,live,outbreak,state,trump,us,woman
2017-07-27,AZ,abc15,crash,live,phoenix,@arizonadot,valley,watch,one,i-17,phxtraffic,northbound,closed,lanes,scottsdale,truck,@fox10newsnow,arizona,azwx,day,family,fashion,fox10phoenix,gilbert,good
2017-07-27,ID,boise,idaho,river,canyon,day,fair,float,season,county,help,people,allegedly,health,miss,shangri-la,us,get,man,new,@bjrains,@cdapressnews,@juddprtimes,@maureencdapress,altercation,anniversary
2017-07-27,ME,approve,bangor,fair,fix,man,officials,ohio,regulators,ride,safety,state,check,death,plan
2017-07-27,MD,police,arrested,@47abc,county,dover,man,national,pizza,robbery,salisbury,tonight,tune,w/,night,say,$15,8-7,@billycrystal,@breeze_softball,@brookeb_47abc,@hamillhimself,@hayleymilon,@iamguillermo,@justinacoronel
2017-07-27,OK,police,baby,oklahoma,trump,death,bill,days,house,mother,transgender,city,murder,crash,cruise,died,driver,dumpster,fbi,hits,ok,okc,one,ship,suspected,victims
2017-07-27,OH,10tv,fair,ohio,update,state,ride,rides,closed,dead,kasich,ball,ross,shut,still,county,missing,officials,9-year-old,apart,book,boy,cancer,charlie,clinton
2017-07-27,UT,opinion,service,utah,@desnewssports,@dirkfacer,@dnewsopinion,@gslfringe,@mckenzieromero,affecting,artists,basement,books,brothers,camp,change,climate,coffee,comeback,compromise,could,country,couples,craft,crash
2017-07-27,MN,\xe2\x80\xa6,address,adds,bannon,bemidji,brooks,carp,change,chief,dies,explodes,falls,fargo,garth,goes,goldfish,hammer,i'm,interstate,interview,lake,minnesota,muslim-centered,nd,offender
2017-07-27,MI,weekend,breaking,crash,dairyqueen,flintwater,flintwatercrisis,michigan,midland,miracletreatday,right,victim,man,rain,18blizzards,4th,@ap_sports,@apwestregion,@geneseectyparks,@marcjacobson,@warriordash,\xf0\x9f\x8d\xa6,abc12morning,accidentally,adrian
2017-07-27,MS,bill,trump,house,car,says,arm,attack,average,big,bit,body,bryant,bucks,cam,could,crashes,dates,eclipse,game,getting,gop,gov,insect,jpd,married
2017-07-27,SC,county,lane,@addthis,@taraservatius,berkeley,bluff,bus,collisions,cover,deafening,fires,hats,injuries,injury,issued,liberal,next,pickens,pink,pl\xe2\x80\xa6,pussy,road,run,sc,severe
2017-07-27,KY,kentucky,charge,crash,kywx,road,via,county,day,high,man,thursday,weekend,police,@neheadlines,deputies,forecast,great,health,hits,plea,pm,possession,storms,take
2017-07-27,OR,fire,closed,due,oregon,@fox12weather,@kandrakptv,crash,portland,road,@,@tripcheckpdx,@wsdot_sw,delay,i-5,@tvfr,bill,border,caution,house,man,sr,trump,use,vancouver,water
2017-07-27,SD,aberdeensd,mitchell,man,@kdltnews,crash,dakota,city,\xe2\x9c\x85,arrested,brookings,center,falls,football,high,icymi,police,rapid,sioux,south,suspect,vikings,says,aberdeen,alcester,baseball
