2016-12-30,DE,netde,accident,route,i-95,injuries,sb,bacon,better,crash,everything,makes,ramp,reported,breaking,bunting,conditions,delaware,due,education,icing,nb,news,nominated,rd
2016-12-30,DC,el,@cardinal_wuerl,de,look,lot,photography,priesthood,today\xe2\x80\x99s,.@cheftaberna_dc,50th,@,@americanu,@arielleweg,@eugene_scott,@kencen,@mariatcardona,@matt_terl,@mosaic_theater,@sharrowsdc,@theeagleonline,@washingtonhisp,@wicked_musical,a\xc3\xb1o,almost,always
2016-12-30,WV,crews,i-79,new,westover,year,@toddthemurr,@wvuhoops,boys,closed,delays,est,expect,fire,fri,friday,glen,long,loss,named,oak,pm,secret,snow,state,three
2016-12-30,FL,diane,kacmarik,beach,sunset,juli,marquez,chilly,evening,front,.@mcclurewx,@bn9weather,cold,florida,flwx,morning,@bn9,@outbackbowl,clearwater,day,little,moving,mph,tampabay,thursday,winds
2016-12-30,NJ,new,year,debbie,review,approves,bishop,blood,david,family,florida,help,hillsborough,hopewell,house,jan,lawrence,lenape,newton,njweather,njwrestling,patriots,princeton,snow,valley,years
2016-12-30,LA,new,fire,year,louisiana,laws,man,monroe,orleans,parish,state,water,abby,afternoon,day,houma,morning,night,pege,photographer,sky,st,staff,tabor,today,traffic
2016-12-30,NC,new,danville,s,year,best,column,fisher,time,unc
2016-12-30,RI,ri,watch,de,17towatchin2017,el,por,que,una,dec,en,joven,las,marihuana,rhode,un,who\xe2\x80\x99s,island
2016-12-30,CO,$2,1pm
2016-12-30,CA,@bakersfieldcali,via,alameda,new,know,@alameda_sun,\xd4\xbf\xd5\xa8,edition,heard,kevin,last,napa,need,office,reports,restaurants,right,s,suspect,2.\xe2\x80\xa6,@1demodiva,@920kvec,@alamedashelter,@mayal\xe2\x80\xa6
2016-12-30,AL,new,alabama,man,county,arrested,basketball,family,thursday,@mocarterwzdx,@rocketcitynow,eve,huntsville,leads,looking,boys,charged,christmas,college,day,drug,january,makes,munford,one,playing
2016-12-30,AR,booneville,magazine,2016bfc,new,magnolia_arkansas,us,obituary,arkansas,day,education,get,memphis,recent,today,@overtonsquare,accident,amazon,ball,bank,counting,county,districts,drive,end
2016-12-30,VT,suncmtynews,church,vt,@bizvermont,baptist,business,community,first,nh,parishioners,rally,@vtruraldev,aims,amid,autos,burns,change,climate-change,create,economic,fire,impact,inspection,lebnh
2016-12-30,AZ,@sportswriter52,new,arizona,@wildcathoops,yuma,prescott,two,@bmhsbearnation,updates,winterclassic,badgers,bradshaw,gas,read,year,@calwbball,ahwatukee,classic,crash,day,final,gv,lady,leads
2016-12-30,ID,next,@kpvi,last,near,new,news,show,snow,us,year,coming,county,friday,mining,movie,one,ontario,see,west,@dougiweatherguy,big,candidates,canyon,center,check
2016-12-30,CT,$368,attorney,awards,back,chamber,community,condo,darien,effect,grant,jan,lose,office,ordinance,picks,soundings,takes,unit,way,north,set
2016-12-30,MO,county,dec,new,-0600,year,going,la,route,thu,area,de,first,officials,photos,top,two,12/29/16,break,christmas,days,el,en,end,eve,fisher
2016-12-30,MN,man,$10,bp,cop,expired,green,group,hear,hot,icm,isle,logan,loud,lp,miles,million,music,paid,pull,realty,rezac,s,said,sirens,six-story
2016-12-30,MI,new,celebrate,county,happy,top,eve,hp,michigan,year,2016,arts,check,christmas,drop,front,jan,stories,time,us,winter,years,cadillac,friday,man
2016-12-30,MT,year,county,local,\xe2\x80\x93,best,jan,montana,new,column,dec,get,highway,religion,sports,tuesday,alder,avalanche,away,busses,butte,center,challenge,christmas,collision,crews
2016-12-30,MS,@catholicnewssvc,\xe2\x80\x94,jan,life,readings,scripture,sunday,word
2016-12-30,SC,covers,top,columbia,blufftontoday,city,aren\xe2\x80\x99t,broken
