2017-08-01,WA,hill,capitol,get,say,across,full,kennewick,miss,set,starting,t,@cityofseattle,@launchnw,annex,back,bonney-watson,broadway,come,construction,contract,funeral,kids,man,miller
2017-08-01,DE,netde,accident,rd,reported,sb,world,bridge,cancer,day,lung,road,route,approaching,beach,delays,due,i-95,nb,roadway,st,talking,time,5x,area,arrest
2017-08-01,DC,police,fox5dc,say,woman,county,news,d.c,missing,story,trump,found,man,us,@nbcwashington,people,@fox5dc,car,crash,day,first,fox,lot,president,prince
2017-08-01,WI,\xe2\x80\x93,national,night,beloit,center,county,events,one,original,transdermal,u.s,wis,$47,1-2,2.5,64f,82f,@,@campingworld,@healthnetofrock,@nwstwincities,\xe2\x80\x9cscience,addition,adequate,administration
2017-08-01,WV,bridgeport,football,morgantown,wvprepfb,5th,@carvelli3,@tombraggsports,agenda,agreement,approves,armed,board,boparc,center,charleston,city,climate,coach,community,complete,council,county,day,deal,delta
2017-08-01,TX,$1.25m,.@kelleydrye,@gwlaw\xe2\x80\xa6,airline,alma,austin,bryce,burned,case,congratulations,corporate,crashed,dee,departments,faa,foundation,gift,hiring,honorees,houston,incredible,j,july
2017-08-01,LA,@crystalampress,man,says,house,@billcassidy,act,delay,first,get,issues,many,police,red,responsible,safety,snapper,three,us,warrants,white,women,would,home,mayor
2017-08-01,PA,aims,airpark,dealers,$1,69news,@69news-lv,@melanie_falcon,@timsilfies,arl,attorney,auto,awards,biological,braden,bucks,burning,campaign,christopher,deadly,denial,documentary,draw,employment,ex-#readingpa,grace
2017-08-01,RI,providence,ri,ripr,audio,news,update,august,@abc6,budget,latest,local,man,police,new,shooting,training,@kenbellabc6,@sfenlonabc6,last,school,@nickcoit,campaign,newport,one,says
2017-08-01,IL,@archchicago,@toltonacademy,accused,building,cannot,chicago,cps
2017-08-01,GA,school,w/,podcast,crime,true,atlanta,back,guide,breakdown,ultimate,listen,now\xe2\x80\xa6,season,find,know,ga,info,inside,like,georgia,thought,u,u\xe2\x80\x99d,black
2017-08-01,IA,@apeastregion,man,says,@ap_oddities,@apwestregion,police,story,@apsouthregion,california,change,dead,killed,president,@apbusiness,@apcentralregion,breaking,calf,city,find,guilty,official,one,prison,say,son
2017-08-01,AZ,jeff,live,arizona,stadium,taxpayers,abc15,determine,issues,nine,team,versus,dbacks,homeless,season,tucson,azwx,near
2017-08-01,ID,@innat500,bag,boutique,disaster,division,eclipse,evacuated,future,got,hospitality,hotels,local,obie,operate,parking,police,today,top,two,2:30,4:45,=,@
2017-08-01,OK,@cathjsweeney,oklahoma,uss,county,department,food,s,state,students
2017-08-01,OH,$99,10tv,18-year-old,accident,departments,fair,fire,local,ohio,receive,since,state,t,tragedy,victim,woken
2017-08-01,UT,utah,get,look,man,time,uta,.@dnewsopinion,@shanebrownkdxu,\xe2\x80\x94,contractors,county,crash,editorial,fire,local,mine,owners,provo,review,rock,trustee,tuesday,us,vehicle,zoo
2017-08-01,MO,closers,7/31,@arothfield,@audioboom,around,cards,joco,joins,results,via,w/@sparksjay,|,&gt;\xe2\x80\xa6,7:45,8,9:45,@1240klik,@1400kfru,@41actionnews,@btoppmeyer,@gycomo,@joos_nick,@sparksjay,\xe2\x80\x94
2017-08-01,MN,bemidji,food,minnesota,trump,years,airmed,fire,man,sanford,shelf,vikings,ahead,coldest,county,days,fresh,greener,greenhouse,harvest,lake,months,move,one,produce,@archdiocesespm
2017-08-01,MS,man,house,low,outside,boy,children,day,eclipse,family,school,1.3,aug,away,back,behind,belk,best,careers,child,claim,computer,death,door,explorers,feisty
2017-08-01,SC,gamecocks,blufftontoday,eclipse,road,scnews,@gabafranklin,abc,columbia,construction,one,shooting,@_joshberry,@abc_columbia,@mikeabccolumbia,carolina,decision,forecast,morning,news,next,night,say,sce&amp;g,solar,suicide
2017-08-01,KY,kentucky,blocking,clouds,great,ksp,pilot,safety,say,showers,38-year-old,@archlouky,@cc_louisville,@nsturtzel,@pontifex,@pres_academy,accident,aclu,adair,an\xe2\x80\xa6,annual,anyone,ap,army,arrested
2017-08-01,SD,\xe2\x9c\x85,aberdeensd,\xe2\x80\x94,at\xe2\x80\xa6,browncountysd,find,icymi,landfill,learn,merger,pageone,s,set,$2.23,25:\xe2\x80\xa6,59\xc2\xb0f,85\xc2\xb0f,@nc_farmers,@northernstateu,@wheat_growers,aberdeen,add,affected,allow,amateur
