2017-06-07,WA,kuowrecord,fire,kxly,one,spokane,city,get,@khqlocalnews,back,people,@jasonkappkvew,@paigebpaige_,county,motel,president,see,time,year,@khqmorgan,@kuow,bellingham,last,morning,movie
2017-06-07,DE,netde,rd,@whyy,bridge,delaware,sb,i-295,lanes,accident,due,fire,know,memorial,naamans,@newsworkswhyy,closed,delmembr,open,roadway,traffic,us-13,day,global,running,@demembridge
2017-06-07,DC,fair,tomorrow,years,$13,.@kofc,2-story,23:\xe2\x80\xa6,@bisw_school,@bsacramentdc,@cardinal_wuerl,@clevelandpark,@endangered,@janneyschool,@lafayettedc,@maretschool,@marysshrine,@medstarguh,@murchschool,@nps_cardinals,@opindc,@wisreddevils,amendment,approvals,art
2017-06-07,WV,wvu,big,golf,greenbrier,huntington,marshall,public,virginia,west,all-state,health,named,photos,program,two,host,@toddthemurr,all-star,basketball,championship,game,league,make,morgantown,official
2017-06-07,HI,|,content,free,sub.req,\xe2\x80\x93,bigisland,kona,deportation,dies,golf,hawaii,islandlife,kula,mahalo,man,property,share,shot,starts,tax,u,wailea,|\xe2\x80\xa6,crash,may
2017-06-07,FL,de,en,&gt;&gt,la,rain,warning,county,juli,marquez,severe,que,el,thunderstorm,wind,@bn9weather,beach,edt,fl,heavy,storms,@barbarabarbnan,@bn9,belleair,con
2017-06-07,NJ,edition,s,wildwood,@nhamptonlegion,@yardleysharks,education,herald,legion,madison,north,northampton,read,rock,surf,yardley-morrisville,cape,insurance,$32,10-15,6-6-17,@acelecconnect,@avongrove_hs,@crn_softball,@crnathletics
2017-06-07,NM,de,albuquerque,abq,la,que,el,en,su,los,mexico,video,june,man,new,nm,se,state,@adamatchison,del,es,este,krqemornings,le,mayor,por
2017-06-07,LA,@johnampress,another,arrested,cell,child,eunice,following,groups,hammond,june,monroe,next,open,parish
2017-06-07,NC,accused,advisory,attack,attacks,boil,budget,change,charges,commissioners,could,county,court,currituck,editorial,former,heart,house,june,lifted,morris,obstructing,peeping,possessing,president,shows
2017-06-07,ND,$67,@minneapolispd,across,barnesville,beating
2017-06-07,TN,wcyb,county,morning,time,tennessee,@bonnaroo,get,i-55,year,@wxlindseyfox13,area,city,coach,forecast,i-240,overturned,rain,summer,wednesday,new,@jerritafox13,\xe2\x80\x94,back,chilly,june
2017-06-07,PA,@69news,@69newsbusiness,@bkoltnow,@jamiestovernews,day,cosbytrial,police,story,testimony,trial,whitehall,breaking,3rd,69news,@jaccii,@jimvasilwfmz,accuser,assault,begins,belleview,break,come,company,constand
