2017-02-10,WA,hill,capitol,river,@chronmatt,road,state,@chronpete,car,chehalis,community,due,fire,flooding,friday,man,park,people,photos,president,rochester,say,tonight,closed,police
2017-02-10,WI,feb,isthmus,students,&gt;&gt,pick,friday,state,tonight,walker,could,county,heroin,madison,school,today,police,\xe2\x80\x93,\xe2\x80\x94,across,arlyn,boost,brings,budget,business
2017-02-10,HI,\xe2\x80\x93,care,tournament,warriors,@mauinewssports,back-up,blessing,blessingtocare,clinic,departed,easiest,emergency,emergencyroom,extend,final,gym,health,high,homeless,homelesshealthcare,kamehameha,location,maui,mauine\xe2\x80\xa6,memorial
2017-02-10,FL,great,obit,sat,3-7pm,@dwntwn_orlando,adv,beer,craft,festival,flwx,orlando,takes,tix,chilly,diane,evening,friday,kacmarik,morning,news,top,weekend,woman,@bn9weather
2017-02-10,WY,$1,$750,39-year-old
2017-02-10,NH,issue,special,wc,nhpolitics,@nh1news,dartmouth,opinion,winter,@govchrissununu,effect,storm,community,weekend,back,budget,counties,nhwx,sunday,watch,@conmonitorsport,different,hockey,intv,john,leader
2017-02-10,NJ,council,@truman_tigers,back,basketball,board,borough,bowl,colleague,collect,districts,fifth,fill,girls,graders,harry,hillsborough,honors,lead,member,newtown,participate,pennington,recreation,seniors,service
2017-02-10,NM,tonight,\xc2\xa0,day,roswell,says,wall,border,mexico,two,would,abq,another,dance,daughter,families,father,get,htt\xe2\x80\xa6,newmexico,one,recreation,republican,trump,us
2017-02-10,LA,state,day,la,louisiana,feb,ntnewspaper,pipeline,boys,coming,local,parish,soccer,suspect,two,police,case,city,duson,east,i-10,little,monroe,nice,orleans,parade
2017-02-10,NC,14-9,40-37,5-5,@alvinreid,@and\xe2\x80\xa6,@andrews_journal,@blueridgenow,@brnandrew,apostasy,baptist,basketball,biltmore
2017-02-10,NY,@audioboom,via,lake,february,ice,@nysapa,court,flower,oakley,resort,saranac,still,day,new,10th,2/10/17,@955plj,@fashion_week,@jayderade,@kenduffywabc,@ritacosby,@saranaccarnival,@sidrosenberg,amagansett,approves
2017-02-10,RI,la,el,studios,february,rhode,ri,snow,ban,case,de,en,judge,release,storm,friday,@anitabaffoni,@iandon,appeals,corruption,deal,parking,por,president,que
2017-02-10,NV,kdwntraffic,carson,@cvalleytimes,details,lane,closed,@nevadadot,sb,traffic,@nhpnorthern,nb,city,blocked,crash,due,jacks,kingsbury,lanes,las,photo,pic,restrictions,rtc/fast,valley,vegas
2017-02-10,VA,coming,disney,feb,@verizoncenterpr,another,dan,danville,fatal,goodyear,p.m,settlement,tickets,win,$1.75,7:10,@disneyonice,@fairfaxpolice,@fallonwforbush,accidents,at\xe2\x80\xa6,ban,breaking,charges,circus,click
2017-02-10,CO,colorado,aspen,month,new,@koaarobquirk,cowx,denver,february,fire,high,pueblo,@ap,@csfdpio,adams,best,bomb,breaking,day,deadline,degrees,ever,feb,firefighters,guide,help
2017-02-10,AL,area,county,@audioboom,attorney,via,02/10,general,city,alabama,basketball,talladega,@aunielindenberg,auburn,boys,championship,first,sga,trump,water,win,new,@mattmurphyshow,@mocarterwzdx,appoints,ban
2017-02-10,AR,@kark4news,\xf0\x9f\x93\xb8,amazon,arnews
