2017-02-12,DE,seeds,@mikesb_ghsports,@sciencemarchdc,milford,smyrna,darwin,div,feb,free,released,south,wallace,wrestling,5k,@dedivresearch,@depublicarchive,@johncarneyde,@lisabrochester,@nannyfat,@neilshubin,@pbs,@twittermoments,abraham,advisers
2017-02-12,DC,de,el,en,etltrump,odebrecht,por,que,caso,del,la,presidente,primer,toledo,v\xc3\xada,@hubisonsports,@thecija,bien,colombia,expresidente,georgetown,hampton,howard,ministro,muy,new
2017-02-12,FL,florida,s,1-month-old,50-acre,arrested,baby,blazes,bomb,brush,clothing,dam,death,defused,die,donut,drops,emergency,evil,faces,facing,fact,flow,greece,korea,mulling
2017-02-12,NH,monday,effect,storm,warning,county,nhwx,snow,@fostersdailydem,updated,winter,@seacoastonline,@smgphoto,afternoon,counties,due,early,essex,weather,@deztroyah,coastal,evening,flood,may,middlesex,morning
2017-02-12,NJ,state,jersey,new,sportssunday,teen,around,day,hoboken,life,makes,members,mon,perfect,police,season,south,sparta,streak,take,wins,working,.@rutgersu,10-20,11-1
2017-02-12,NM,new,day,check,lawmakers,look,mexico,santafe,view,life,love,@catholicrelief,alone.\xe2\x80\xa6,anniversary,dance,de,dialysis,fe,feature,like,looking,patients,rallies,rights,santa
2017-02-12,LA,ntnewspaper,krewedevieux,kreweduvieux,forkem,look,nsu,parish,s,@loyolawolfpack,afternoon,arlamswx,cbh,check,crape,de,dinner,dream,evening,hercules,images,kdm,like,louisiana,love,murder
2017-02-12,NC,community,new,@natalielstewart,de,little,store,county,five,indybestof2017,n.c,police,shares,story,training,v,fire,know,@guilfordcollege,@qnotescarolinas,b,best,conference,danville,dies,go
2017-02-12,ND,photo,district,ndwx,across,ahead,arbaut/minot,best,buildings,federal,firstwarn,hard,minn,near,north,office,putt,royal,sean,shape,state,today,weather,first,west,1990s
2017-02-12,NE,@eshswrstorm,rollstorm,place,state,win,district,island,qualifiers,4th,@badgertoughwres,dual,elkhorn,grand,great,heading,ralston,south,storm,wrestlers,road,team,wrestling,132,145,15-5
2017-02-12,TN,south,$200,burnett,david,democratic,division,east/middle,ii,indicted,leadership,marion,mccallie,nicole,party,pittsburg,post,roberts,shot,stealing,steps,street,tournament,watkins,county,night
2017-02-12,NY,cancer,even,freshman,high,miami,present,research,school,southampton,student,year
2017-02-12,NV,carson,carsoncity,details,el,nevada,@nhpnorthern,de,tiempo,|,\xe2\x80\x94,best,closed,douglas,sb,395/cradlebaugh,@carsonnow,@cvalleytimes,@douglassheriff,agenda,area,chizza,coach,couple,crash
2017-02-12,CO,duvscc,cc,period,pp,denver,tournament,left,region,&gt;&gt,colorado,results,second,wrestling,\xe2\x80\xa6,assessed,back,first,ignacio,korea,lead,low,mclellan,missile,state,winter
2017-02-12,CA,@560ksfo,@brian_sussman,@crusaderathena,accident,crash,fear,lincolnavenue,listen,overcome,returns,scene,victim,.@bayfarmpta,75-68,7am,9thcircut,@anntensity,@ausdgreenschool,@ehsjets,@ka\xe2\x80\xa6,@latsondheimer,@sjndathletics,\xe2\x80\x98fifty,\xe2\x80\x98lego
2017-02-12,AL,alabama,@mocarterwzdx,a&amp;m,ot,state,breaking,las,aamu,buzzer,campa\xc3\xb1a,de,dice,double,fts,left,lot,migratorias,miss,new,play,police,promesa,que,re,redadas
2017-02-12,AR,24/7,2:00,6th,@bwalliance,@circusoz,@muleridersports,@nwadavep,@nwadoug,@nwapaulb
2017-02-12,IA,photos,1a,1st,67-41,@mattheinrix,algona,america,back,body,cakes,click,district,elc,fall,gras,green,indian,junk,king,link,machine,mardi,milford,orleans,park
2017-02-12,ID,state,boisestate,idaho,tournament,win,basketball,headed,nic,river,roundup,saturday,study,takes,wonderful,girls,help,icymi,public,show,trump,valley
2017-02-12,UT,soutah,stgeorge,cache,utah,southern,valley,cedarcity,city,day,help,hiking,mesquitenv,town,zion\xe2\x80\xa6,county,local,love,new,well,1930s,9thcircuit,@blmutah,@sunclf\xe2\x80\xa6,@zionnps
2017-02-12,OR,115-75,74-57,89-81,@corbanathletics,@youtube
2017-02-12,SD,@tpain,concert,dakota,low,south,sunny,opening,together,us,30f,32f,47f,49f,@beefusa,@ccfesd,@tristateneighbr,activists,affairs,ahead,anti-abortion,around,asked,beautiful,bee
