2017-06-09,WA,hill,capitol,summer,team,weekend,area,best,community,county,due,first,free,groups,meet,near,park,photo,photos,richland,s,say,school,seattle,transit-oriented
2017-06-09,WI,wisconsin,current,find,radar,southern,view,wiwx,ap,&gt;&gt,man,get,new,says,trump,county,la,could,crosse,heat,isthmus,near,photos,state,high,milwaukee
2017-06-09,WV,\xe2\x80\xa2,county,state,summer,wv,@toddthemurr,ohio,@wvblackbears,@youtube,aaa,former,history,photos,regular,session,several,softball,via,virginia,west,lincoln,5/30/2017,@dovydasneveraus,@pirates,all-state
2017-06-09,NH,@conmonitorsport,@fostersdailydem,school,@mwhaley25,@tsunami_dhs,baseball,dover,high,title,win,state,3-1,comeback,d-i,falls,first,kearsarge,long-awaited,nhiaalacrosse,police,run,says,semis,tournament,two
2017-06-09,NM,deming,alert,amber,abq,issued,police,amberalert,dc,man,near,new,news,nm,8-year-old,@kkobradio,@realbrandonvogt,abducted,body,bv,calls,cancelled,canyon,child,comey
2017-06-09,LA,behind,books,budget,carter,closed,collection,congressional,contest,courted,deadlock,doctor,doors,ever,f,friday,gets,goes
2017-06-09,ND,fargo,man,going,a.m,nd,photos,better,cities,despite,fun,hospital,james,kfgo,life,live,means,near,possible,review,starts,summer,video,weather,weekend,west
2017-06-09,NE,nebraska,omaha,two,@osisports,attempted,college,comey,country,delivered,donald,first,give,icymi,inmate,interstate,james,mili,officers,president,prison,regional,staff,super,support,team
2017-06-09,TN,$120,$5,@drrusselldyer,@mightymillsaps,advocate,all-county,along,baseball,budget,comes,congratulations,democrat,farmers\xe2\x80\x99,guitar,hoof,makes,markets,music,new,offers,options,place
2017-06-09,NY,@audioboom,@ritacosby,let,via,@77wabcradio,@antonioolivero,@argonzales,@curtisandeboni,ex,gen,s,school,week,12-3p,atty,eye,june,midday,request,show,slip,t,tells,testimony,trying
2017-06-09,PA,@69news,@69newsbusiness,@jamiestovernews,cosby,deposition,expert,trial,update,@\xe2\x80\xa6,@timsilfies,@vanallenwfmz,allentown,assault,back,breaking,coming,constand,day,defense,fire,hereford,ll,many,mistrial,story
2017-06-09,NV,vegas,el,las,8nn,tiempo,|,blocked,quate,@nevadadot,breaking,man,wife,woman,details,@karen8newsnow,@ktnv,accused,arrest,charged,child,death,elko,friday,graduation
2017-06-09,VA,@culpeperse,via,sen,@cvillepulse,hour,man,@patrickmwilson,@sprintpavilion,baseball,best,bryce,coalfield,congratulations,county,district,farmers,first,gold,jill,lawsuit,new,progress,reeves,request,review
2017-06-09,CO,beer,get,local,new,$182,2-for-1,@wishcolorado,\xe2\x80\x93,\xe2\x80\x99neta,adrenaline,alert,alleged,amber,areas,arts-buff,aspen,beer\xe2\x80\xa6,big,booty,breaking,brewing
2017-06-09,CA,high-risk,recall
2017-06-09,AL,via,@audioboom,bus,alabama,live,hour,new,&gt;&gt,church,06/09,show,man,state,huntsville,|,friday,weactv24,auburn,camp,city,leland,road,crash,atlanta
2017-06-09,GA,car,classic,show,weekend,calling,cars,check,craving,gearheads,gorgeous,ideal,involve,lovers,marietta,perfect,saturday,weather,fix,read,county,12-year-old,black,creepers,franklin
2017-06-09,AZ,big,get,love,music,$6.72,60s,@lindsayncameron,@mtnsidefitness,\xe2\x80\x9cat,absence,ahwatukee,biggest,bluegrass,cap,career,celebration,change,check,connectors,decade,discover,done,empire
2017-06-09,CT,bridgeport,\xe2\x80\x94,connecticut,going,school,attorney,charged,day,first,floor,found,high,house,june,nearby,norwalk,open,part,police,reported,trumbull,weekend,winner,time,trump
2017-06-09,ME,maine,@megan_e_doyle,baseball,@wgme,casino,class,day,quiz,via,@lexiewgme,@marypols,@tjtremble,augusta,blueberry,canadian,downeast,ethics,festival,funding,house,investigation,mepolitics,million,named,school
2017-06-09,MD,baltimore,maryland,school,wmdt,county,trump,police,comey,drug,first,high,state,md,west,annapolis,city,deaths,join,man,woman,alcohol,overdoses,shooting,skyrocket
2017-06-09,MA,mymcon,@marealtors,director,housing,@myquicksilva,charged,data,eric,explains,inventory,knows,mass,ne,paul,prez,proactive/managing,referrals,s,sales/marketing,situation,stevens,yorkis,10%
2017-06-09,MO,06.08.17,closers,la,man,nba,6/8,@audioboom,box,cards,cat,en,gira,hour,new,via,|,coming,-the,12th,720am-hr,9th,@1240klik,@1400kfru,@gycomo
2017-06-09,MN,west,state,@ashley_hanley1,via,st,hermantown,minnesota,tomorrow,@businessmn,class,end,hazeltine,heat,live,@hibbdailytrib,@pga,baseball,championship,high,new,place,weekend,@mark_tarello,bphs
2017-06-09,MI,detroit,michigan,weekend,police,@wwj950,alert,ann,boyne,charlevoix,closed,county,hurt,man,school,township,@wwjtraffic,air,american,arbor,birthday,board,city,cobbs,downtown,due
2017-06-09,MT,mtnews,montana,billings,committee,mtcrime,center,county,decades,man,montana\xe2\x80\xa6,mountain,prison,says,$4.5,$4m,12-year-old,academic,accused,added,admits,advisory,agencies,allow,among,assaulting
2017-06-09,SC,new,blufftontoday,columbia,win,collision,first,forecast,i-26,see,time,weekend,@abc_columbia,@gracejoyal,become,bound,burglary,carolina,chs,co,coffee,complete,county,else,finals,game
2017-06-09,KY,kentucky,@fadia_dame_tele,@record_archlou,@shalouisville,friday,weekend,say
2017-06-09,OR,care2,flag,get,trump,june,@coastalfarm,\xe2\x80\x93,announces,children,city,contest,dad,dairy,director,drink,flashback,former,grill,kills,like,low,meeting,need,new,old
2017-06-09,SD,conditions,new,police,aberdeensd,across,falls,found,girl,sioux,trump,area,baseball,comey,county,downtown,drought,friday,man,mitchell,summer,time,weekend,one,@kdltweather,affect
