2016-10-17,NH,35-17,@edewittks,bengals,center,city,club,created,dartmouth,farming,fight,friday,injured,merrimack
2016-10-17,MD,baby,bath,drowning,endangerment,frederick,gain,guilty,hagerstow,hagerstown,hoping,kathy,man,maryland,open,pleaded,reckless,seat,senate,sentenced,szeliga,tub,vanhollen,votes,win
2016-10-17,NJ,oct,nj,princeton,crime,morris,trenton,vote,@targumsports,education,first,jersey,latest,madison,randolph,saturday,students,weekend,.@rutgersu,@rideruniversity,@rutgersu,always,assaults,candidate,caught,center
2016-10-17,WV,@lchspride,candidate,county,fire,first,vote,week,wvu,deadline,high,panthers,register,scott,today,tomorrow,virginia,weekend,west,1-0,80s,across,ahead,boys,ever,football
2016-10-17,NM,new,@dailylobo,@unm,basketball,us,fans,lobo,one,power,sunday,@cisabelg,@usccb,election,faces,finding,help,howl,join,money,photo,pope,read,saints,seven,unm
2016-10-17,TX,icymi,energy,share,$1.3b,$10m,.@bracewelllaw,.@vinsonandelkins,11thcircuit,@andrewskurthllp,@texaslawyer,adds,advice,advise,african-american,age,alminsider,announces,appeals,avoid,bar,bias,boutrous,clich\xc3\xa9s
2016-10-17,LA,today,football,one,back,come,game,nationalnews,new,october,recap,t,victory,@loyno_sga,@loyola_maroon,@nichollsstate,@teamgleason,@warrickdunn,campus,car,chat,day,department,departments,district
2016-10-17,NC,camden,city,county,night,state,unc,@kentomcdonald,\xe2\x80\x93,\xe2\x80\x94,baker,biscuits,chapel,chathamnc,column,country,elizabeth,fair,ham,hawkins,kania,kiwanis,marie,middle,months,moves
2016-10-17,ND,day,new,hpr20,make,ndsu,valleycity,amazing,bagg,be.\xe2\x80\x9d,dakota,dapl,election,energy,fargo,future,industry,marker,measure,minnesota,nd,nearly,north,patch,photos,pumpkin
2016-10-17,NE,high,today,winds,avg,ago,corn,crop,accident,day,fire,get,near,nebraska,photos,progress,school,soybeans,still,thursday,two,wheat,yr,17th,19%
2016-10-17,AL,alabama,mohn,npr,tommy,$2,:lisa,a.m,american,amy,asia,battle,birmingham,blackmon,blues,boili,ceo,civil,clinic,coast-to-coast,complete,county,cumbie,die
2016-10-17,TN,day,get,wreck,around,food,new,@youtube,ag,best,breakfast,campus,cherry,matchup,one,place,st,time,@bitesblog,@pithinthewind,blocking,i-40e,lanes,largest,mt,rd
2016-10-17,NY,forest,lake,27east,candidate,fire,meetings,near,open,peacock,placid,rail,trail,$20,17th,50th,@adirondacktnc,@nysdec,@nyspolice,\xe2\x80\x99jacks,a1,a\xe2\x80\xa6,adirondack,advisory,allotsego,anniversary
2016-10-17,VT,suncmtynews,vt,\xc2\xbb,make,nh,uppervalley,dry,new,news,print,publication,report,seasons,set,show,take,toll,update,us,week,.@rutlandherald,.@timesargus,@dartmouthhitch
2016-10-17,KS,get,new,big,conference,livestock,payments,two,workforce,5:30,@usda,bad,beef,central,chiefs,congress,county,downturn,fall,farmers,first,help,home,issues,kansas,land
2016-10-17,GA,\xe2\x80\x98moby,\xe2\x80\x98rocky,air,alliance,atlantans,award,bets,birthdy,burgers,capes,coming,concert,custard,day,dick\xe2\x80\x99,ever,exclusive,fall,festivals,film,finds
2016-10-17,SC,blufftontoday,accident,carolina,bluffton_news,danger,flooding,northeastern,south,still,case,hope,open,patz,rd,retrial,we,3rd,51.98,@frankluntz,@waynedupreeshow,afraid,airwaves,allred
2016-10-17,OK,enidok,ou,city,daily,new,nwok,oklahoma,one,presidential,today,week,year,@oudailypromos,ad,adviser,arkansas,big,boren,busy,case,debate,discussion,editor,favorite
2016-10-17,AZ,new,sunizona,@cronkitenews,hospitalized,\xe2\x80\x94,cellar,dead,latest,shooting,via,wine,.@spwarizona,73rd,8pm,@,@ability360,@asu_geoplan,@masterpiecepbs,@ncai1994,@pbsfood,@pewresearch,@uofa,\xe2\x80\x98scary
2016-10-17,OH,dailyjeff,ohio,cambridge,hamilton,man,monday,1st,caldwell,farm,new,oct,oh,reports,students,team,73%,@bluedevilsfb,@ladydevilfutbol,\xe2\x80\x93,abroad,agenda,back,black,burglary
2016-10-17,WY,first,new,@lcccsports,big,time,wyoming,cheyenne,horn,volleyball,year,\xe2\x80\xa2,annual,club,could,get,host,laramie,road,school,sheridan,state,story,today,western,years
