2017-01-31,WA,school,2-hr,delays,christian,power,ag,area,boys,burbank,due,franklin,getting,milton-freewater,morning,near,outage,richland,says,schools,tonight,train,tuesday,city,**due
2017-01-31,WI,cst,january,weather,issued,nws,wisconsin,@badgerherald,@montanaleggett,4:00am,special,statement,crowd,winter,12:00am,advisory,feb,new,series,students,wis,justice,madison,set,snow,wednesday
2017-01-31,WV,wvu,@muparthenon,story,column,football,fire,@lamontesavage,@nancympeyton,@thekingreggie,allarewelcome,animal,basketball,center,charleston,check,commitment,country,dog,full,hit,home,hospital,medicalmarijuana,one
2017-01-31,HI,|,sub.req,\xe2\x80\x93,county,free,content,maintenance,2nd,advances,agriculture,bigisland,bills,bob,clear,college,committee,community,complex,contract,cost,dies,dii,diver,diversion
2017-01-31,WY,sheridan,wyoming,cheyenne,local,school,senate,cemetery,college,comment,days,get,go,high,made,meeting,new,recap,think,would,action,bill,car,catholic,comm,committee
2017-01-31,NH,turn,$233,@edelblut4nh,afford,can\xe2\x80\x99t,child,commissioner,costs,mary,marytylermoore,nhpolitics,opinion,opinon,raising,way,education,state
2017-01-31,NJ,@aquarianweekly,@rutgersu,feb,pick,rutgers,@wearepalisades,blood,cover,drive,early,excited,freeholders,hosts,jan,may,newtown,nobannowall,president,princeton,rally,st,stores,today,tomorrow,township
2017-01-31,NM,catholic,refugees,\xc2\xa0,new,order,one,school,county,day,president,program,abq,bill,blood,defense,executive,faiths,immigration,learn,marriage,mexico,news,nm,quiet,roswell
2017-01-31,LA,new,order,trump,louisiana,office,parish,us,immigration,reports,amazon,announced,big,cassidy,company,day,feb,flexibility,homicide,nominee,plant,push,quarterly,starts,stocks,tangipahoa
2017-01-31,NC,latest,senate,state,students,basketball,chathamnc,game,jordan-matthews,northwood,order,pittsboro,trump,video,vs,watch,ban,blaze,building,burning,carolina,clips,court,cove,devos,executive
2017-01-31,ND,trial,minot,ndleg,news,rivera,watch,daily,dakota,former,north,sunday,today,tuesday,u.s,women,years,@b_emersontrib,@nsmithreports,accused,bill,bismarck,case,charged,court
2017-01-31,NE,day,street,$50,\xe2\x80\x9cthe,actions,active,arrests,begins,chance,changed,chief,children,course,court,decreasing,defend,demolition,department,destroys,didn\xe2\x80\x99t,doctors,drugs,final,forever,get
2017-01-31,NY,farm,hampton,27east,westhampton,wind,students,basketball,baymen,bays,beach,east,eastport,elementary,february,hearing,hoops,lady,lake,long,losing,ross,roundup,school
2017-01-31,PA,beaver
2017-01-31,RI,new,+,\xe2\x80\x9cright,announces,atlanta,barron\xe2\x80\x99s,chainsmokers,commuter,cranston,detection,donuts,dow,dunkin\xe2\x80\x99,energize,england,executive,falcons,flood,forleo,free,fung,future,go,guest
2017-01-31,NV,carsoncity,details,am720kdwn,las,vegas,nevada,|,photo,trump,breaking,el,elko,kdwntraffic,lasvegas,stadium,city,15s,adelson,animal,business,carson,crash,en,miss,order
2017-01-31,VA,allyson,chris,josh,kathy,kelly,patricia,ticket,tuesday,victoria,winners,congrats,@arlingtonchurch,arlington,catholicschools,condemn,daniella,danielle,duet,faith,leaders,mosque,movie,new,political,quebec
2017-01-31,AL,county,talladega,photo,photos,column,facebook,killed,man,new,news,posted,@nprstations,accident,alabama,alpine,burglaries,clair,dam,drug,st,today,work,make
2017-01-31,IL,@tim_obrien10,help,illinois,police,reports,rockford,school,boil,bus,closing,effect,home,local,mosque,need,order,rochelle,take,use
2017-01-31,GA,atlanta,lady,county,hall,news,|,school,circle,rabun,social,via,watch,wildcats,@rabuncountyhigh,@scredskinnation,clayton,half,immigration,new,one,scoreboard,tribune,albany,bowl
2017-01-31,IA,new,iowa,@briabellkcau,conference,dodge,marshalltown,|,@catholicglobe,@xgames,ban,budget,fort,hampton,immigration,photos,title,president,@jeep,@tylerposlosky,@wartburgwest,\xe2\x80\xa2,big,boys,check,chief
2017-01-31,ID,@bsusuccess,@cdapressnews,boise,boisestate,bowl,business,care,cdapress,claims,death,everything,faith,help,him."-trish
2017-01-31,CT,voicesstorm,darien,snow,public,watch,hearing,live,newtown,ondemand,scheduled,seymour,weather,middlebury,montessori,still,winter,meeting,school,state,@erin_kayata,@govmalloyoffice,accidents,advisory,board,committee
2017-01-31,ME,mesports,sanford
2017-01-31,MD,county,protest,frederick,immigration,bishop,last,police,statement,@fred_md_police,@frednewspost,bwc,catonsville,de,earlier,easterling,issued,john,latrelle,more:\xe2\x80\xa6,morning,read,robbery,sandymount,school,trump
2017-01-31,MA,$19m,.@accuweather,@bcheights,@borowitzreport,@capecodacademy,@gibsonsir_ma,@murphheights,@realdonaldtrump,\xe2\x80\x9cthe,\xe2\x80\x9cthis,\xf0\x9f\x8f\x88,ability,actonma,agreement,aim,alex,allowing
2017-01-31,UT,utah,@ap,antler,counties,gathering,s,shed,state,travel,utpol,ban,counter,day,islamic,legislature,official,program,refugees,show,social,take,takes,time,us,utleg
2017-01-31,SC,blufftontoday,columbia,senate,accident,beaufort,bound,carolina,center,free,full,i-26,keep,new,office,please,secretary,us,house
2017-01-31,KY,day,\xe2\x80\x94,hardin,boys,county,photo,prep,schools,students,training,@archlouky,@thenesports,basketball,catholic,high,hoops,incident,leaders,mass,north,student,support,via
