2017-01-22,WA,kela,wwu,app,boys,puget,sound,south,centralia,tune,hoops,kmnt,basketball,final,coming,end,half,left,men,remaining,walla,washougal,women,@coachbamer,clark
2017-01-22,WV,wvu,@mikecasazza,kansas,wku,@mitchvingle,elmore,herd,lead,rain,state,@shawnwboy,jon,marshall,mild,remaining,showers,@hsdtsports,@magsgotswag12,@toddthemurr,ball,big,foul,mov,points,pounds
2017-01-22,LA,warning,tornado,parish,issued,new,effect,union,la,arlamswx,ar,-tim,shelter,severe,county,immediately,seek,thunderstorm,hail,dylan,area,catahoula,concordia,ashley,east,still
2017-01-22,NC,even,inauguration,area,trump,week,today,@rolandsmartin,city,crowd,danville,de,jan,la,new,north,president,shooting,student,wanted,women,@realdonaldtrump,agree,always,another,award
2017-01-22,VA,county,virginia,crash,first,jmu,stafford,loudoun,time,march,police,community,morning,people,schools,student,take,washington,school,@thebreezejmu,around,car,city,danville,fairfax,fredericksburg
2017-01-22,CO,womensmarch,@303_magazine,colorado,denver,mall,photo,think,womensmarchdenver,@affootball,@newscpr,aspen,elk,group,latest,love,officials,place,right,san,store,thanks,video,vote,watch,best
2017-01-22,CA,alameda,36-state,american,authors,biz,books,brewery,buzz,clean,damon,date,dee,desserts,easy,he\xe2\x80\x99ll,history,inauguration,invest,jan,jan.\xc2\xa023,matt
2017-01-22,AL,auburn,tornado,alabama,city,county,watch,enterprise,issued,storm,new,shelter,time,warning,@chpbrownlee,area,help,myuna,past,school,talladega,tuscaloosa,weather,@plainsmansports,alwx,first
2017-01-22,AR,@nwademgaz,details,@vmaloch,big,come,last,magnolia_arkansas,morning,muleriders,pc,pc:\xe2\x80\xa6,silver,supper,today,alert,march,monday,photos,police,youth,541-5300,870,@emmajanepettit,@mikefarrell
2017-01-22,VT,montpelier,\xe2\x80\x94,police,suncmtynews,arrested,man,parking,say,staff,woman,help,road,early,mph,shooting,33-year-old,accident,barre,bethel,bit,clocked,crash,dead,driver,driving
2017-01-22,GA,tornado,georgia,falcons,weather,issued,severe,south,watch,national,new,warning,county,news,service,atlanta,dougherty,hoops,morning,place,sunday,super,school,albany,bears,counties
2017-01-22,MA,patriotledgersports,boston,patriots,favorite,local,patriotledgernews,awards,readers,womensmarch,new,business,choice,vote,march,coach,jan,massachusetts,photos,week,boys,catholic,football,irish,lady,man
2017-01-22,AZ,new,friend,11pm,9pm,@azpmnews,@hayescarll,@missmargoprice,@pbs,\xe2\x80\x9ca,\xe2\x80\x9caustin,\xe2\x80\x9cmiss,airs,all-new,attempts,azpm,beach,bodies,burgled,city,console,country,discovered,episode,estimated
2017-01-22,CT,committee,top,$3,@coldwellbanker,@griffinhospital,\xf0\x9f\x93\xb9,agent,announced,appropriations,associate,attorney,awarded,berkshire,cameras,ct-n,easterseals,england,facility,fisher,hathaway,hiring,includes,joseph,karen,law
2017-01-22,MD,womensmarch,baltimoreans,make,new,solidarity
2017-01-22,OK,okpreps,final,girls,marlow,comanche,championship,oklahoma,stephens,boys,quarter,tourney,county,sooners,world,women,around,half,health,shooting,wind,game,win,@clayhorning,@mcvickerard,bill
2017-01-22,OH,cbj,monroe,county,athens,basketball,cincinnati,new,nhlcanes,pair,@nationwidearena,advisory,alleged,around,authorities,calvert,city,closed,crash,east,girls,history,hocking,news,nights
2017-01-22,UT,gary,people,poet,price,straquadine,usu,utah,check,local,video,@kcsg_tv,@ksl5tv,@mark_harmsen,@rmp_utah,@youtube,\xe2\x80\x93,according,across,alex,appointed,aptitude,aries,bob,bones
2017-01-22,MO,city,@taylorabc17,abc17news,directv,field,school,1/18,417whiskeyfest,@paxdibs,abc,abc17,aging,airport,alyssa,anti-litter,apartment,appearance,associated,attracts,battle,beyond,breaking,businesses,call,callaway
2017-01-22,MN,@hibbdailytrib,cst,january,via,issued,eden,nws,12:00pm,@epnewssports,advisory,dense,fog,hibbing,prairie,team,@,act,area,big,bluejackets,boys,cloudy,crash,forecast,high
2017-01-22,MI,fog,monroe,effect,new,shelby,township,@monroenews,a.m,advisory,county,dense,monday,show
2017-01-22,KS,@derby_sports,butler,final,kansas,opens,.@derby_hoops,150th,65-61,:30,@dhs_panthers,@reddemonsports,ag,agree,american,anniversary,arctic,artists,award,basketball,blast,bluestem,business,cattle,center
2017-01-22,MS,@kihnemanbp,attala,\xe2\x80\x93,jesus,church,blessed,pm,visitation,would,women,12:07,6:23,@sidsalter,@usccb,\xe2\x80\x9cculture,actual,along,among,baby,baptist,basketball,behavior
2017-01-22,KY,ambassadors,life,+,@archbishopkurtz,@edharpring,ancient,archdiocese,c,called,childinthewomb,defend,k,life.to,martin,mass,of\xe2\x80\xa6,option,order,reps,throughout,tours,ty,w,st
2017-01-22,OR,roof,$520,\xe2\x80\x98work,buildings,business,canyonlands,caves,collapse,crews,disabled,district,done\xe2\x80\x99,downtown,elderly,fairgrounds,heard,hires,making,night,noises,organizes,owyhee,payette,removal
