2016-09-27,DE,debatenight,trump,delaware,@frankluntz,rainy,set,get,go,3-year-old,@bike_de,@briefing_2016,@whyyradiotimes,addressing,agree,answer,audio/podcast,charge,copy,de,deadlines,debates,donald,dover,grandson
2016-09-27,DC,debatenight,trump,@howardu,@thehilltophu,d.c,hu17,hu18,hu19,hu20
2016-09-27,WV,writes,@lchspride,defense,scott,lchs,marshall,@jeffrey_s_bowen,@lincolnjournal,@mikecasazza,hamlin,lchssoccer,county,boys,1-1,@dougsmock,@samowensphoto,@wvgazettemail,band,closing,critic,final,games,jackson,k-state
2016-09-27,NH,june,keene,facility,guilty,$58,alcohol,allegedly,alternatives,another,area,board,cigarettes,company,discuss,disposal,dog,estate,fill,fitzwilliam,fryeburg,historical,hold,jaffrey,jail,july
2016-09-27,NJ,dragon,boat,park,@madisonhsnj,@targumsports,bishop,board,core,creek,festival,game,left,madison,morris,mountolive,oct,rutgers,teams,township,trenton,season,boats,bucks,company,connell
2016-09-27,NM,\xc2\xa0,de,paul,vincent,abq,bishop,diocese,pray,us,lubbock,priest,sunday,st,@dailylobo,@sara_macneil,@usccb,accepts,bishop-elect,cathedral,charity,closures,continues,dwi,gloria,interview
2016-09-27,LA,saints,2016debate,falcons,@loyola_maroon,maroon,vs
2016-09-27,NC,trump,carolina,@realdonaldtrump,good,--&gt,debatenight,shit,donald,big,black,coming,everything,fucking,isis,monday,night,ok,public,race,relations,wake,war,iraq,know,like
2016-09-27,ND,charged,question,scream,day,@npr,breckenridge,cinema,coronation,dakota,florida,homecoming,hpr20,keep,ndpreps,pipeline,williston,high,school,north,\xe2\x80\x94,check,crash,fact,man
2016-09-27,TN,@sidelines_news,memphis,county,protest,man,+,battle,btyb,catch,charged,cocke,district,forrest,la,morristown,mtsu,nashville,saturday,sept,terry,hall,hillary,night,run
2016-09-27,NY,27east,shpress,east,hampton,southampton,ehpress,canes,lady,town,applications,bay,baymen,bays,debatenight,end,football,for\xe2\x80\xa6,girls,new,nonprofit,pierson,plays,residents,roundup,san
2016-09-27,PA,@caity_lynn2,country,dragon,lehigh
2016-09-27,RI,de,la,el,en,los,sales,una,board,commerce,esta,homes,students,las,que,se,su,$62.1m,$7.3m,august,cash,clinton,college,competition,confidence,consumer
2016-09-27,NV,carson,county,@carsoncitygov,@carsontahoe,@prestigenandc,broken,clean,elko,emergency,fires,hunt,leopards,mcdermitt,miner,mob,mountain,msha,nye,prompt,put,remnants,reports,rip
2016-09-27,VA,fun,pope,give
2016-09-27,CO,debatenight,last,aspen,colorado,thanks,tickets,trump,get,-trump,anyone,denver,dm,red,good,help,years,5280eats,@,@blm_co,@coloradobizmag,@realdonaldtrump,analyzing,brings,bypass
2016-09-27,CA,@bakersfieldcali,napa,via,\xd4\xb7,actually,california,napavalley,rose,six,supervisor,vegetables,debate,education,guide
2016-09-27,IA,september,see,issue,orange,accident,city,injuries,knight,set,reported,s,able,advances,approximately,backs,battle,behind,cars,catch,cherokee,climbers,collide,conservation,downed,dutch
2016-09-27,ID,byuidevo,@jonathonk,us,become,atonement,father,junior,presidentialdebates,wants,@ibr_teyavitu,@idahonews1,answer,bathroom,boise,byui,city,coming,debatenight,emmett,heavenly,idaho,jenifer
2016-09-27,CT,debatenight,nhv,ctdems,new,trump,crowd,live,independent,|,darien,fairfield,frisk,debate,watch,@hannetworkct,back,big,catch,check,ct,debates2016,gets,hrc,national,ondemand
2016-09-27,ME,maine,maine\xe2\x80\x99s,news,rare,whale
2016-09-27,MD,als,frederick,honda,patty,pollatos,shockley,money,raise,team
2016-09-27,OK,eedebate2016,feature,last,shootings,law
2016-09-27,OH,athens,detroit,hocking,man,guilty,life,ready,student
2016-09-27,MI,city,debate,work,big
2016-09-27,MT,montana,\xe2\x80\x93,@kfbb,missoula,msu,passes,tester,city,council,many,ordinance,weather,$1,.@kfbb,10-12,5-0,8-4,@ahatfieldkfbb,@amandaroleykfbb,@rachel_cswkfbb,accident,action,addition,advantage
2016-09-27,MS,mississippi,neshoba,8th,@lukematheson,@thejefftakewhlt,@youtube,better,big,breanna,brose,calhounacademy,clock,cotton,county,crossroads,defense,faculty,flight,heritage,les,management,miles,miss,nation,students
2016-09-27,SC,106.3,4:15pm,4:30pm
2016-09-27,KY,@archbishopkurtz,@record_archlou,oct,louisville,u.s,.@cc_louisville,army,bourbon,church,clemson,conversations,fort,take,us,annual,conference,event,holds,ready,showdown
2016-09-27,SD,tonight,@sthdakotanews,may,sioux,dakota,debate,students,today,@facebook,@tristateneighbr,bankcard,broncs,daily,free,good,group,information,live,low,luck,missed,premier,program,see,start
