2017-04-10,WA,news,video,police,bernardino,breaking,man,san,school,@fox28_spokane,@khqkjerstin,april,baseball,goodday,least,seattle,shooting,arrested,died,hill,new,next,nyc,say,see
2017-04-10,WV,county,ohio,police,killed,school,tuesday,wv,fire,april,arrested,dead,us,virginia,week,west,wvu,@toddthemurr,danger,home,mov,one,shooting,@shawnwboy,@tditirrowtrf
2017-04-10,HI,\xe2\x80\x93,customized,alfredcravalho,attention,battle,brings,davidaaron,health,kajukenbo,man\xe2\x80\x99s,maui,mauikajukenbo,oahu,oral,ride,rootcanal,six,titles,tournament,wins
2017-04-10,FL,de,en,la,@alexcorderowx,los,el,forecast,island,para,que,&gt;&gt;&gt,@abc27,charged,contra,county,fire,george,icymi,man,st,su,team,us,beach
2017-04-10,WY,wyoming,county,state,cheyenne,big,free,new,amy,college,plan,riverton,road,students,surdam,u.s,@blmwyoming,\xf0\x9f\x94\x92,aeronautics,also,approximately,awards,call,center,chief,civic
2017-04-10,NM,new,tax,fe,santa,mexico,holy,soda,de,francis,get,nuclear,one,pope,st,thursday,us,waste,weekend,art,bill,celebration,city,column,communities,could
2017-04-10,TX,$1.5m,@susmangodfrey,arrested,associate,attrition,boston\xe2\x80\xa6,clients\xe2\x80\xa6,combat,contingency,day,estate,ex-hunton,executor,florida,following,foundation,fraud,fugitive,gas,houston-based,investment,john,litigation
2017-04-10,LA,louisiana,kdm,lawmakers,crash,great,state,tax,court,day,details,lake,man,monday,supreme,us,today,arkansas,breaking,get,gorsuch,governor,holly,local,lsu,monroe
2017-04-10,NY,$9.9,bays,hampton,library,million,referendum,reject,second,taxpayers,time,months
2017-04-10,RI,@golocalprov,pawsox,ri,+,@amandamilkovits,bill,conditions,editorial,ever,guest,hey,higher,house,insulting,lardaro,maybe,moore,outrageous,package,passed,patriots,point,quist
2017-04-10,VA,+,93.3,go,wfls,$10,.@stmaryoldtown,9pm,aldean,backside,branches,children,clearly,cool,could,countdown,counting,country,crowded,feelin,full,gospel,hobby,jason,join,kids
2017-04-10,CO,denver,aspen,photos,week,colorado,new,one,u.s,@newscpr,deal,fatal,gjco,morning,near,see,two,april,breaking,bring,coming,crash,died,duck,ed,family
2017-04-10,CA,shooting,@sbsun,san,bernardino,school,elementary,north,park,via,@bakersfieldcali,two,killed,summer,@ejwamb,dead,news,one,shot,student,students,teacher,victims,woman,adults,beverly
2017-04-10,AL,bentley,gov,governor,robert,alabama,@audioboom,via,@realtalk995,04/10,ivey,kay,talk995,resignation,new,resign,montgomery,hour,@ltgovivey,baseball,charged,de,enterprise,jail,james
2017-04-10,VT,action,aspen,billion,block,bring,commentary,crackdown,craft
2017-04-10,IL,severe,rockford,safe,state,tickets,use,watch,years,fire,artist,attorney,brings,canceled,chocolate,co,comfort,community,court,day,deadly,deputies,east,everyone,finds,force
2017-04-10,ID,pizza,day,return,vr,$1,applicants,bombings,choosing,christians,claimed,coffee,directory,egyptian,ethos,excellence,federal,free,gaming,idaho,inside,irs,isis,joint,journalism,launched
2017-04-10,CT,\xe2\x80\x94,watch,live,ondemand,@sbpdchief,public,students,school,appropriations,board,cmte,ct-n,meeting,bernardino,san,shot,@govmalloyoffice,\xf0\x9f\x93\xba,announce,believe,bills,budget,charlie,committee,elementary
2017-04-10,ME,$17.4m,$25m,19th,2a,3-2,@blake_lipton,@foxabcmaine,@mattrandall_,able,accident
2017-04-10,MA,$1,$1.5,@bankertradesman,@bcheightsarts,@jfkhyannismf,@jfklibrary,@mayortommenino,@mbta_cr,@nlihc,@pppayack,@the_bmc,\xe2\x80\x98best
2017-04-10,OH,91.7,4pm,88.5,88.\xe2\x80\xa6,8pm,@billgrinehart,@npratc,administration,adopting,agencies,days,discuss,enforcement,first,going,indivisibleradio,join,knowing,law,mon-thurs,s,standards,start,statewide,t
2017-04-10,KS,icymi,baseball,lady,safe,suspect,team,$5,.@nyjee23wright,@derby_hoops,@derby_sports,@derbyschoolsks,@dhs_panthers,@fhsuathletics,\xe2\x80\x9cmost,action,administrators,americus,april,auto,avenue,award,bear,bound,celebration
2017-04-10,MT,avalanche,bill,killed,montana,mtleg\xe2\x80\xa6,mtpol,national,wyoming,@hollykmichels,access,along,attention,autopsy,ban,bigsky,bike,billings,bills,body\xe2\x80\xa6,bullock,camps,care,carried,change
2017-04-10,MS,lord,@kihnemanbp,@usccb,afraid,april,crowned,dispatches,emergency,fca,fear,goodn\xe2\x80\xa6,holy,light,miss,monday,natchez,refuge,s,salvation,student,trace,week
2017-04-10,KY,day,april,county,\xe2\x80\x94,get,high,read,three,uk,kentucky,missing,series,sunday,two,@kykernelsports,clouds,crash,good,new,pm,see,take,u.s,today
2017-04-10,OR,@corbanathletics,idaho,week,ccc,ffa,jackson,named,warrior,26%,ag,ago,attacks,baseball,beaverton,breaking,cancel,china,church,commission,complete-game,conference,corban,corban\xe2\x80\x99s,could
2017-04-10,SD,snow,area,@blaisekdlt,@kdltweather,city,school,morning,high,low,new,rain,@kdltnews,across,day,mix,river,south,$1,call,dakota,missouri,move,weather,today,answers
