2017-08-11,DE,netde,fallontonight,terry,gross,sb,@fallontonight,accident,coastal,point,|,best,help,i-95,@nprfreshair,good,jams,need,rd,tonight,@anthonyanderson,bestofde,de,dr,lane
2017-08-11,DC,trump,korea,north,democrats,new,nuclear,report,election,top,us,@tomrtweets,rice,russia,susan,d.c,dnc,navy,senate,strategy,want,first,says,around,candidate,evidence
2017-08-11,WI,wisconsin,current,radar,southern,view,wiwx,find,hudson,new,school,today,week,county,@henryvilaszoo,\xe2\x80\x94,allen,atv,aug,beloit,brian,business,city,crash,daily,donations
2017-08-11,WV,wvu,@toddthemurr,@bkcyclones,new,school,@wvblackbears,run,west,fire,state,coal,lead,president,tonight,wv,bridge,found,honors,hoops,news,ohio,say,thursday,today
2017-08-11,HI,|,sub.req,$4.6m,\xe2\x80\x98the,additional,advances,athletics,began,castle\xe2\x80\x99,class,commission,content,court,deficits,directing,drug,expected,filmmaker,fiscal,foodland,free,fuel,generate,glass,graduates
2017-08-11,WY,casper,council,big,city,truck,barbs,chase,cowboy,custody,deepens,feud,fugitive,life,media,new,photos,reprimand,requested,social,traded,wrecking,\xe2\x80\x9ci,aggressive,already,appeal
2017-08-11,NJ,aug,report,$100,227th,activity,america,birthday,buckscounty,cape,cars,catch,celebrates,center,city,coast,damaged,death,detectives,dot,dreamer,filed,fraudulent,freehold,friday,grant
2017-08-11,TX,allows,5th,@\xe2\x80\xa6,@abfresearch,@jackson_walker,\xe2\x80\x9chow,andrews,arrest,behave,circuit,cleinthecity,company,delaware,district,drug,empirical,fort,hires\xe2\x80\xa6,icymi,juries,jury,kurth
2017-08-11,LA,louisiana,football,marker,mile,new,saints,center,city,early,edge,flooding,hancock,help,questions,school,shell,since,square,stock,whitney,year,$888,@laf_traffic,_
2017-08-11,NC,eclipse,next,@blueridgenow,@brnandrew,@brnrebecca,@nwsgsp,ago,animals,announce,asian,aware,bangkok,baptist,became,become,bible,blocks,calvary,canceled,caregivers,carolina,cause,central
2017-08-11,TN,wate,@6news,@lucky13wxman,@trentmweather,eclipse,@gabbypagantv,festival,high,knoxville,live,school,tennessee,@krisfarley,@marshallhughes,@tearsasmith,@watekellyreinke,blount,cain,cancel,class,congressman,control,even,fun,got
2017-08-11,PA,case,man,house,says,arrested,assault,aug,bream,county,faces,frat,hearing,home,pledge,state,27weather,@69news,@bkoltnow,@dopplerdan,accused,center,charges,coming,death,disease
2017-08-11,RI,8th,@abc6,@johnkrinjak,@kenbellabc6,construction,main,north/south,strange
2017-08-11,CO,colorado,@koaa,broncos,denver,9news,@mikeklis,9sports,@denbizjournal,classic,game,place,springs,@9news,bears,call,change,city,department,found,gardner,get,judge,locals,mall,million
2017-08-11,CA,san,@10news,diego,new,crash,get,@10newsparry,eclipse,i-15,korea,north,weekend,could,trump,@10newsaarons,@10newscha,@10newsmimi,a\xe2\x80\xa6,deadly,finds,go,hours,kids,lanes
2017-08-11,AR,arkansas,friday,bags,frenzy,get,got,high,husband,kids,making,need,pool,preview,school,sponsors,square,thanks,yesterday,first,games,home,parking,says
2017-08-11,VT,$425,johnsbury,received,st,town
2017-08-11,IL,@archchicago,@chicagomag
2017-08-11,GA,atlanta,get,@ktbdavis,city,county,eclipse,free,game,hall,new,police,solar,time,day,10-county,8-year-old,@damasod,@wafflehouse,\xe2\x80\x94,\xe2\x80\x98never,a.m,across,adds,america,anything
2017-08-11,IN,news,traffic,@steve14news,new,wibc,93.1,go,pence,|,@vp,@wibc_ericberman,follow,@14news,@wibctraffic,gas,indiana,card,coalition,congratulations,like,school,ten,county,@
2017-08-11,IA,\xe2\x80\x94,says,trump,@apeastregion,@apsouthregion,breaking,@ap_politics,@apcentralregion,@apwestregion,donald,guam,military,president,taylor,venezuela,want,whale,north
2017-08-11,ID,boise,new,saturday,national,plans,school,home,@cdapressnews,@maureencdapress,best,crash,fair,korea,looks,near,week,trump,us,@chaddcripe,accident,add,arbiter,back,bsu,buck
2017-08-11,UT,utah,alsen,@desnewssports,alpolitics,byu,gets,korea,new,@dnewsopinion,accident,annual,county,game,medical,poll,school,switch,thursday,time,woman,man,killed,police,$50k,@mgmadvertiser
2017-08-11,MT,bdcnews,montana,mtnews,ap,bozeman,opinions,man,go,guilty,annual,assaulting,continues,downtown,fest,forks,friends,gather,girl,glacier,honduran,investigation,kicks,love,misdemeanor,montanafair
2017-08-11,MS,$500,3-year-old,across,beach,bride,bronco,burglarizing,camera,caught,child,class,collapse,controller,copiah,cops,couple,crash,crashers,daughter,deaths,diplomatic,efforts
2017-08-11,SC,road,next,injury,collision,berkeley,8/11/17,@kimberleidavis,accident,college,dorchester,flood,issued,listening,please,pm,weather,county,@_joshberry,advisory,area,august,bruce,charged,collisions,drive
2017-08-11,SD,new,\xe2\x9c\x85,crash,get,icymi,thursday,brookings,football,south,sturgis,egging,know,korea,learn,least,low,motorcycle,rally,say,@taylorswift13,@thebcfair,aberdeensd,approve,arrests,bathroom
