2017-02-03,ME,mesports,@senangusking,maine,@jonalba,bath,hampden,school,tonight,@bychristiansand,@climateactionme,@lhsbluedevils,@mattrandall_,alleged,art,b,back,bond,boys,colby,college,dc,future,gift,hamilton,helping
2017-02-03,TN,$100,8-mile,affordable,agenda,alexander,area,assault,beloved
2017-02-03,MN,st,new,paul,america,army,becker,big,county,feb,horse,keep,lake,man,minneapolis,owner,shop,t,trump,w/,$1,.@brianjohnson32,.@mayorcoleman,145.25-127.125,36.8-\xe2\x80\xa6,://t.co/bb9jolzpn1
2017-02-03,MA,capecod,company,one,subscription,new,trump,year,$300k,$48,80-percent-white,@barnstablema,@company_one,@dpeltod,@sameifling,\xe2\x80\x9cdonald,actonma,advance,amid,appoint,april,arkansas,arrested,asbestos
2017-02-03,GA,bowl,super,falcons,riseup,superbowl,atlanta,lady,houston,new,basketball,students,via,county,need,team,today,best,former,get,go,one,week,@atlantafalcons,@liz_lines
2017-02-03,LA,trump\xe2\x80\x99s,gas,lsu,new,rule,thinks,trump,us,votes,day,/,101.7,8pm,accelerates,accessories,agency,alton,amy,applications,back,backs,begin,betsy,boardwalk
2017-02-03,MI,city,new,students,lake,cadillac,game,michigan,weekend,big,one,today,week,county,night,see,state,take,us,basketball,beal,cancer,department,detroit,drug,eagles
2017-02-03,MO,de,2-3-17,@audioboom,el,kzim,missouri,via,+,=,@1240klik,@1400kfru,@coachbloos,@gycomo,box,cape,cat,closers,cops,director,fame,friday,hall,hour,ksim
2017-02-03,NC,water,basketball,andrews,unc,feb,owasa,city,dam,first,help,hiwassee,new,north,notre,big,carolina,community,dame,female,football,game,greensboro,growth,nc
2017-02-03,ND,bill,@b_emersontrib,refugee,county,feb,kidder,ndpreps,resettlement,week,opposition,show,skate,art,bismarck,bowl,brought,camp,car,corps,drag,eye,families,fargo,fighting
2017-02-03,RI,february,ri,brand,fall,hired,patriots,ripoli,river,who\xe2\x80\x99s,history,44th,5%,administration,appoints,assembly,attack,august,blackhistory,boston,brown,campaign,cellar,closes,collections,comments
2017-02-03,KS,district,tax,$221,annual,ap,arrested,award,begins,big,bishop,bluestem,business,butler,c.h.o.k.e,campus,celebrates,conservation,deductions,excellence,eyewear,fans,finding,flood,football,forward
2017-02-03,WV,lookahead,@sarah_e_plummer,carmichael,education,state,hall,said,higher,marijuana,panel,budget,sen
2017-02-03,AR,added,employers,financial,time,trump,us
2017-02-03,VT,state,agriculture,alcohol,appears,extension,factors,gaping,kindness,lying,s,say,secretary,service,speed,stranger,street,told,uvm,would,wounds,coming,crash,pass,police
2017-02-03,MS,students,new,coach,football,retweeted,academy,icymi,mississippi,business,community,feb,head,college,east,free,kosciusko,power,price,starkville,webster,county,@oxford_electric,action,arrested
2017-02-03,SC,friday,@charlieonair,blufftontoday,via,@1250wtma,@andyshain,@free\xe2\x80\xa6,@jordanlawrence,new,next,please,road,team,woo,185.52,@aclu,@bandcamp,@freetimessc,@ht_fcu,@joyagrayson,@kingvulturesc,@tri\xe2\x80\xa6,@whigsc
2017-02-03,MD,terps,maryland,man,@jarias_prime,facebook,@frednewspost,new,president,state,trump,via,basketball,city,democracy,executive,frederick,live,minutes,shot,super,support,fire,@seanandfrank,annapolis,apartment
2017-02-03,FL,@cityofcrestview,crestview,de,florida,flwx,police,que,@bn9weather,@okaloosacounty,good,man,@cvpdpio,black,buy,coming,crash,forecast,free,legal,lehigh,morning,need,news,obit,okaloosa
2017-02-03,OR,water,around,big,california,families,farmers,feb,house,reduced,valley,via,weiser
2017-02-03,NV,am720kdwn,details,breaking,chip,death,department,dodd-frank,downtown,executive,fewer,investigation,las,order,photo,pres,review,says,signs,som\xe2\x80\xa6,state,suspicious,trump,vegas,near
