2017-03-28,DC,$40,@cardinal_wuerl,@cuacardinals,@jlewdistrict,@sgacua,@washarchdiocese,@wcua,\xe2\x80\xa6,adwvideo,arboretum,arrested,artist,bijou,cafeteria,cam,capitol,catch,charge,contact,crack,d.c,death,eagle,editor
2017-03-28,WI,&gt;&gt,agriculture,committee,madison,tonight,u.s,uw,wisconsin,\xe2\x80\x94,arrested,beloit,dairy,e-edition,energy,falls,farmers,march,opinion,united,washington,water,wis,\xe2\x80\x93,project,@eauclairepd
2017-03-28,FL,15-year-old,26-year-old,4-year-old,4.42,41.\xe2\x80\xa6,5:30.\xe2\x80\xa6,80s,@abc27,@abc\xe2\x80\xa6,@abcnewsradio,@alexcorderowx,@fsubaseball,@gatorsbb,@gma
2017-03-28,TX,firm,.@loyolalawschool,@texaslawyer,admin\xe2\x80\xa6,angeles\xe2\x80\x99,appointments,awards\xe2\x80\xa6,cases,chapter,clean,commi\xe2\x80\xa6,deadline,departments,didn\xe2\x80\x99t,eastern,file\xe2\x80\xa6,grip,groups,help,hou,info,infringement,innocent
2017-03-28,LA,annual,louisiana,way,center,service,$1.2b,$1.5b,$120k,$128,$128k,$6.4m,16-year,1q,@portnola,@valenti_andrew,adding,advancing,affect,amazon,amid,anti-global,approve,around,audit,beef
2017-03-28,TN,@toddfitchette,county,hog,bears,dalton,don\xe2\x80\x99t,say,says,spring,fire,30th,6th,@duanem226,@tpbaseballbears,agriculture,america,arrested,bbq,bradley,call,carnival,changed,chattanooga,choir,coming
2017-03-28,PA,penn,county,state,fire,via,@cpbj,check,club,tickets,column,dubois,newtown,school,township,@upua,board,bucknell,building,candidates,care,crews,events,future,honors
2017-03-28,VA,$25k,.@forbes,3-21,52nd,8/7c
2017-03-28,CO,aspen,fashion,colorado,denver,20%,@newscpr,@rockies,adams,afternoon,almost,bank,clean,code,collins,county,dfw,favorite,fort,i-70,live,market,motorcycle,office,spring,teller
2017-03-28,CA,@bakersfieldcali,@zewing,via,csub,armenian,napa,\xe2\x80\x94,garden,genocide,morning,take,runners,new,@acocarpio,@lamarkkellam,anniversary,arena,azerbaijani,cheer,everyone,georgia,help,ksfomorningshow
2017-03-28,AR,arkansas,baseball/softball,bill,bluff,branson,camden,danville,development,enjoy,family,human,leaders,magazine,mansfield,pine,track,us,today,city,senior,$2m,16-year,30%,430,60s/70s
2017-03-28,VT,suncmtynews,vermont,business,college,free,|,annual,ehealth,local,made,magazine,students,things,1-2,3d,4th,\xf0\x9f\x8d\xba,\xf0\x9f\x8e\x81,\xf0\x9f\x92\x9a,april,attend,bit,county,dartmouth,east
2017-03-28,MA,one,new,bc,irish,public,story,students,school,@bankertradesman,\xe2\x80\x94,bizarre,career,community,legendsoftomorrow,massachusetts,next,@harnishfegerim,@joecurtatone,@johndennisweei,april,around,billerica,bottom,capecod,check
2017-03-28,AZ,@gowildua,asu,via,video,year,airpark,arizona,food,march,yuma,7pm,@,@uofa,\xe2\x80\xa2,basketball,dw,injured,monday,notjustmusic,officers,patches,safford,scottsdale,suspect
2017-03-28,ME,.@foxabcmaine,@news_jackhilton,abuse,child,senator,.@mainechildren,@mattrandall_,@pric508,appears,april,augusta,bangor,barker,blazer,building,chapman,chase,colleagues,collins,combat,control,county,ended,gorsuch,icymi
2017-03-28,MD,wmdt,@abcpolitics,bill,car,crash,gov,lawmakers,maryland,pres,says,seeing,$43.5b,@abc,@alanauglis,@danieljohnsonwx,@jeanvivola_wx,@johncarneyde,@larryhogan,@lilizhengtv,@ryanwmdt,@salisburyu,adopts,agree,alan,always
2017-03-28,OK,severe,el,reno,tue,weather,public,canceled,celebrates,guymon,herald,norman,oklahoma,spring,thunderstorm,tonight,warning,pm,100th,1:39,2:30,afternoon,birthday,black,cdt
2017-03-28,OH,like,this,storify,cup,solo,barberton,red,grab,re,ve,baby,erotic,pc,shooting,toby,university,police,@ccaccincinnati,@tobykeithmusic,akron,athens,bellevue
2017-03-28,UT,help,cow,city,$1,$150,*april,1-2,18th-century,@ap,@apeastregion,accepting,aclu,applications,argues,arresting,billion,blm,blue,border,bureau,calls,came,camera,carbon,chilly
2017-03-28,MI,team,@mtpleasantmi,announced,big,community,consumers,energy,everyone,girls,going,outage,power,rapids,reading,royaloak,safe,sexuality,site,new,area,ballot,center,city,conference,gender
2017-03-28,SC,sc,blufftontoday,bluffton,final,greenville,@crbr,good,morning,severe,thunderstorm,upstate,warning,county,four,road,@matthewclark76,carolina,collision,comes,health,john,reaches,s.c,sen,spartanburg
2017-03-28,OR,oregon,bill,federal,take,@corbanathletics,corban,everything,grocery,march,nurse,says,saturday,student,watch,would,$110,6:00,@,@cathcharitiesor,@pontifex,according,act,addressing
2017-03-28,SD,afternoon,4-5,great,listen,story,watertownsd,area,high,black,business,city,community,congrats,crash,dakota,hills,leader,monday,morning,ordinance,ordinance65,rapid,sunday,want,tickets
