2016-09-22,WA,wsu,gonzaga,skagit,|,state,host,player,whatcom,wheat,county,debate,icymi,man,season,@chronnailon,ask,asked,assault,bellingham,candidates,capitol,chris,delayed,departments
2016-09-22,WV,writes,@lchspride,chapmanville,investiture,weirton,wvu,boys,ceremony,game,lchs,periscope,west,live,.@mikecasazza,@carvelli3,@jeffrey_s_bowen,@lincolnjournal,@little_red517,@mikecasazza,@wendyholdren,brooke,byu,colton,column,d2fb
2016-09-22,FL,de,en,da,para,que,el,floridacentral,la,florida,obit,se,bestofjax,este,facebook,gratis,los,man,puerto,read,rico,s\xc3\xa1bado,tampa,un,@folioweekly
2016-09-22,WY,wyoming,laramie,threat,wyleg,county,oil,parts,threats,wypol,schools,@business,@mattmurphywy,@wsj,\xf0\x9f\x94\x93,book,could,crash,deemed,defeated,don\xe2\x80\x99t,drive,email,exxon,features,final
2016-09-22,NH,nhpolitics,nh,opinion,19,@nhpr,campus,free,getting,race,@ap,@chrissununu,@dr_k_kelly,aims,area,boston,brattleboro,court,dartmouth,events,global,hampshire,important,keene,lawmakers,live
2016-09-22,LA,arrested,@bridget_mire,coach,daily,monroe,star,two
2016-09-22,NC,\xe2\x80\x94,ark,ramseur,/,chatham,davidson,kids,public,sexually,two,weep,among,arrested,central,charlotte,event,man,school,students,time,@_michaelkelley,@ncbaptist,\xe2\x80\x9cstorks,additional,afternoon
2016-09-22,ND,fargo,day,first,power,und,downtown,jail,ndpreps,street,9-23-16,bismarck,border,breckenridge,bringing,brother,chat,co,coaches,commission,died,feature,forum,funeral,kennedy,leave
2016-09-22,NE,local,photos,\xe2\x80\x9cbecause,accept,accounts,affecting,aftermath,america,answer,artist,auto,biz,blood,bluejays,bps,breach,bread,briefs,calories,candidates,confirms,corporate,court,cozad
2016-09-22,TN,drink,fall,market,tonight,+,\xe2\x80\x94,a.m,accused,air,ameripride,amsterdam,apple,arthouse,arts,auction,bandits,bar,beam,benefit,brewhaus,burger,chattanooga,chicago,classic
2016-09-22,NY,27east,lake,shpress,power,11-year-old,a1,adirondacks,arguments,attached,boat,boy,busted,crews,dec,editorial,elba,emergency,final,high,hillary,hits,joint,knocking,lawyers,lead:\xe2\x80\xa6
2016-09-22,PA,@jscottjournal,new,county,ourcities,school,fall,bucks,campaign,make,pension,woman,local,police,-----&gt,beaver,butler,campus,construction,erie,lancaster,long,man,news,pa,reform
2016-09-22,RI,@tmcleish,breaking,island
