2017-06-26,WA,@jpmm_md_cics,@dias_siete,capitol,help,hill,@erinforever14,@redbootchicken,@westsideseo,@cdwgwagov,@darklayersbook,@jamesbest1864,@ka_cics,@midniteraven15,@shelteringlove,@centroneinvests,@cityofseattle,@ferrimas19,@seattlepd,@seattleu,cancer,july,seattle,say,@\xe2\x80\xa6
2017-06-26,WI,wisconsin,current,wiwx,find,radar,southern,view,nbc15,ap,&gt;&gt,washington,court,london,senate,says,latest,minister,tonight,bill,british,crosse,food,former,health,la
2017-06-26,WV,wvu,county,tonight,man,cool,deputies,ohio,senate,wv,area,use,22m,@shawnwboy,@wv511,@wvinjurylawyer,\xe2\x80\xa2,audit,bill,caution,commitment,details,football,here:\xe2\x80\xa6,high
2017-06-26,HI,chasing,district,dj,dreams,fill,guitar,key,life-changing,minors,moves,one,slack,sounds,title,win,accident,air,central,teen
2017-06-26,WY,casper,wyoming,alcova,day,family,highway,ranch,tornado,torrington,court,killed,photos,$10,almost,amid,animals,archery,arguments,attorney,avoid,awards,bloom,boys,bradie,breast
2017-06-26,NH,$32,$32k,29,=,@mikezhe603,@seacoastonline,@tsunami_dhs,animal,briar,charges,co\xe2\x80\xa6,community,cruelty,deal,departments,donate,endangerment
2017-06-26,TX,.@dykema,action,adds,akerman,arrested,borrowers,class,dallas,gardere,got,laterals,lender,payday,sec,wynne,force,office
2017-06-26,NC,trump,chatham,county,court,declaration,independence,latest,libraries,week,ban,know,supreme,travel,@blueridgenow,@brnrebecca,\xe2\x80\x93,advisers,ap,arguments,back,boat,born,colombia,cooper,day
2017-06-26,TN,wate,@6news,@chrisbluelive,@wateodonnell,office,uninsured,budget,case,million,possible,state
2017-06-26,PA,police,breaking,@69newsbusiness,county,court,fire,supreme,man,new,pennsylvania,home,@abc27news,@christineabc27,@ericaabc27,also,beaver,bucknell,budget,businesses,club,could,damage,eye,looms
2017-06-26,RI,@abc
2017-06-26,CA,$5.25,100s,102\xc2\xb0,10th,@560ksfo
2017-06-26,IL,drug,arrested,blood,charges,director,furniture,hanley,investigators,legal,looking,mayor,mcnamara,say,building,found,names,$5,allegedly,bed,belvidere,brother,city,clean,cocaine,competition
2017-06-26,GA,appreciation,month,music,playlist,african,african-american,american,check,find,hits,like,listening,sounds,s,atlanta,july,4th,county,fireworks,hall,late,night,best,barnes
2017-06-26,IN,news,@mayorwinnecke,@hillary14news,@brittany14news,senate,says,fire,water,@14news,estates,indy,lincoln,city,co,group,@lauren_artino,charged,ky,posey,providence,ucla,bill,crews,health,home
2017-06-26,IA,blair,honor,@catholicglobe,@colezy24,city,county,dallas,doc,friends,hope,icymi,love,mason,p.m,photos,sculpture,u.s,baseball,game,health,injured,man,says,two,$10
2017-06-26,AZ,premiere,suspect,tennison,\xe2\x80\x98divorce,\xe2\x80\x9cprime,ahwatukee,call,cvs,done,dresses,ducey,emerge,emergency,estate,first,gov,gown,hike,hill,investigation,jane\xe2\x80\x99s,maste\xe2\x80\xa6,masterpiece
2017-06-26,ID,ibrnews,idaho,ibrpeople,ap,boise,car,payette,tired,police,acres,ahca,baby,cattle,conference,conservation,driver,falls,giant,green,john,left,mobile,officials,payments,places
2017-06-26,CT,bridgeport,state,bill,people,said
2017-06-26,ME,maine,sanford,@seacoastonline,mill,fire,bill,senate,portland,state,boys,court,health,oped,@mattbyrnepph,building,|,men,charged,police,supreme,would,@dinanelizabeth,mepolitics,plane,portsmouth
2017-06-26,MD,live,betawards17,@abc2news,performs,award,man,monday,baltimore,congratulations,details,week,court,fire,report,today,edition,first,officials,perform,supreme,us,black,chance,clear
2017-06-26,MA,bestofboston2017,harrypotter20,new,boston,copley,winners,week,sale,spot,check,@bosfeed,@bostonwellness_,ave,best,capecod,comm,day,great,hogwarts,menu,reader,square,steps,weekend,local
2017-06-26,OH,10tv,ohio,columbus,south,traffic,cemetery,crash\xe2\x80\xa6,i-270,multi-vehicle,sb,convicted,county,fall,lanes,man,officer,police,rd,$100,2nd-degree,\xe2\x80\x9ctake,airport,alert
2017-06-26,MO,@41actionnews,american,shot,child,details,guest,jail,county,@lnanderson,another,co,day,jackson,june,kc,kcmo,officers,police,see,@jeffpennerkshb,@sarahplaketv,app,city,develops
2017-06-26,MN,cities,bemidji,carnival,fun,minnesota,north,twin,walk,court,annual,art,believed,camp,dellwater,double,festival,first,five-day,focuses,locations,parade,retreat,returns,summer
2017-06-26,MI,michigan,day,detroit,flint,july,police,city,flooding,grand,left,local,news,tigers,county,60s,@aaobserver,@cadillacnews,ann,another,arbor,artist,back,bank,bedford,board
2017-06-26,KS,day,kansas,\xe2\x80\x93,city,garden,icymi,crowd,draws,harvest,minutes,wheat,world,6/19/17,6/25/17,art,artistic,boxes,brownback,carnival,check,community,denouncing,enjoy,eric,events
2017-06-26,MT,bdcnews,bozeman,mtnews,man,montana,near,woman,@wabermes,ap,four,hospitalized,rescuing,son,attacked,corners,dogs,gallatin,saturday,suspect,young,river,bulls,gas,looking,opinions
2017-06-26,SC,$600m,@addthis,@kevinbryantsc,@taraservatius,additional,another,anymore,bmw,fbi,fireworks,investing,media,obstructing,safety,sc,talk,trump/russia,via,want,justice,t,thank,tips
2017-06-26,SD,city,aberdeensd,first,\xe2\x9c\x85,monday,old,rapid,sd,stories,tuesday,fire,man,deadwood,ipswichsd,need-to-know,tournament,volunteers,low,time,4-h,@wxspinner89,accused,ag,alexandria,benefit
