2017-02-27,WI,\xe2\x80\x94,belt,buckle,ethan,faeth,faint,feb,guiding,hearted,holds,home,nez,perce,race,sport,stake,wednesday
2017-02-27,WV,wvu,ap,big,international,poll,baylor,check,da,dinner,montgomery,mountaineers,season,student,top,@bschuermanwboy,@cjacksonwvu,@djstatman77,@toddthemurr,@wvubaseball,@wvuhoops,@wvuwbb,annual,arrested,basketball
2017-02-27,HI,wailuku,\xe2\x80\x93,aims,assault,back,bellator,caregiver,case,celebrates,centenarians,church,completed,fighter,grove,happy,hawaii,honeycutt,sex,shot,sub.req,testing,title,walk,way,work
2017-02-27,FL,@abc,@alexcorderowx,arrested,get,killed,shoots,county,police,$4,33-year-old,@abc27,arrest,assault,ban,beach,blunder,boy,bring,broward,bulls,bush,bystander,championship,change,chasers
2017-02-27,WY,state,sheridan,local,city,court,schools,top,west,wyoming,win,alternative,beat,big,carbon,chiefs,cowboys,eagles,get,high,history,improvements,ivinson,lady,loss,man
2017-02-27,NH,team,nhpolitics,via\xe2\x80\xa6,@fostersdailydem,state,@conmonitornews,@deztroyah,@senatorhassan,awards,bail,basketball,bid,dovernh,friday,gorsuch,ksc,ncaa,nh,season,stcharleschurch,tournament,via,week,man,@amorrisnh
2017-02-27,NJ,@rutgersu,@targumsports,new,report,targumopinion,annual,big,council,feb,insidebeat,lowermakefield,million,one,police,stay,theft,three,town,via,wildwood,school,$10,$25,1-aaa
2017-02-27,NM,bishop,day,lent,news,would,community,life
2017-02-27,ND,game,qualifier,region,ndpreps,district,dakota,man,new,winter,end,fargo,farm,kfgo,north,outlook,quarter,west,agriculture,bbb,bismarck,border,e-k-m,half,l-l-m,letter
2017-02-27,PA,$700,1-aaa,28th,83,89th,@bandrybarry,@bucknellcareer
2017-02-27,NV,.@potus,.@seanhannity,hwood,liberal,newsroundup,trashes
2017-02-27,CA,12th,69-year-old
2017-02-27,IL,new,|,read,chicago,man,us,week,accident,car,dead,ends,friday,women,@chicagoctu,begins,check,gets,hillsboro,local,meeting,morning,season,see,special,state
2017-02-27,GA,oscars,new,today,georgia,state,county,first,atlanta,morning,week,high,schools,see,weather,cityofsouthfulton,early,icymi,team,via,wednesday,best,basketball,good,local
2017-02-27,IN,iu,week,@ibjevents,airport,big,health,jets,lakewood,lenten,local,municipal,new,newspaper,park,portland,public,pull,runway,saturday,story,student,text,transit,vote,waiting
2017-02-27,IA,agenda,holy,minbrrn,new,schools,first
2017-02-27,OK,\xe2\x80\x94,allow,announcement,barn,boys,burlington,called,cats,center,ceremony,cloudy,coach,column
2017-02-27,ID,idaho,bill,funding,oscars,budget,house,monday,public,us,anti-profiling,college,debate,democrat,rebuked,run,snow,take,trump,2cscoop,band,case,gun,live,morning,new
2017-02-27,CT,@hannetworkct,connecticut,live,han,boys,fciac,basketball,new,tuesday,look,wilton,arts,forward,state,police,\xe2\x80\x94,feb,gives,hill,hospital,importance,letter,link,live/on-demand
2017-02-27,MA,hall,town,already,boston,marathon,maynard,p.m,tonight,actonma,board,capecod,cities,community,convince,doughty,fake,group,members,murder,new,news,plant,real,recent,see
2017-02-27,UT,retreat,soutah,stgeorge,\xe2\x80\x93,@heroesicons_tv,art,lenten,like,one,st,state,trump,utah,allstartrek,annual,bill,cartoon,day,featured,george,get,goes,killed,man,marian
2017-02-27,MO,morning,@1240klik,@1400kfru,@gycomo,closers,local,man,2-27-17,arrested,break,charges,coffee,death,grab,ksim,kzim,leads,less,lunch,manipulated,meeting,month,noaa,sadi,shooting
2017-02-27,MN,new,state,umn,minnesota,sales,sunday,liquor,man,students,@variety,best,first,mankato,minn,paul,st,community,actor,around,basketball,bill,could,feb,forecast
2017-02-27,KS,icymi,latest,school,$19,.333,.@trav1young,@buyderby,@derby_sports,adds,agriculture,although,andover,anyone,april,artificial,attending,auction,backyard,bag,bcp,bridge,brown,burglary,cafe
2017-02-27,SC,blufftontoday,city,opinion,week,break,get,help,icymi,monday,see,sun,tax,thesuntoday,we\xe2\x80\x99d,love,bach,carolina,cmm,collision,columbiasc,day,great,happy,happymonday,la
2017-02-27,KY,lexington,man,students,say,people,police,@archlouvocation,business,county,court,dinner,hearing,join,killed,lenten,march,officials,ohio,oscar,road,saturday,scheduled,services,state
2017-02-27,SD,listen,state,committee,ct,high,live,sdleg,today,@tristateneighbr,begins,dakota,moment,radio,sdpb,spearfish,via,south,back,photos,senate,watertownsd,girls,help,house,low
