2017-01-20,WA,school,delays,2-hr,coverage,inauguration,45th,crowd,gathering,kennewick,listen,live,resisttrump,several,sworn,trump,@abc,abc,breaking,christian,day,delay,donald,franklin,hospitals
2017-01-20,DE,netde,accident,day,due,inauguration,pike,rd,report,area,col,friday,roadway,sb,st,baltimore,brought,hyle,jammed,jill,joe,lt,nb,old,steve,today
2017-01-20,DC,inauguration,cuatoptweets,protesters,live,people,inaugural,join,let,mall,morning,national,security,station,tomorrow,trump,union,us,veterans
2017-01-20,WV,|,wvu,inauguration,office,trump,ave,band,coach,following,frankfort,game,greene,hoops,inaugural,marching,parade,state,weekend,$1\xe2\x80\xa6,.@wvustudents,1st,@dailyathenaeum,@mitchvingle,@rickryanwv
2017-01-20,HI,|,bigisland,content,free,next,hawaii,kona,opportunity,sub.req,age,auction,biif,block,blossom,bob,calls,care,champions,chief,colin,copy,couple,decade,decision,despite
2017-01-20,NH,@elodie_reed,inauguration,people,@realdonaldtrump,bretton,concordnh,crowd,hampshire,manchester,mcgloin,morning,new,opinion,owner,property,talked,videos,woods,looking
2017-01-20,TX,@lawdotcom,inaugurationday,justice,scotus,trump,txlegal
2017-01-20,CO,trump,denver,colorado,|,@cbsnews,time,new,aspen,cosprings,day,greeley,best,first,inauguration,know,music,police,senate,us,week,@district51,@mikewiggins76,@newscpr,america,big
2017-01-20,CA,inauguration,trump,county,deplorablenation,friday,@920kvec,\xd4\xbf\xd5\xa8,alameda,anca,annual,baseball,canyon,damages,donald,fire,great,issues,kamakura,ksfomorningshow,lake,malibu,napa,plan,proud,restaurant
2017-01-20,AL,trump,de,donald,talladega,basketball,inauguration,@npr,la,city,county,en,live,photos,police,sworn,alabama,arrested,casa,especial,house,inaugurationday,man,news,obama,offender
2017-01-20,AR,trump,arkansas,donald,inaugurationday,@cbsnews,inauguration,south_arkansas,@nbcnews,basketball,de,house,@cbsthismorning,bill,en,first,obama,president-elect,u.s,white,3.9,@accuweather,@potus,aca
2017-01-20,VT,$17,approved,cigarettes,demanded,democratic,event,hospital,johnsbury,party,sponsored,st,trip,vermont,board,school
2017-01-20,IL,inauguration,@laurenkostiuk,police,@rockfordpd,fire,protesters,st,@ccchronicle,bank,breaking,going,suspect,trump,washington,@marissalesner23,chicago,creek,d.c,elgin,first,k,killed,man,march,mulford
2017-01-20,IN,iu,inauguration,trump,@melanie_metzman,county,parade,@ids_weekend,basketball,donald,indiana,school,washington,day,jan,jay,pence,purdue,spring,students,week,new,@emilyerns,first,high
2017-01-20,MA,inauguration,local,new,patriotledgernews,today,north,school,trump,newton,patriotledgersports,president,business,choice,live,press,vote,catholic,day,favorite,free,look,readers,story,support,team
2017-01-20,CT,ondemand,connecticut,court,january,supreme,today,v,school,1/20/17,@ureadiread,argument,ct,ct-n,lisbon,live,meeting,new,oral,p.m,planning,properties,readingambassadors,state,watch
2017-01-20,ME,$103,$7,@foxabcmaine,@fredbever,@jonalba,aaa,accident
2017-01-20,MD,inauguration,@danielleegaines,@baynardwoods,police,@notrivia,back,life,baltimore,frederick,latest,see,things,today,trump,45th,@baltimoremag,@fnp_cullen,@karenhouppert,across,area,arts,beautiful,capitol,car,celebrate
2017-01-20,OK,guymon,lead,daily,donald,half,herald,jan,jv,lady,norman,tigers,trump,|,45th,@journalrecord,@onr,act,ardmore,issues,live,lowest,mph,partly,pictures,run
2017-01-20,OH,7pm,@onpointradio,conversation,day,inauguration,join,reminder,special
2017-01-20,MO,en,01/19/17,@audioboom,break,cape,closers,via,1-20-17,10:30,coffee,county,e,inauguration,kentucky,ksim,kzim,la,man,regresa,return,road,soccer,special,spring
2017-01-20,MN,inauguration,@cihs_activities,big,boys,christian,francis,groups,hockey,lake,lp-a,march,pope,presidenttrump,priests,st,team,trump,$15,$4.5m,$47m,136.225,143.15,45th,5-3
2017-01-20,MI,cadillac,inauguration,trump,boys,city,county,evart,today,buckley,day,mesick,three,township,a.m,advisory,community,last,michigan,says,school,tomorrow,transition,45th,@ap
2017-01-20,KS,45th,confirms,county,discusses,dog,flinthills,glencoe,howard,james,mad,mattis,pentagon,promises,protests,reaches,run,senate,sworn,township,treasurer,trump,president
2017-01-20,MT,mtscores,glasgow,mtnews,day,sidney,\xe2\x80\x93,gbb,inauguration,state,45th,final,kalispell,story,weather,would,3q,across,approval,bbb,camel,congratulate,county,donald,first,friday
2017-01-20,SC,blufftontoday,inauguration,today,@charlieonair,accident,beaufort,best,bluffton,charleston,chsnews,governor,honor,listen,morning,s,school,win
2017-01-20,KY,county,christian,kenton,day,lady,life,sc,cards,5:30,\xe2\x80\x94,agenda,hargrave,hs,left,wayne,basketball,board,center,first,foundation,friday,girls,half,hardin,inauguration
