2017-01-05,WA,bellingham,$50k,@seattleparks,anderson,cal,funding,improve,lighting,safety\xe2\x80\xa6,steam,study,using,visibility,@psetalk,capitol,design,gas,hill,park,power,work,2016-2017,82?\xe2\x80\xa6
2017-01-05,DE,netde,accident,report,rd,sb,i-95,tonight,wb,jams,lane,old,roadway,traffic,school,approaching,bell,jammed,l,nb,neck,obamacare,road,w/injuries,snow
2017-01-05,DC,\xf0\x9f\x8e\xa5,@wcp_arts,d.c,cover,film,pts,review,reviews,@hubisonsports,@humensbb,a&amp;m,around,beautiful,daniel,florida,jazz,miller,mistake,priest,say,symbol,week,issue,last,life
2017-01-05,WV,@toddthemurr,@wvuwbb,early,schools,points,weather,baylor,snow,thursday,today,@baylorwbb,dismissal,hours,muldrow,pm,teana,first,@bschuermanwboy,basketball,brown,dismissing,due,htt\xe2\x80\xa6,impending
2017-01-05,HI,|,sub.req,content,free,today,win,$250,bank,bigisland,boat,footballfever,grand,hawaii,hawaiian,info:\xe2\x80\xa6,kona,las,monlux,nabbed,play,prize,robbery,takes,trip,vegas
2017-01-05,FL,.@mike_clay,winter,flwx,storm,@bn9weather,@mcclurewx,al,ga,look,ready,roth,sc,se,tampa,travel,us,getting
2017-01-05,WY,wyoming,gowyo,fresno,cowgirls,laramie,st,pts,mwbb,road,play,bulldogs,center,education,lead,qtr,rebs,roberts,says,today,state,1st,big,features,found
2017-01-05,TX,johnson,judge,$1,$150k,$700k,@kellyhartlaw,adds,age,akin,antonio,appellate,assist,attorney,auld,award,bias,billion,budgets,clients,corporate,cuts,election,estimating,even
2017-01-05,NC,de,weather,@acthshuddle,en,winter,@ncpreps,snow,avery,nc,storm,basketball,fatal,us,via,way,jan,@ap,@nwsmoreheadcity,@tweetmeme,accidente,el,girls,governor,morning
2017-01-05,ND,elderly,found,northdakota,woman,$7,@bistrib,@cgrueskin,abusing,accused,available,babies,body,boxes,camp,catholic,chair,check,checks,comment,committee,dakota,drop,energy,fire,foods
2017-01-05,NE,nebraska,momseveryday,morning,man,@mtobiasnetnews,cold,us,snow,bank,budget,gering,ricketts,robbery,thursday,today,area,breaking,conditions,near,says,sex,temperatures,union,whiteclay,wind
2017-01-05,TN,$150,2-4,22-29,3,@joshmarler1988,allow,apprehended,arrest,beer,bianca,body,bring,cafe,cameria,cold,cortez,dalton,damages,dangerous,dec
2017-01-05,PA,new,|,butler,first,jan,local,back,basketball,pennsylvania,twp,boys,child,crash,end,farm,final,girls,life,murder,pa,show,state,time,township,work
2017-01-05,RI,de,la,pcbb,el,en,pc,las,se,friars,que,cartwright,lead,los,timeout,un,una,@friarfrenzy,@pcbbcwo,georgetown,ha,half,personas,play,would,@bostonpcalumni
2017-01-05,NV,details,am720kdwn,kdwntraffic,95n,blocked,blvd,carson,conv,ctr,front,kdwn,lane,las,left,lv,page,project,series,sign,vegas,new,city,10:25a,1st
2017-01-05,VA,beautiful,favorite,front,page,next,@salexanderhomes,arha,best,coastal,coming,discussions,featured,future,morning,prepares,projects,redevelopment,see,top,torpedo,yesterday,baby,get,roads
2017-01-05,CO,colorado,springs,@koaa,retweeted,@cstmc,i-25,pueblo,snow,@koaasbowers,crash,road,today,@cspdpio,@nwspueblo,hwy,weather,park,alert,cspd,denver,look,north,p.m,south,storm
2017-01-05,AL,schools,weather,said,closed,friday,alabama,city,winter,jan,school,swafford,weactv24,alwx,closings,tomorrow,due,talladega,january,list,people,threat,state,|,co
2017-01-05,GA,atlanta,festival,georgia,$530,\xe2\x80\x9chidden,activist,announced,announces,art,brooks,budding,chance,civil,co-sponsors,disciplines,duluth\xe2\x80\x99s,enjoy,expands,fans,figures\xe2\x80\x9d,film,ford,gilmore,highlighting,hospitality-focused
2017-01-05,AZ,@cartelcoffeelab,ahwatukee,auction,barrett-jackson,bean,big,cartel,chamber,coffee,drew,expands,impact,lab,offerings,plus,small-business,subscription,year\xe2\x80\x99s,experience,last,service,new,president
2017-01-05,ME,maine,mesports,mebasketball,oob,varsitymaine,end,hyde,photos,new,police,tonight,@207tv,@brianmt,bath,bring,buys,chats,find,iconic,jobs,lead,lepage,marijuana,month,moratorium
2017-01-05,MD,st,@jarias_prime,@frednewspost,john,neumann,trash,closed,truck,accident,center,crash,frederick,lane,north,us,weather,baltimore,driver,including,md,motter,northbound,overturned,police
2017-01-05,MA,new,state,irish,school,snow,de,career,check,en,first,la,things,tomorrow,town,year,watch,weather,@scottmerzbach,@tofranklinma,advisory,around,budget,capecod,committee
2017-01-05,OH,@917wvxu,women,babies,cbj,discuss,first,level,story,today,local,snow,1:00,@1a,@tvkiese,akron,athens,cincinnati,dailyjeff,early,tonight,news,12daysoflongform,7pm,@cincymuseum
2017-01-05,MO,prop\xc3\xb3sitos,@1240klik,@1400kfru,@gycomo,closers,opens,&amp;\xe2\x80\xa6,+,@mizzouwbb,@mizzouwrestling,@mutigerstyle,ajustes,anuncia,c\xc3\xb3mo,durante,financieros,going,hacer,hc,hour,kc,la,locales,lot,mumbb
2017-01-05,MN,january,via,@hibbdailytrib,new,cst,minnesota,+,advisory,alex,back,bill,board,business,chaska,chill,first,issued,mn,today,wind,bonding,changes,cities,dayton
2017-01-05,KS,accident,ehs,injury,rural,take,\xe2\x80\x94,born,central,city,derby,forward,gas,going,healthy,i-35,increase,jan,jim,kansas,keep,late,legislative,market,morning,named
2017-01-05,KY,@rylandky,kyga17,today,bill,schools,uofl,says,rep,closed,abortion,board,georgetown,house,sb12,sen,senate,dem,osu,\xe2\x80\x94,accreditation,gilbert,gov,hardin,kentucky,ky
