2016-10-10,WA,ellensburg,get,near,northwest,today,trump,assault,county,election,food,good,health,healthy,lake,last,next,oct,register,seattle,vote,new,@uwdailysports,@wsucougfb,address
2016-10-10,DE,presidential,today,cooler,debates,last,next,sunny,netde,dover,one,sussex,trump,@briefing_2016,@whyyradiotimes,also,arts,audio/podcast,country,county,cycling,debate,discussion,donald,drive
2016-10-10,WV,debate,trump,clinton,country,energy,donald,muslims,america,companies,going,insurance,question,syria,taxes,want,anonymously,benefits,bicycle,big,business,called,entering,everyone,fix,following
2016-10-10,HI,|,sub.req,ironman,residents,big,$250,75th,americans,anniversary,another,bigisland,biif,brocks,championship,chasm,content,could,country-sized,defense,dismal,display,earns,election,ewing,football
2016-10-10,FL,de,debate,trump,clinton,para,florida,moore,south,su,bishop,donald,el,en,la,like,matthew,sumter
2016-10-10,WY,2-0,another,cowboys,laramie,classes,enforcement,law,near,response,wyoming,accomplishment,acsd1,afternoon,air,assault,attending,believe,bike,burglary,buses,cash,cheyenne,civics,closures,condition
2016-10-10,TX,scotus,#biglaw,clinton,debate,law,look,nominees,outside,says,trump,21%,36%,3rd,aftermath,alleged,appointments,ask.\xe2\x80\xa6,asks,attorneys,backpage.com,banned,bp,calif,campus
2016-10-10,ND,dakota,north,arrested,access,back,fargo,hpr20,pipeline,prices,process,still,today,u.s,williston,work,new
2016-10-10,NE,debate,oct,presidential,2nd,atv,closure,clown,could,day,fall,friday,genoa,issue,p.m,park,photos,new,.@blairschools,.@joycemanor,@devindubs,@huskersoftball,@huskervb
2016-10-10,TN,trump,soccer,vote,county,debate,@pithinthewind,best,donald,gov,memphis,seymour,check,d2aaa,forget,jefferson,media,min,pats,presidential,second,students,top,youth,@billhaslam,@nashvillecream
2016-10-10,PA,nicely,steelers,ben,big,cautious,coates,estimated,hubbard,jets,keep,lions,may,meshes,must,new,patriots,pittsburgh,schedule,sets,unit,weapon,week,wr,first,miami
2016-10-10,RI,la,un,de,una,en,el,las,los,que,con,debate,del,tours,\xe2\x80\xa6,actriz,anoche,clinton,est\xc3\xa1,great,hillary,m\xc3\xa1s,newport,polic\xc3\xada,presidencial,really
2016-10-10,NV,county,nevada,business,elko,debate,@nevadanews1,family,industry,nbm,oct,owned,presidential,state,thevegasedit,vegasmag,2nd,association,awards,bank,baseball,best,carsoncitylive,challenges,close
2016-10-10,VA,debate,trump,clinton,dnr,donald,go,hillary,one,see,@cnn,@foxnews,good,new,time,wins
2016-10-10,CO,american,food,free,marczyk,new,5280festivus,@5280magazine,@amandamfaison,@daliahsinger,@gabenjou,affordable,artists,arts,awareness,bagel,beloved,bites,bob,carbondale,celebrate,cherry,city,colorado
2016-10-10,CA,via,@bakersfieldcali,debate,trump,49ernow,election2016,american,community,day,news,public,today
2016-10-10,AL,oct,st,career,dancin,dave,debate,donald,game,heart,looking,mural,myuna,new,night,saturday,says,see,something,story,trump,vs,walk,|
2016-10-10,VT,suncmtynews,vermont,killed,big,buzz,carving,chainsaw,college,famous,five,flags,fly,gov,half,honor,middlebury,ordered,peter,shumlin,staff,teenagers,uhs,video,festival
2016-10-10,IL,|,debate,day,trump,today,reports,county,school,students,new,back,center,chicago,city,fall,illinois,second,clinton,columbus,community,dependonus,el,food,gazette-democrat
2016-10-10,IN,brown,county,$650,advances,bond,boys,candidate,congress,cross-country,district,events,halloween,notice,q&amp;a,regional,sale,schools,season,team,u.s
2016-10-10,IA,october,issue,see,city,orange,photos,education,get,bid,county,day,fall,local,save,thank,way,|,new,@catholicglobe,@sharethis,adventure,annual,auction,begun,blood
2016-10-10,ID,idaho,kmvt11,trump,ibrnews,boise,oct,presidential,debate,homecoming,says,take,us,@boistartupweek,@cdapressnews,@idahonews1,@mikecrapo,alene,around,behind,bill,change,climate,coeur,comment,death
2016-10-10,CT,new,@wustl,question,debate,debates2016,independent,|,duc,farmington,cheers,debatenight,fairfield,open,students,@martharaddatz,assistance,big,cng,dance,debate2016,energy,etiquette,fishing,go
2016-10-10,ME,brunswick,mepolitics,northern,sports,time,tr,warm,$3,$8,9pm,abbreviated,according,acquisition,advocates,african,ahem,archives,aroostook,baked,bit,bought,came,candidates,capable
2016-10-10,MD,fire,hagerstown,photos,\xe2\x80\x93,county,frederick,home,trump,work,new,@marylandnews1,community,ravens,school,wordpress,@heraldmailnews,@md511western,arts,ave,baltimore,business,check,clinton,couple,day
2016-10-10,UT,utah,win,\xe2\x80\x93,oct,soutah,stgeorge,byu,cachescanner,city,laketown,park,swat,today,@dixieathletics,@hpusharks,awareness,breast,called,cancer,cartoon,county,dixieblazers,editor,event,features
2016-10-10,MO,@miranda_ann5,monday,october,route,2nd,4-h,@1240klik,@1400kfru,@gycomo,@sammpau,bridge,closers,county,friday,juanita,leaf,maple,media,mizzou,place,road,round,runner,shots
2016-10-10,SC,clinton,hillary,$250,106.3,debate,donald,hate,heart,less,listening,making,morning,one,promising,s,says,tara,tomorrow,tremendous,trump,word
2016-10-10,SD,high,state,@sthdakotanews,another,dakota,good,low,pipeline,saturday,school,access,car,chart,fifth,great,horse,missed,monday,news,place,reminder,south,students,sunny,tomorrow
