2016-09-17,DE,drug,food,kalmar,nyckel,protest,sailing,smyrna,friday,us,win
2016-09-17,WI,game,quarter,seymour,shawano,left,richmond,st,lightning,central,croix,work,another,delay,fall,family,lead,public,somerset,wins,football,leads,new,community,degree
2016-09-17,WV,update,akron,marshall,score,state,west,halftime,virginia,lead,herd,final,@herdfb,@lchspride,glenville,left,charleston,zips,1st,leads,game,wesleyan,wvprepfb,@carvelli3,early,half
2016-09-17,HI,bears,billion,finish,flood,flowing,gallons,outpouring,recorded,river,round,support,touched,victims,day,unbeaten
2016-09-17,FL,gay,dora,mount,villages,photo,facebook,florida,getting,posted,youth,arrested,car,couples,date,dating,drag,e,family,festival,go,happens,hit,lady,law,miami
2016-09-17,NH,drought,14-15,6-3,9:15a,@senatorsessions,al,average,balt,betts,budget,calls,carroll,choose,county,currently,debated,debut,defining,discussion,dog,dry,eat,else,end,enjoyed
2016-09-17,NJ,morris,roxbury,somerset,10:30,20th,@,@crnorthfootball,@eswint22,@isabelsoisson,@neshaminy,@neshaminyskins,@papreplive,@pennsburyfb,@phsgroundpound,@ridermenssoccer,@targumsports,@wtfbpanthers,\xe2\x80\x98asylum,\xe2\x80\x98shades,accepts,alive,anniversary,art,baird
2016-09-17,LA,loranger,mjh,ponchatoula,52weeksofmercy,big,high,novena,peace,prayersforpeace,$5,@anchor,audubon,back,bill,bollingers,bring,case,check,connect,everything,fight,gift
2016-09-17,NY,lake,tupper,50th,airport,candidate,caucus,enrollment,fall,marketing,millennials,nader,ny21,shares,veteran,write-in,new,$355,27east,@cksedu,@wildcenter,a1,adirondacks,agbo,anniversary,autumn\xc2\xa0day
2016-09-17,PA,pa,@nwspittsburgh,beaver,edt,pm,take,warning,rock,cover,including,butler,fire,harrisville,slippery,tornado,final,win,10th,@jscottjournal,accused,beer,board,broke,craft
2016-09-17,NV,$1,1-4,10-10,17-10,1a,24-10
2016-09-17,CO,aspen,colorado,bike,cosprings,live,springs
2016-09-17,CA,via,@bakersfieldcali,de,alameda,el,green,half,people,report,u.s,years,@chrisg_sports,@lbsusoccer,@usdwsoccer,a.m,burbank,csulb,elk,eureka,first,found,game,media,news,one
2016-09-17,IL,def,game,st,\xe2\x80\x94,aurora,county,elgin,last,one,final,pm,time,$114,$15,10%,12-week,13-10,20-14,28-7,50th,54-12,8-6,8:03
2016-09-17,GA,warriors,half,hall,bhs,dawson,play,tigers,cedar,game,lead,west,county,camden,goal,spartans,td,end,@nthsports,field,first,good,local,news,run,shoals
2016-09-17,IN,@cab_athletics,eh,homecoming,royals,good,left,panthers,4th,knightstown,3rd,game,king,queen,remaining,sa,stop,wes-del,\xe2\x80\x93,burton,crowned,eastern,first,hancock,high
2016-09-17,IA,iahsfb,lead,hampton,left,spencer,first,half,lake,run,spirit,@youtube,titans,via,@mattheinrix,okoboji,1st,@sdr_sports,september,14-3,gives,halftime,indians,kick,vinton-shellsburg,vs
2016-09-17,ID,102.5,35-6,3pm,8-12,91.5,@barrysvrluga,@fabarnhill,@idahonews1,@isusportstoday,@mlb,@readerscornerbk,advantage
2016-09-17,MA,beverlyma,beverly,nantucket,sept,@capecast,@capecod_online,@charlesmblow,capecod,check,soccer,@abrsd_ad,@capecodtimes,@johndotwhite,day,girls,great,panthers,today,@daveeisen,big,center,coach,due,efforts
2016-09-17,MO,td,lead,-0500,run,sep,@mc_panthers,sat,yd,left,salisbury,hermann,homecoming,indians,mo,st,tigers,go,photos,win,belton,branson,half,halftime,james,nodaway
2016-09-17,MN,via,@epnewssports,@hibbdailytrib,eden,prairie,cathedral,district,invite,mvl,sw,football,eagles,hopkins,photos,final,3-0,41-0,@ep_fansection,\xe2\x80\x99jackets,around,augsburg,becoming,boys,cloudy,crow
2016-09-17,MI,game,def,east,half,kalkaska,michigan,zeeland,elk,high,holland,minutes,rapids,2nd,\xe2\x80\x94,benishek,family,final,first,going,house,lightning,peters,point,polars,resume
2016-09-17,MT,mtscores,lights,carroll,montana,state,fb,big,half,lead,4th,back,cc,college,first,glasgow,hs,linder,local,mckinley,missoula,northern,one,oregon,quarter,right
2016-09-17,MS,vardaman,thrasher,lead,brucetrojans,calhouncity,yard,run,td,left,pontotoc,scores,south,half,first,glaspie,velma,velmajackson,county,jackson,jordan,play,score,2q,3q,\xe2\x80\x93
