2017-06-15,WA,@dias_siete,fire,@jamesbest1864,@link10_nigeria,@playgameslover_,@redbootchicken,@nexotechnology,@sexybigup,@wheelsofhoperis,de,spokane,go,house,seattle,@jaimsvanderbeek,capitol,crews,hill,la,live,richland,story,new,@cdwgwagov
2017-06-15,DE,rd,netde,sb,accident,i-95,lane,pike,roadway,traffic,fire,day,de-48,ethics,jams,lancaster,marsh,naamans,old,report,reported,restrictions,watch,work,u.s,$147
2017-06-15,DC,d.c,graham,jim,former,like,pride,capital,de,lgbtq,local,member,shooting,ward,@1a,dc,national,@washblade,alexandria,congressional,council,councilmember,dance,dead,house
2017-06-15,WV,west,virginia,back,dell,story,photos,amateur,area,big,budget,county,day,house,huntington,june,thursday,wv,wvu,$11.6m,@elayna_12wboy,@stormtracker12,@toddthemurr,around,assistant,boyd
2017-06-15,HI,|,\xe2\x80\x93,content,free,sub.req,18th,306-unit,abarcar,along,alter,beaten,camp,campimua,carole,closed,college,could,doesn\xe2\x80\x99t,draft,ducklings,em\xe2\x80\xa6,front,gold,goldmedalist,haliimaile
2017-06-15,WY,casper,city,wyoming,mountain,cnfr,county,june,lion,news,wednesday,bar,corpus,council,downtown,feast,industry,local,photos,two,wonder,albany,big,college,energy,feature
2017-06-15,NM,fire,abq,jemez,mountains,mexico,man,new,apd,area,budget,fund,judge,news,nm,approves,breaking,cajete,collection,confronts,considers,cuts,day,de,delays,deputies
2017-06-15,TX,houston,lawyer,alleging,austin,bestof,business,closes,dallas,dispute,endowment,established,establishes,exactly,friday,friend,fund,highlights,honoring,houston\xe2\x80\xa6,jamail\xe2\x80\xa6,joe,lawyers
2017-06-15,LA,industry,oil,pipeline,@crystalampress,access,budget,dakota,get,lalege,ruling,surprises,@melindadeslatte,authorities,better,charles,exhibit,football,hot,june,lake,local,louisiana,national,scalise,series
2017-06-15,NC,via,rd,county,creek,missing,details,local,@chuckroadsfox46,@fox46news,@fox46nick,@jocoreport,accident,breaking,dad,hot,meeting,morning,woman,year,man,charged,charlotte,found,friday
2017-06-15,NY,new,@audioboom,@curtisandeboni,via,show,@ebonikwilliams,lake,people,12-3p,@bernieandsid,host,news,red,rhetoric,weekdays,6/15/17,@77wabcradio,@lakeplacidnews,@repdesantis,asked,back,behind,county,eye,going
2017-06-15,PA,cosby,@69news,@jaccii,@jamiestovernews,crash,man,new,psp,@69newsbusiness,accusers,bill,bivens,breaking,cosbytrial,fbi,jury,pennsylvania,support,us,wanted
2017-06-15,NV,kdwntraffic,blocked,lane,activity,area,heat,left,pic,rtc/fast,vegas,police,.@govsandoval,15n/sahara,3:29p,3:33p,7:27a,8:43a,95s,9:07a,@drdaliah,@ingrahamangle,\xe2\x80\x9ci,actually,advice,around
2017-06-15,AL,st,clair,coach,morning,fire,@andrewjamesnews,@caitlynclinetv,@thedarrylhood,alabama,arrested,charged,county,greenville,montgomery,murder,shooting,story,man,@alnewsnetwork,air,another,black,boe,breaking
2017-06-15,AR,arkansas,nwark,nwanews,@knwanews,fort,smith,severe,@danajwinter,county,disaster,job,time,@cbsnews,ark,fair,grants,house,morning,order,shooting,thu,update,fire,remains
2017-06-15,VT,$80,accused,contractor,electrical,embezzling,employees,former,local,two
2017-06-15,GA,+,.@concentrics,=,@atlantafalcons,@juliabainbridge,albany,arthur,atl,back
2017-06-15,AZ,@,safford,best,big,get,heatwave,myazpm,one,tonight,tucson,today,fire,season
2017-06-15,ME,bangor,budget,funding,maine,$525,american,ballot,bid,bill,blame,boost,citizen-initiated,clearly,contract,debts,demanded,democrats,despite,doesn\xe2\x80\x99t,editorial,festival,five-year,folk,gun,health
2017-06-15,MD,@abc2news,baltimore,fire,airy,live,@stepnerabc2,back,drive,ravens,watch,@ashleyjamesabc2,@marylandtraffic,canton,delays,gmm2,june,last,maryland,mt,say,video,wmdt,@brendanabc2,charged
2017-06-15,MA,next,school,@balandtrust,@beverlylibrary,check,congratulations,flag,go,high,nashoba,new,principal,rates,regional,sign,story,way,week
2017-06-15,UT,byu,utah,@desnewssports,dad,leader,one,arrested,back,flds,jeffs,lyle,news,update,utpol,wednesday,years,@dnewsopinion,announced,another,art,billion,charged,commitment,committee
2017-06-15,MI,breaking,michigan,storms,tonight,vote
2017-06-15,KS,county,rep,june,\xe2\x80\x93,kansas,u.s,commissioners,day,editorial,hills,lawmakers,marshall,roger,brand,brownback,children,due,farmers,flag,flight,flint,food,gccc,go,gov
2017-06-15,MS,@kihnemanbp,|,meeting,ms,tupelo,baseball,@loganlowery,alabama,battery,calhoun,camp,church,come,contact,drafted,indianapolis,july,leading,mississippi,morning,msu,ole,podcast,prayer,savings
