2017-05-25,HI,free,|,content,sub.req,hawaii,5-8,big,bigisland,calls,could,cyclones,forecast,king,tides,tropical,|\xe2\x80\xa6,season,west,administration,alakahakai,all-american,along,approved,assault
2017-05-25,LA,@johnampress,bill,lalege,vote,house,criminal,end,justice,rep,would,next,tax,ask,get,guilty,jury,kennedy,louisiana,senate,senator,budget,check,trump,week,320-5335
2017-05-25,NC,16-year-old
2017-05-25,ND,explain,listen,podcast,$80,@amberalert,@cassndsheriff,@detroitlakesmn,@jimkfgo,@mixfargo,beneke,brad,cables,estimated,fargo,friday,gabrielson,gofish,gordon,haps,hdmi,jj,kfgo,labs,luke,saving
2017-05-25,NE,nebraska,@maxmasseytv,cities,hospital,recent,prison
2017-05-25,NV,details,blocked,vegas,kdwntraffic,crash,.@lvmpd,barricade,delays,las,pm,right,st,trump,valley
2017-05-25,VA,@dailyprogress,catholic,hour,@arlingtonchurch,bed,best,breakfast,congratulations,culpeper,duke,fr,fredericksburg,indian,listening,named,review,successful,us,winning,via,court,downtown,game,next,trump
2017-05-25,AR,arkansas,s,@arpublicmedia,@historyinpix,check,june,month,q&amp;a,return,river,save,security,area,first,honor,learn,washington
2017-05-25,VT,vermont,vt,new,suncmtynews,program,business,nh,ny,police,|,marijuana,may,weekend,state,btv,magazine,man,@seanmparker,care,college,facial,health,need,open,plan
2017-05-25,IL,shot,winnebago,man,12-year-old,killed,rockford,update,aar,back,blow,dead,film,firearms,found,home,large,near,say,thursday,village,police,appeals,court,following,3.1m
2017-05-25,IN,@lauren_artino,crash,@ispevansville,boehne,shooting,@14news,camp,closed,lloyd,update,wb,@,sectional,told,vanderburgh,@erinmeyer14news,@hillary14news,@jdowns14news,@vandsheriff,alert,breaking,door,epd,estates,lincoln
2017-05-25,IA,city,golf,iowa,mason,north,business,challenge,festival,reynolds,governor,showers,win,writes,set,@catholicglobe,best,gets,lieutenant,photos,probation,trial,today,area,new,academic
2017-05-25,AZ,phoenix,5:30pm,breaking,clifton,comicon,help,man,day,new,arrested,central,city,find,officers,people,years
2017-05-25,ID,opreps,ibrnews,idaho,idpreps,title,man,roundup,$107,@cct_tribune,@cdapressnews,@cdatribe,@cwidaho,@idtechcouncil,@senewsteam,@theellenshow,@theportlandtrib,@wsucoe,academic,advance,affairs,alex,all-nwac,allegedly,around,assault
2017-05-25,CT,fciac,\xe2\x80\x94,live,darien,may,watch,house,@hannetworkct,boys,connecticut,ridgefield,lacrosse,day,\xf0\x9f\x93\xba,barlow,bridgeport,ctlax,final,girls,new,session,thursday,title,easton,fisherman
2017-05-25,MO,cape,closers,man,5-25-17,5/24,@audioboom,break,c\xc3\xb3mo,coffee,el,ksim,kzim,la,luis,meeting,missouri,mizzou,morning,splash,day,opens,rock,school,top
2017-05-25,MN,minnesota,bar,best,prairie,thursday,eden,home,plan,review,salad,session,special,st,man,section,new,@mark_tarello,cities,golf,hundreds,lawmakers,pm,protest,southern,twin
2017-05-25,MI,morning,elementary,road,around,bill,critical,douglas,gary,huizenga,keep,lambertville,michigan,monroe,physical,shelby,something,stepson,therapy,vehicle,video,war,whtc,appeals,court
2017-05-25,KS,@derby_sports,blue,valley,$6,13-7,3:30pm,5:00pm,6astatebaseball,@derbyhsbaseball,@derbyrec,@dhs_panthers,accident,acoustic,activity,adams,afternoon,alley,american,americus,arrest,aviator,begins,breezy,buckner
2017-05-25,SC,blufftontoday,carolina,growing,south,@addthis,@charlieonair,beaufort,fastest,greenville,spotted,storms,city,food,latest,person
2017-05-25,KY,@broshea91,\xe2\x80\x94,kentucky,@gocards,free,meeting,@record_archlou,aluminum,june,mass,pm,update,day,man,amish,charge,close,committee,final,friday,jurich,ky,lexington,logan,murder
2017-05-25,OR,oregon,rd,update,canyon,beach,lane,crash,exit,@bipartisan,eb,week,blocked,chavez,closed,heading,i-5,join,lanes,responders,rogue,seeking,workers,report,still,team
