2016-11-16,WI,election,week,new,prescott,madison,motion,school,state,student,wisconsin,students,day,friday,milwaukee,news,tonight,trump,football,opinion,snow,time,victory,wis,world,city
2016-11-16,WV,c,county,football,precinct,one,back,cold,first,friday,front,high,marshall,schools,state,us,week,40s,@mitchvingle,\xe2\x80\x94,b,best,charleston,coming,coverage,dangerous
2016-11-16,FL,de,en,trump,el,crestview,los,first,la,obit,orlando,police,que,accreditation,american,eeuu,florida,law,loss,m\xc3\xa9xico,para,se,things
2016-11-16,NH,bus,strike,drivers,opinion,nh,school,@realdonaldtrump,basketball,keene,student,@wmur9,boston,column,denies,district,east,first,giving,holiday,lawsuit,life,major,make,monday,near
2016-11-16,NJ,students,@cleespot,christmas,madison,national,veterans,west,day,.@rutgersu,annual,crime,days,highlights,new,reports,stories,windsor,school,@aquarianweekly,@googoodolls,@oliviafstop,@usccb,approved,board
2016-11-16,NC,man,election,nov,country,avlmusic,football,haywood,november,residents,unc,wilkes,new,students,two
2016-11-16,PA,year,@bucknellu,\xe2\x80\x9ca,burner,carol,christmas,dutch,fire,named,old,pa,returns,shell,started,trolley\xe2\x80\x9d,wood,house,small,students
2016-11-16,VA,p.m,tonight,7:30,@arlingtonchurch,@stachyraach,b\xc3\xa1nica,bishop,blood,catholic,college,dignity,diocesan,dominican,dsu,find,lives,love,made,mission,one,presents,republic,t,theatre,u.s
2016-11-16,CO,1,10th,303dfw,5280drinks,5280sweets,@,@5280magazine,@allysonbtc,@brownpaperbunny,@daliahsinger,@du_pioneers,@erinleighskarda
2016-11-16,AL,said,owen,policy,ghee,absc16,de,el,\xe2\x80\x93,asked,cap,follow,yoga,arab,commissioner,commissioners,county,first,president,recommended,swafford,trump,would,@johnashepherd,@pastorgregc,al
2016-11-16,VT,suncmtynews,vermont,|,community,/,\xc2\xbb,argus,business,central,chatted,check,david,district,elizabeth,enews,enewsmakers,events,hosted,izzo,latest,life,magazine,management,members,rutland
2016-11-16,GA,news,county,|,georgia,new,atlanta,gwinnett,thanksgiving,football,may,season,annual,butts,coming,host,man,nov,program,roundup,teams,woodstock,community,basketball,calendar,canton
2016-11-16,IA,november,issue,|,see,city,iowa,t,@emilylwenger,college,election,school,students,a.m,check,come,county,east,first,free,friday,looking,northwestern,nov,orange,season
2016-11-16,ME,maine,food,new,recounts,take,topsham,agreement,awards,dam,developer,elections,end,falls,finalists,mepolitics,mill,opinion,place,program,public,reached,remove,rock,saccarappa,three
2016-11-16,MD,county,frederick,man,baltimore,road,three,video,alert,box,charter,closed,council,election,following,football,free,help,maryland,may,mayberry,md,new,overturned,protest,reports
2016-11-16,OK,\xe2\x80\x9ci,accountable,airport,all-ardmoreite,concept,country,cross,exactly,female,going,happening,lot,marietta,misinformation,rogers,runner,shooting,sykora,think,tough.\xe2\x80\x9d,tuesday,victim,winchester,world
2016-11-16,OH,dailyjeff,county,ohio,guide,season,@aftabpureval,council,gift,time,holiday,today,defiance,delays,event,first,go,good,million,news,nov,one,president,program,s
2016-11-16,UT,annual,chocolate,high,check,friday,held,soutah,students,tomorrow,week,election,festival,local,nov,open,school,stabbing,stgeorge,story,thursday,women\xe2\x80\x99s,new,@caputosmarket,acclaimed,bear
2016-11-16,MO,county,@1240klik,@1400kfru,@gycomo,closers,high,@madi_sonking,@milesplit,@musialawards,@pchsxc,barry,bill,buck,cedar,community,dorado,el,event,free,joins,nov,retro,rink,s,school
2016-11-16,MN,via,@hibbdailytrib,coming,hwy,@epnewssports,@eps272,friday,highway,nov,state,@edenprairienews,@rivertown_news,acres,award,board,chanvillager,charged,chaska,chaskaherald,county,delay,eastern,eden,election,find
2016-11-16,MI,cadillac,bedford,detroit,man,alert,amber,board,boyne,county,music,nov,p.m,today,@cmlifesports,b,city,day,deer,housing,jazz,love,make,one,start,volleyball
2016-11-16,KS,new,@kfhsradio,asian,book,election,federal,fhsu,football,growers,holiday,one,tpp,traditions,win,fire,see,two
2016-11-16,KY,@kyelandj,resolution,says,board,day,@oliviakrauth,davis,position,would,.@uoflsga,@uoflsga,student,\xe2\x80\x94,campus,check,sports,ulf,101st,@aaron_vance,come,county,diversity,foundation,high,latest
2016-11-16,SD,@tristateneighbr,dakota,high,via,low,south,around,check,city,looks,rapid,site,state,teams,new,4:45pm,@imjhnstvn,access,afternoon,announces,another,article,coach,ecc,election
