2017-07-26,WA,5%,5pm,@wspd6pio,amon,beverly,birthday,blizzards,burke,buy,cause,celebrated,closed,cokezero,cow,creek,cutename,dairy,directions,good
2017-07-26,WI,\xe2\x80\x94,wis,extreme,madison,$1,agricultural,ap,awarded,badgerland,bee-identification,brazil,build,cold,columbia,considine,developed,esther,european,extremes,farmers,flag,fly,fruit,growing
2017-07-26,WV,transgender,trump,camc,military,people,west,wvu,county,new,virginia,wv,us,@danthorn_,@potus,@thedasports,@wowkalyssa,capito,check,end,layoffs,photos,serving,set,care
2017-07-26,FL,&gt;&gt,@alexcorderowx,co,havana,tallahassee,update,crash,study,transgender,10th,72-year-old,@abc27,@stevejiwanmall,affected,america,body,businesses,chances,check,closure,counterfeit,deputies,discovered,educated,famu
2017-07-26,WY,wyoming,could,photos,back,coal,final,goes,homicide,idaho,investment,numbers,oil,people,polls,preseason,scaled,sessions,standings,triple,vs,washington,west,man,accused,conference
2017-07-26,NH,state,conway,deal,dot,nh,road,s,$15,$25,1\xc2\xbd,@fostersdailydem,@mwhaley25,@realdonaldtrump,@thenorthernpass,\xe2\x80\x9ci,ag\xe2\x80\x99s,alcohol,armed,audio,bans,blaze,boutin,bus,cavanaugh
2017-07-26,NJ,@nj1015,n.j,traffic,new,south,@,@billspadea,jersey,madison,board,police,read,school,@cleespot,@dennisandjudi,changes,get,hamilton,lane,man,next,nj,@gsparkway,@proudjersey
2017-07-26,NM,press,associated,inmate,new,escaped,sandoval,/,say,journal,texas,county,fe,staff,police,bernalillo,center,officers,shooting,writer,\xc2\xa0,\xe2\x80\x94,detention,mexico,n.m,people
2017-07-26,TX,$125m,.@pillsburylaw,5thcircuit,\xe2\x80\x98i,ads\xe2\x80\xa6,advertising,another,austin,awarded,bait,banning,barexam,barry,bet,biotech,blow,burgdorf,co,coo,corporate
2017-07-26,LA,louisiana,amazon,center,trump,$280m,become,celgene,community,fire,hiring,historic,mississippi,new,official,ohio,plant,profit,second,show,station,suit,talk,us,wisconsin,works
2017-07-26,NC,@brnderek,@blueridgenow,stroupe,fugitive,made,mills,missing,school,man,@enquirerjournal,@rachaelriley85,a.m,bivocational,briefing,bryson,citing,clown,could,council,demands,early,election,fayetteville,force
2017-07-26,NY,town,southampton,brookhaven,crime,lobster,one,add,added,aim,amagansett,another,backs,belligerent,bi-colored,boys,candidate,case,chief,cohen,courtyard,customer,demolish
2017-07-26,PA,mayor,@69news,@jamiestovernews,pawlowski,allentown,attorney,indictment,new,puppy,charges,ed,feds,reading,@abc27news,@loganwilsonnews,charged,health,man,@makeawish,breaking,care,news,today,us,wrong
2017-07-26,RI,@abc6,news,july,audio,latest,ripr,local,update,@bbuonoabc6,military,police,shanley,trump,new,ri,victims,ban,@newportfolkfest,boat,island,killed,providence,rhode,state
2017-07-26,NV,8nn,hostages,update,breaking,@8newsnow,@lvmpd,bank,gun,roof,w/,man,@brittanyedney,@courvo,@katieboertv,anchor,bundy,interview,metro,officers,suspect,valley,vegas,robbery,shows
2017-07-26,VA,basketball,betrayal,camp,continue,ford,forecast,grant,heat,henrico,humidity,it,killing,louisa,recalling,relationship,returning,richmond,rva,sexual,student,suspected,teacher,teenager,three,upgraded
2017-07-26,CA,crash,@10news,@10newskalyna,obdulia,@elaina23abc,car,@veronicaabc30,get,people,rd,traffic,update,breaking,@10newsparry,center,deadly,fire,fresno,humidity,lane,one,sb,live,blocked
2017-07-26,VT,hot,new,police,allowed,coming,day,essex,even,game,state,suspect,title,trump,year,car
2017-07-26,GA,school,crime,true,podcast,w/,season,back,breakdown,listen,new,now\xe2\x80\xa6,atlanta,find,guide,know,ultimate,like,church,thought,u\xe2\x80\x99d,black,inside,u,ga,highly
2017-07-26,IN,news,people,county,july,@tonykatz,due,indiana,work,new,closed,military,traffic,senate,today,transgender,@wibctraffic,going,i-70,jay,near,|,crash,co,fine
2017-07-26,IA,@apsouthregion,$100,advocate,ambassador,big,bottom,breaking,brothers,brownback,diamond,divers,earring,freedom,georgia,gov,house,imprisonment,international,jones,julio,kansas,lake,large,lawyers,loan
2017-07-26,OK,$1,air,alex,antonio,base,basic,begin,events,force,great,host,lackland,northeast,oklahoma,reid,san,september,texas,training,series
2017-07-26,AZ,abc15,new,@arizona_dps,@arizonadot,fire,sb,sr,votes,crash
2017-07-26,ID,boise,idaho,state,smith,coach,lyle,fire,@chaddcripe,@davesouthorn,tuesday,people,@cynthiasewell,football,get,media,one,@bjrains,@coachharsin,ask,four,think,video,west,trump,us
2017-07-26,ME,maine,new,|,via,man,mesports,@wgme,oped,portland,trump,mepolitics,open,town,@mainebiz,annual,arrested,charged,creech,day,fire,five,former,one,see,today
2017-07-26,MD,@abc2news,@cassieabc2,crash,two,county,@stepnerabc2,baltimore,camp,ravens,route,@chrisfromabc2,annapolis,fatal,gmm2,one,dixon,frederick,kenneth,swim,training,wrong-way,live,morning,new,possible
2017-07-26,MA,7news,police,boston,@boston25,trump,man,patriots,worcester,boat,fire,new,says,news,video,live,military,people,abuse,death,breaking,president,home,last,week,bill
2017-07-26,OH,10tv,ohio,browns,charlie,coke,gard,judge,local,michael,presented,shark,state,fair,hospice,live,zero,2-year-old,5th,action,adds,alert,amazon,angry,announcement,apologizes
2017-07-26,MO,@41actionnews,@arothfield,new,advisory,back,fire,heat,kc,chase,customers,right,still,storms,today,house,.@chiefs,@kcpolice,@mayorslyjames,@missouriwestern,@overlandpark_pd,@patrickfazio,@stjosephmo,@thellhake,action
2017-07-26,MN,always,fargo,new,killed,leader,longtime,minnesota,vikings,address,age,anna,audit,aug,bemidji,brings,center,charged,community,councilors,crisis,editor,felony,findings,gathers
2017-07-26,MI,mph,moving,bay,east,flint,gusts,heavy,member,michigan,north,open,rain,thunderstorm,west,@apsouthregion,area,assault,breaking,live,time,trump,week,11th\xe2\x80\xa6
2017-07-26,MT,bdcnews,montana,mtnews,ap,fire,yellowstone,mtpol,near,opinions,mtcrime,valley,man,park,approves,daines,drilling,exploratory,fires,insurance,judge,key,law,outdoor,proposal,recreation
2017-07-26,MS,hot,man,charged,new,10-minute,88-year-old,\xe2\x80\x98lil,across,actor,allows,angelina,another,anxiety,bandit,barbie,better,break,bryan,busted,butt,butt-touching,calm,chipotle,cleaning,clown
2017-07-26,SC,@mikeabccolumbia,gamecocks,@abc_columbia,blufftontoday,forecast,next,columbia,win,news,back,camp,careful,gamecock,military,night,panthers,sc,scnews,tuesday,year,abc,county,former,new,us
2017-07-26,KY,fire,kywx,could,kentucky,season,county,thursday,today,wednesday,ave,businesses,busy,charged,christian,church,dept,eclipse,good,hobo,hopkinsville,info,intersection,less,much
2017-07-26,OR,care2,washington,oregon,border,portland,football,$10,-@ap,.@potus,@tripcheckpdx,back,billion,california,closed,delay,department,foxconn,grandparents,i-5,left,ln,local,nb,ore,record
