2016-11-30,WA,kela,app,centralia,pipeline,steilacoom,tune,washington,wsu,businesses,dakota,oil,\xe2\x80\x94,access,election,leads,seattle,walla,news,county,air,creek,cwu,event,ever
2016-11-30,WI,opinion,noise,prescott,recount,column,falls,health,st,new,62-47,@grabow1966,@prescottjournal,art,band,beloit,buy,ellsworth,isthmus,keep,lead,michigan,milwaukee,officials,opener,plan
2016-11-30,NH,opinion,@nickbreid,hampshire,n.h,nhpolitics,parking,recipe,new,@chairmanbuckley,@elodie_reed,coming,concord,concordnh,fees,firefighters,jeff,soon,spirit,get,south,state,top,wildfires
2016-11-30,NJ,madison,.@rutgersu,@aquarianweekly,@setyourgoals,charges,fund,guilty,lesser,pizza,pleads,princeton,robbinsville,superintendent,teen,school,back,check,christmas,crash,great,holiday,killed,much,new,nov
2016-11-30,NM,andrew,@dailylobo,taos,advent,feast,pray,preview,st,unm,weloveithere,icymi,new,christmas,@abqthemag,@beth_a_sanchez,@dailylobosports,@kkobradio,@sarahtweets_abq,@unm,albuquerque,apostle,assistance,best
2016-11-30,TX,law,energy,icymi,cowboy\xe2\x80\xa6,$855m,@eversheds,@gt_law,@holmanfenwick,@jonesday,@leggefarrow,@maura_healey,@sutherland_law,acquisition,alcohol,appear,basin,boundaries,c,claiming,combine,controller,debate,deposition,dispute,distilling
2016-11-30,LA,businesses,glover,alabama,cedric,near,responds,trump,sales,$40m,@valenti_andrew,accusations,add,allegations,anglais,arkansas,avenue,avoid,bedrooms,biggest,btw,caf\xc3\xa9,campus,changes,charles
2016-11-30,NC,damaged,destroyed,ed,engineer,festive,gatlinburg,imb,mcdade,reset,studios,homes,looking,working
2016-11-30,ND,million,fargo,bishop,dakota,hpr20,law,protest,$15,$7,5th,approved,cities,coffee,costs,cyber,dapl,enforcement,found,health,mandan,minimum,monday,oldest,pipeline,preview
2016-11-30,NE,unk,nebraska,momseveryday,@unkearney,clear,/,1st,bag,beatrice,christmas,go,skies,staff,store,unl,winds,holiday,two,@mtobiasnetnews,cancer,chadron,concluded,face,facebook,feel
2016-11-30,TN,officials,sevier,987traffic,gatlinburg,wildfires,wreck,people,$200,@987news,@foodcity,@nwsmorristown,@sportsanimal,@wivk1077,@wvlt,alexander,areas,available,blocked,bodies,chapman,confirmed,contributions,counselors,curfew,damaged
2016-11-30,NY,bkindc,@brooklynchamber,@hardballchris,@whitehouse,brooklyn,girls,water,new,@carloscissura,@melissajenel,briefing,east,great,home,time,@nygovcuomo,delhi,excited,getting,hampton,irish,places,spirit,sponsored
2016-11-30,PA,middlesex,man,township,crash,road,county,new,|,breaking,closed,dimantae,injured,route,fire,crews,died,following,morning,pa,police,time,two,know,news,shooting
2016-11-30,VA,@danielpmcdermot,freeman,center,guide,p.m,@brianstelter,@comcastbusiness,@directvnow,announced,app,digital,gift,holly,humanities,open,projects,return,southern,student,tv,university,virginia,vt,week,wizarding
2016-11-30,CO,$5,.@monarchmountain,.@springsteen,1st,20-bedroom,5280drinks,@adams_alumni,@citywidebanks,@coloradobiz,@coloradobizmag,@gobreck,@littlecurryshop,@natashajgardner,@newscpr
2016-11-30,VT,suncmtynews,vt,uppervalley,nh,upval,vermont,|,business,charges,hartford,magazine,stalking,\xe2\x80\x94,&lt,\xc2\xbb,a.m,assault,blasting,crash,cyber,dies,elizabeth,enewsmakers,engage
2016-11-30,IL,dead,positions,airlifted,another,automotive,center,distribution,event,facility,fill,flown,head-on,hiring,hosting,imusa,interiors,looks,one,orangeville,recalls,rockf,s,yanfeng,driver,crash
2016-11-30,GA,$1m,1st,2:45,3:45,5-pound,@cbs46,@mikebettes,addresses,alley
2016-11-30,IN,@jaycopatriots,adams,burris,click,half,officials,roundup,swim,girls,boys,central,holiday,road,version
2016-11-30,IA,knoxville,sioux,@kyle_ocker,albia,defeats,elc,every,fmhs,girls,area,central
2016-11-30,ID,idaho,says,friday,.@storyfortfest,.@treefortfest,62-58,@ktmcbeth,@maydobs,\xe2\x80\x9cif,accepted,already,announcement,arbiter,argus,available,boise,bookclub,bpd,bronco,center,changes,charges,charities,cheer,come
2016-11-30,CT,@hannetworkct,darien,live,greenwich,watch,connecticut,ridgefield,football,new,state,drug,sentenced,sports,weston,class,ct,cthsfb,drought,education,ondemand,woods,home,1/4,10th
2016-11-30,ME,maine,new,bowdoin,@christianbsand,mesports,usm,advocates,brunswick,england,facility,forensic,near,sports,town,tr,day,donald,enter,food,improve,keep,say,.@kathryn_miles
2016-11-30,OH,giving,bobcats,cambridge,charged,cincinnati,clairsville,dogs,hockey,sheriff,st,tried,career,found,students
2016-11-30,UT,utah,soutah,stgeorge,add,teacher,@slmag,bloopers,bone,byu,catholic,days,encouraged,giveaways,go,high,jeweler,law,marrow,meetings,mexican,much,names,news,oliver,pchs
2016-11-30,MO,missouri,mizzou,@simoneawards,@specsportskc,finalist,salaries,tigers,university,=,@1400kfru,@_pcpirates,@cdtcivilwar,@gycomo,closers,coaches,columbia,court,democrats,dorado,efficiency,el,falls,game,hour,housing
2016-11-30,MN,@hibbdailytrib,via,eden,prairie,snow,girls,@epnewssports,expected,halftime,hockey,past,pope,raiders,south,wem,holiday,38-36,anderson,becker,bourbon,butcher,cloudy,coop,cost,cougars
2016-11-30,KS,preview,@derby_sports,guide,s,reach,sports
2016-11-30,MT,valley,changes,edition,letter,county,@ghsscotties,\xe2\x80\x93,\xe2\x80\xa6,attorney,bitterroot,clouds,fair,falls,henry,judge,kelly,lake,montanamoment,mtbigskyseries,mymontana,p.m,protest,raising,rescue,says
