2016-10-27,WA,capitol,hill,man,near,river,seattle,story,@chronnailon,@jtomtas,canadian,first,fork,game,issues,rainier,street,time,tonight,work,$2500,$4,.@walshconstco,11/15,15th
2016-10-27,DE,bay,$37,&lt;br&gt;weather,10k,@depublicarchive,@mrswendymturner,across,address,anchor,anyone,avant,b,bellanca,bought,bridges,bsd\xe2\x80\xa6,bu,changes,close,day,de,demographics,du,early,eastbound
2016-10-27,WV,county,early,voting,rain,showers,aaa,abroad,accident,armed,avenue,briefly,chance,class,day,department,game,i-79,light,local,much,near,new,preston,robbery,success
2016-10-27,FL,de,en,el,la,trump,para,los,una,lawyer,new,por,says,@lawdotcom,breaking,clarence,election,es,groped,hombre,house,le,news,orlando,scotus,se
2016-10-27,WY,wyoming,new,district,sheridan,laramie,county,halloween,officials,p.m,school,take,year,cheyenne,community,cuts,event,first,go,health,insurance,it\xe2\x80\x99s,monday,news,next,nov
2016-10-27,TX,@lawdotcom,houston,icymi,law,legalnews,payequity,sanctions,$150k,@kirkland_ellis,alminsider,amendments,amid,article,breaking,case,cash,cigna,clarence,clash,companies,costs,courtrooms,customer,defense
2016-10-27,LA,via,@youtube,indstyle,awards,back,night,take,@loyola_maroon,first,friday,louisiana,@voodoonola,honoree,honorees,meeting,new,two,10-year-old,@colleendulle,@es_snipes,@lesterduhe,\xe2\x80\x94,alarm,answer
2016-10-27,ND,day,dapl,morning,@amyrsisk,county,dakota,fargo,highway,man,million,new,news,north,pipeline,$20,@bistrib,apple,beer,breaking,carrington,completed,facebook,interview,latest,life
2016-10-27,PA,state,$662,@governortomwolf,apartment,bill,death,desk,grant,guards,include,injured,investigating,pepper,police,prison,provide,rochester,s,spray,updates,wednesday,woman,would
2016-10-27,RI,de,el,d\xe2\x80\xa6,en,la,que,u.s,un,decline,son,tiene,los,una,al,collections,cond\xc3\xa9,fell,jobless,media,mejor,mundo,nast,percent,providence
2016-10-27,VA,new,culpeper,season,election,front,halloween,hokies,homecoming,opinion,page,see,special,stories,vine,vt,|
2016-10-27,AL,\xe2\x80\x93,10/26/2016,age,carolyn,collier,hamilton,obituary
2016-10-27,AR,arkansas,marijuana,medical,court,issue,ballot,today,two,@lt,arpx,award,booneville,branson,breaking,continues,customer,day,disqualified,dogs,final,football,game,hall,high,income
2016-10-27,GA,news,halloween,|,region,atlanta,county,georgia,gwinnett,new,year,@georgianews1,black,first,football,gets,griffin,local,looking,nov,ready,road,week,@lawdotcom,barrow
2016-10-27,OK,bartlesville,it\xe2\x80\x99s,$1m,cards,challenge,family,halloween,kills,list,makes,officer,officer-involved,ok,report,scene,shooting,shoots,suspect,they\xe2\x80\x99re,ward,wish,ywca,2015-16,@russwest44,\xe2\x80\x94
2016-10-27,AZ,@cronkitenews,azhorizon,arizona,24/7,5:30pm,az,channel,educational,election,election2016,icymi,kids,resources,voter,.@arizonapbs,.@donaldjtrumpjr,@ahwatukeefn,@allysonrhoskins,@arizonapbs,@azdemparty,@azgop,@azgoveducation,@cityofphoenix
2016-10-27,ME,\xe2\x80\x94,grant,two
2016-10-27,MD,frederick,hagerstown,md,suspects,\xc2\xa0,activities,animal,arrived,boost,cancels,center,charged,convicted,counts,cruelty,fled,fre,hage,high,horse,includes,km,kr,locations,looking
2016-10-27,MA,friday,capecod,fire,de,early,free,street,town,get,@capecodtimes,best,booth,football,great,health,public,third,new,2nd,@jackfoleyhn,advice,afternoon,annual,break,expo
2016-10-27,OH,county,belmont,end,sell,wednesday,$500k,$63.6,200th,9-year-old,activities,agencies,albany,alleged,anniversary,announces,arkley,arrest,assumes,athens,bear,black,bond,braves,buckeyes,bulldogs
2016-10-27,UT,get,great,new,slc,utah,byu,soutah,stgeorge,tickets,@quesoguapo,business,call,candidates,county,featuring,former,free,halloween,last,man,reacts,student,students,suu
2016-10-27,KS,de,set,fhsu,county,el,new,win,\xe2\x80\x93,en,photo,takes,tigers,@cowleysportsnet,\xf0\x9f\x90\xaf,central,city,con,cowley,derby,emporia,kansas,la,meet,october,part
2016-10-27,MT,fwp,home,belgrade,hunter,man,miller,warren,4-minute,\xe2\x80\x9chere,admits,anything,around,assault,away,back,bear,break,bubble,can,canyon,case,catches,caverns,celebrates
2016-10-27,MS,$255
2016-10-27,KY,@pontifex,@record_archlou,@sthomasfamily,effort,fr,love,nov,poster,$$10,11/16,6:30pm,@archbishopkurtz,@holytrinitylou,@patwright7,@slslou,@tceciljr,@usccb,a,a\xe2\x80\xa6,adam,approach,around,ask
2016-10-27,OR,help,u.s,charity,find,join,photos,$0.63,$2,+,2016womenofvision,3-0,5.9,6.4,7-0,@archbishpsample,@ccrams,@politicususa,@pontifex,abused,access,adrian,advances
2016-10-27,SD,protesters,tonight,dakota,history,pipeline,read,remove,@sdpbnews,@sthdakotanews,@vee_wicks,access,big,check,confrontation,days,director,district,field,game,garcia,get,going,great,halloween
