2017-07-11,ME,maine,ban,death,liquor,panel,portland,rejects,state,trump,|,.@microsoft,1-minute,@1minhikegirl,@sarahsmiley,@ssgtravismills,@sunjournal,@wgme,\xe2\x80\x98a,age,air,alfond,amish,among,angels
2017-07-11,MD,@abc2mike,baltimore,mdwx,tune,@abc2news,wmdt,8:20am,@47abc,@930wfmd,@catherineabc2,@danieljohnsonwx,@fredcolibrary,@skylerhenry,alert,animals,beach,catonsville,day,displaced,evening,gold,got,heat,hot,looking
2017-07-11,MA,new,photos,fourth,kidz,local,reader,wicked,@bplboston,adn,awards,bevy,collected,design,mahar,renovation,take,tomorrow,@bosfeed,@bostonwellness_,airport,article,august,basketball,boys
2017-07-11,NM,texas,campaign,houston,tuesday,fe,judge,santa,u.s,new,albuquerque,arizona,border,colo,course,denver,dozen,fort,general,governor,insurance,letter,mexico,n.m,near,ordered
2017-07-11,OH,10tv,county,timesavertraffic,warning,flood,ohio,toledo,new,@jayberschback,bank,wednesday,crash,columbus,flash,killed,madison,near,north,tornado,get,suspect,traffic,2:00am,ahead,bicyclist
2017-07-11,NH,\xe2\x80\x9cthe,abusive,attacks,bit,cars,come,discouraging,every,filling,find,highways,i\xe2\x80\x99m,icymi,initially,job,losing,lots,needs,original,out.\xe2\x80\x9d,parking,response,school,sometimes
2017-07-11,LA,new,@foxnews,meeting,city,killing,louisiana,parish,says,@emilyampress,@klfy,bayou,deputy,family,rescue,state,get,us,@abc,@cbsnews,@lesterduhe,@realdonaldtrump,adopt,chain,continue
2017-07-11,DC,de,los,dijotrump,en,el,que,la,free,para,putin,al,bananas,capital,es,fringe,las,sobre,station,un,una,yo,new,a\xc3\xb1os,antes,aqu\xc3\xad
2017-07-11,WI,$263
2017-07-11,NE,$75,lincoln,residence,caused,fire,tuesday
2017-07-11,KS,icymi,new,@derby_sports,city,ash,kansas,post,program,telegram,wheat,business,check,county,home,look,monday,time
2017-07-11,VA,@mitchcarrtv,@8news,infield,mcauliffe,says,henrico,redskins,@chip8news,@evanne8news,@richmondraceway,armed,assembly,believes,county,deals,eventually,free,general,hot,index,new,online,outside,raceway,robbery
2017-07-11,PA,men,missing,da,police,@69news,bucks,morning,new,woman,crash,man,@69newsbusiness,breaking,says,@jamiestovernews,co,home,news,still,traffic,young,@bkoltnow,accident,conference,death
2017-07-11,SC,@jackposobiec,deleted,emails,hillary,loses,media,minds,releases,jr
2017-07-11,OK,anxious,heatstroke,information,love,16-year-old,7pm,@claremorerec,\xe2\x80\x9ci,according,apd,child,data,days,dies,every,gotv,grove,highway,incident,issues,lone,looking,minors,mother,moves
2017-07-11,KY,lexington,kentucky,pence,county,north,new,mike,wednesday,kywx,lot,parkway,president,see,talk,vice,crash,us,@record_archlou,@seanwbko,according,charge,days,louisville,near
2017-07-11,AZ,abc15,new,air15,phoenix,@abc15sports,@irisabc15,arizona,canyon,gold,azwx,damage,free,home,monsoon,queen,scottsdale,slurpee,storms,trump,road,storm,valley,43rd,@ambersullins,abc15wx
2017-07-11,FL,&gt;&gt,@abc27,@alisonposey14,@floridahighfb,@fsusf\xe2\x80\xa6,anglers,anyone,approve,checking,city,florida,hard,hunters,leave,paid,parental,re,summer,tonight,workers,commissioners,county,fbi,flips,gives
2017-07-11,RI,@abc6,news,local,july,update,audio,latest,ripr,providence,@chelspriestabc6,arrested,man,police,ri,via,budget,@abc,breaking,new,old,pawtucket,video,year,@sfenlonabc6,crash
2017-07-11,NV,@sportsxradio,8nn,@720kdwn,@8newsnow,@berniefratto,@jokonta91,@kenthomson87,@sports8,@sportsxmichelle,@wimbledon,great,nbasummerleague,pic,tonight,good,live,news
2017-07-11,SD,south,board,icymi,school,aberdeensd,dakota,melgaard,mitchell,object,pierre,@wxspinner89,grain,high,kdltnews,new,park,story,water,former,police,\xe2\x9c\x85,airport,baler,brookings,browncountysd
