2016-10-02,DC,redmass,64th,@independent,blessing,god,invoke,s,today,get,.@cardinal_wuerl,@ap,@archbishophebda,@archdiocesespm,@pontifex,@usccb,@washarchdiocese,air,around,at\xe2\x80\xa6,attorneys,barack,cathedral,celebrate,changes
2016-10-02,WI,reader,awareness,recipe,schools,new,opinion,$107,48f,6-turnover,65f,@atitansports,@samanthacora,@satniteduets,\xe2\x80\x98apple,abuse,accoun\xe2\x80\xa6,action,air,alive,ambulance,arrests,babies,badges,bank,barbaric
2016-10-02,WV,@dougsmock,herd,pitt,@herdfb,marshall,1st,pass,td,left,game,kansas,mu,time,trails,wvu,1q,20-0,30-14,30-20,3rd,beat,blows,clark,comeback,final
2016-10-02,FL,matthew,de,hurricane,latest,sunday,para,florida,los,el,game,advisory,la,miami,ni,p.m,tan,police,@nbc2,beach,colombia,da,get,dance,del,e
2016-10-02,NH,redsox,nhpolitics,nashua,bishop,brady,ortiz,@keenestateowls,bases,ceremonies,event,first,game,gift,girls,guertin,high,hr,inc,inning,like,little,may,nh,player,school
2016-10-02,NJ,@trentonmonitor,mass,red,students,@setonhall,@targumsports,hoboken,ohio,rutgers,targumreread,train,.@rutgersu,@rideruniversity,around,borough,buzz,ceremony,coat,crash,day,feser,hours,like,madison,market
2016-10-02,NM,popefrancis,baku,kids,mosque,time,sunday,today,@catholicrelief,@cindy_wooden,@usccb,@usccbprolife,ahead,always,animals,apd,balloon,black,column,connecting,dance,debut,eicma,event,fairtrade,fairtrademonth
2016-10-02,TX,alminsider,alone,awards,concerns,cybersecurity,dark,embarrassed,empowering,insulting,it\xe2\x80\x99s,must,partner,paulhastings,radar,s,shock,tech,u-turn,web,icymi,left
2016-10-02,LA,louisiana,student,@airbnb,houma,park,&gt;&gt;&gt,@bridget_mire,@wdsu,anti,crime,details,driver,everything,kard,kiroli,ktve,ktve\xe2\x80\xa6,markey,mickey,night,planned,protest,thibodaux,time,west
2016-10-02,ND,event,fargo,hpr20,wellness,williston,best
2016-10-02,TN,$268.03,$500/pair
2016-10-02,NY,nny,new,boys,read,via,@fisher_comm,clarkson,cvs,defense,falls,football,lake,moves,needs,ofa,plans,senior,served,soccer,story,taste,water,york,annual,college
2016-10-02,PA,week,oct,calendar,briefs,fall,story,township,valley,community,police,\xe2\x80\x94,borough,dubois,end,homecoming,loss,pennridge,school,wine,year,day,festival,first,season,top
2016-10-02,RI,37%,99%,\xc2\xbfde,\xc2\xbfqu\xc3\xa9,\xc3\x9altimo,a\xc3\xb1o,a\xc3\xban,acuerdo,apoyan,beb\xc3\xa9,ca\xe2\x80\xa6
2016-10-02,NV,fire,ruhenstroth,frontage,frontagefire,residents,fairgrounds,gas,highway,nut,pine,@nevadanews1,allowed,las,vegas,brian,burning,came,closed,evacuation,firefighters,homes,lar,leak,near,outbuildings
2016-10-02,IL,third,|,quarter,yard,@pndaily,dakota,gazette-democrat,illinois,sdsu,south,football,left,naperville,state,td,anna,black,campusnews,case,leads,line,rotary,second,set,team
2016-10-02,GA,
2016-10-02,IN,@jacobethompson,local,team,time,always,boys,chili,opening,rain,sun,9:00,@satrackxc,\xe2\x80\xa2,acac,another,bake-off,capsule,champs,church,cloudy,co,cook-off,finally,full,girls
2016-10-02,IA,1-0
2016-10-02,OK,52-46,faith,mph,se,set,tcu,wind,city,former
2016-10-02,ID,ldsconf,@dalegrenlund,@bednardavida,repentance,brobriankashton,eldercarlbcook,faith
2016-10-02,ME,dempsey,maine,bath,fundraiser,patrick
2016-10-02,MA,great,questions,american,csi,novel,published,real,like,get,check,benefit,dan,foundation,memorial,run,saugus,scharfman,belmont,boston,capecod,@jimmorrisonbt,arlington,changes,classes
2016-10-02,UT,elderrenlund,presnelson,elderballard,faith,jesus,serve,elderrasband,presuchtdorf,know,bishopdavies,eldermeurs,feel,others,god,love
2016-10-02,MI,.@cmu_w_soccer,0-0,1/4,49-10,@atd023,@cmu_football,@cmuvolleyball,apple,around,artprize,ball,bears,board,bonamego
2016-10-02,OR,northwest,portland,fire,three,displaced,oregon,home,pension,plan,volleyball,\xc2\x97,board,linfield,|,2017-19,adopts,adults,agencies,contribution,ducks,face,higher,increases,line,open
