2016-12-11,WI,cst,december,weather,12:00am,issued,nws,special,9:00pm,statement,winter,prep,advisory,snow,tonight,win,health,invite,news,portage,roundup,@stoutonia,birchwood,carthage,claire
2016-12-11,WV,hall,white,@dominionpostwv,hailwv,hechler,ken,state,walmart,wvu,@brandonwtap,age,basketball,congressman,dies,fired,police,report,respond,secretary,shots,virginia,west,600th,91-33,@wdtv5news
2016-12-11,HI,access,bears,county,cup,fees,ivey,mls,mull,officials,park,scott,sounders,take,titles,win
2016-12-11,FL,crestview,@brunsonm46,@cnbulletin,@coachjimgreen,@youtube,clean,compassion,empathy,gravesites,resident,sympathy,use,veterans,via,volunteers,1a,75th,@crestviewhs,@ocsd1,@troyunews,@uwf,\xe2\x80\x94,abrir\xc3\xa1
2016-12-11,WY,cheyenne,christmas,bull,county,dec,features,full,gifts,local,news,parents,park,rider,show,story,sunday\xe2\x80\x99s,top,wyleg,wyoming,10-year-old,15th,@jhngsports,@kgalloway_wte,@sarahzoellick
2016-12-11,TX,icymi,5thcircuit,check,crazy,creativity,credit,dol,enough,expedited,get,grants,hearing,hr\xe2\x80\xa6,lawyers,litigation,overtime,rule,t,true
2016-12-11,LA,big,coming,feud,inside,rude,would
2016-12-11,TN,family,look,county,december,next,titans,bhc,blue,cleanup,cost,council,dec,delivery,doubles,driver,estimate,exactly,exclusive,fire,football,fukushima,good,got,graduates,inside
2016-12-11,PA,new,$108,.@fencesmovie,@ubymca,afford,arts,august,band,becomes,board,bodybuilder,brockway,budget,burglar,burglary,butler,butler\xe2\x80\x99s,campaign,chocheli,choir,christmas,community,concern,could,course
2016-12-11,RI,de,un,el,la,que,en,metal,por,se,una,1\xe2\x80\xa6,\xc2\xa1mira,\xe2\x80\xa6,activista,adolescente,agresor,al,apunta,asesinado,atentado,aterrador,atravesar\xc3\xa1n,auto,batalla,buscando
2016-12-11,NV,--&gt,@boulder_hs,aims,amazon,attention,balance,break,cherlyn,fields,finding,help,life,need,news,others,return,shoppers,teachers,winter,find,read,new,students
2016-12-11,VA,football,state,final,look,richmond,congrats,crash,one,photos,time,zach,@faizanct,advent,another,bhc,calm,check,city,coach,county,danny,december,delivery,driver,exactly
2016-12-11,CO,@du_hockey,denver,duvsumd,@umdmenshockey,i-70,nchchockey,|,@tannerjaillet31,closed,snow,time,@ejanny26,breaking,goal,left,period,play,says,score,soccer,1-0,2-1,@ap,@tterry28,another
2016-12-11,CA,$15,accused,action,alameda,american,approved,berryessa,california,canyon,carol\xe2\x80\xa6,city,close,comes,council,county,deliberate,disciplinary,doctor,face,gauge,helena,interest,jurors,lake
2016-12-11,AL,\xe2\x80\x93,12/10/2016,age,fite,frances,hamilton,obituary
2016-12-11,AR,@luhkeygurl,abortion,al,amazing,annual,aprueban,arkansas,at\xe2\x80\xa6,auditorium,bills,candle,cellphones,centro,charming,christmascountdown,clinton,compassionate,construcci\xc3\xb3n,county,critic,dakota
2016-12-11,VT,suncmtynews,check,design,local,photos,new,\xe2\x80\x98full,actions,ahead,arm,arrival,attention,best,canadian,championships,chips,christmas,countdown,county,creative,curve,days,deficit,denim,discussion
2016-12-11,IL,snow,rockford,winter,county,holiday,home,saturday,today,tonight,@redbirdwbb,fire,george,good,ilwx,isuwbb,local,mason,morning,people,police,storm,take,three,warning,week
2016-12-11,GA,atlanta,clayton,@accessngasports,albany,county,falls,news,photos,scoreboard,tallulah,tribune,|,@providenceacdmy,christian,convo,holiday,icymi,indians,making,morning,providence,storm,tonight,area,back
2016-12-11,IN,witnessmedia1,county,portland,time,begin,indy,jay,may,snow,start,team,victory,week,@nwsiwx,@tulsaworld,advent,arrive,article,baseball,based,best,carlton,chance,comes
2016-12-11,IA,binford,great,house,n,one,series,us,visit,6:30,8-0,8/8,@carfraed,@nwciowa,@nwcraiders,@sarastolsma,@wartburgknights,abuse,across,ago,an\xe2\x80\xa6,annual,area,arrested,asking
2016-12-11,ME,17,@christianbsand,@midcoastnews,advent,along,approval,archives,backcountry,bath,bob,bowdoin,brunswick,carves,christmas,coles,couple,cover,dec,december
2016-12-11,MD,@greg_swatek,elkton,walkersville,@fredericksports,ball,@walkersvillefb,lead,lions,state,@aacapitalsports,@k_fadd,chad,game,gleason,yd,@frednewspost,half,jacob,penalty,point,run,second,td,title,victory
2016-12-11,OK,all-tournament,classic,oklahoma,@ally_dru,@ardmoreite,@dwolman_ard,@mcvickerard,a-f,baskets,cards,dinner,grade,heisman,hundreds,jackson,keeping,madill,named,overall,plainview,plan,report,senior,sign,single
2016-12-11,OH,county,emergency,news,salem,st,level,winter,sunday,today,bremen,fire,holiday,marys,p.m,roads,third,weather,advent,boys,cancelled,conditions,end,full,house
2016-12-11,UT,\xe2\x80\x93,\xe2\x80\x9cmotley,\xf0\x9f\x8d\xb0
2016-12-11,KS,annual,city,conference,family,finals,giving,hacking,month,next,says,sunday,today,week,year,$2.25,2-5,2017-18,2pm,9-11pm,@derby_sports,@hdnmcqueen,@usda,access
2016-12-11,SC,heisman,jackson,lamar,wins,amy,bufftontoday,campanini,icymi,louisville,s,trophy,words
2016-12-11,SD,200th,5am,@mayortimreed,activities,avoid,bei\xe2\x80\xa6,breakfast,broncos,bus,camp,car,cars,church,earn,emergency,extracurricular,farm,firewood,get,go,homes,kota
