2017-05-08,WA,housing,bellingham,cwu,hall,hosting,pm,seattle,washington,4:30,weekend
2017-05-08,WI,@bheraldpromo,\xe2\x80\x93,beloit,madison,save,wing
2017-05-08,WV,wvu,baseball,texas,april,c-usa,county,ends,keeping,marshall,notebook,offers,run,series,several,star,sweep,team,tech,tournament,win,year
2017-05-08,FL,de,en,el,la,florida,@,@summersds,beach,los,por,new,fort,get,logging,rd,s,smoke,venezuela,county,icymi,key,las,mtv,near
2017-05-08,NJ,music,day,new,hoboken,man,ocean,city,charges,princeton,sexual,township,weekly,annual,police,students,@dawnzimmernj,activities,alleged,anglers,april,assault,banks,brave,child,community
2017-05-08,NM,single,albuquerque,magdalena,nm,100%,10pm,25+,@kkobradio,@realbrandonvogt,@rocketman46,abq\xe2\x80\x99s,air,april,areas,book,bv,check,clapper,classes,confirms,congresswoman,dark
2017-05-08,TX,federal,plaintiffs,@appalachian_law,accused,advisory,appointed,aviation,braham,bullcbs,cases,challenges,claiming,cloc\xe2\x80\xa6,comes,competencies,complicated,core,costly\xe2\x80\xa6,council,culpable,defense,define,denis
2017-05-08,NC,baseball,seed,brackets,first,softball,via,@hpemichael,fayetteville,nchsaa,soccer,trump,area,home,ledford,trinity,2a,@jaclynshambaugh,davidson,east,nc,overall,playoff,public,win
2017-05-08,TN,county,report,shooting,charge,@drtomprichard,candidate,cannon,chattanooga,drops,facing,first,guilty,jefferson,make,national,race,school,superintendent,woman,new,among,arrest,high
2017-05-08,PA,@69news,@alexhoganwfmz,beaver,man,@chandilowrywfmz,@jacielcordoba,@lkusikwfmz,@pabroadcasters,allentown,back,blackhawk,expectancy,ll,luncheon,major,penn,readingpa,state,street,trial,upper,years,bridge,charged,county
2017-05-08,NV,elko,.@seanhannity,next,tahoe,joins,lake,ndow,sean,behind,boating,conservation,de,details,doucette,educator,el,energy,expo,get,hates,hollywood,joe,las,meet,mental
2017-05-08,CO,colorado,denver,right,30th,5280eats,@the1975,@wfcolorado,actually,added,alum,anniversary,art,artist,bacon,bank,basquiat,beer,behind,blue,break,bridesmaids,butterflies,chanel
2017-05-08,CA,accused,adrian,baby,bakersfield,bitten,buyback,chandra,death,deports,dies,dog,drunk,exhume,father,las,lengthy,levy,missing,near,person,prison,process,receives,s,searching
2017-05-08,AL,$90,10.\xe2\x80\xa6,1st
2017-05-08,VT,+50,\xe2\x80\x9cwhen,\xf0\x9f\x93\xb7,appetite,believing,broad,darcie,days,golden,icon,identify,implored,insatiable,kingdom,lyndonville,many,mccann,numbered,onto,passing,reflects,since,street,suppress,tax-and-spend
2017-05-08,GA,albany,atlanta,georgia,best,black,charge,convo,free,news,one,summer,yoga,week,school,1st,@joereisigl,@thronateeska,\xe2\x80\x98a,aaa,acceptable,albany\xe2\x80\xa6,alice,already
2017-05-08,IA,mason,iowa,mom,auction,bid,win,photo,amazing,attempted,bank,bidding,buy,contest,daily,ends,her.\xe2\x80\xa6,messenger,murder,north,prizes,save,sheffield,show,student
2017-05-08,CT,darien,live,new,ctsb,meeting,watch,stamford,@hannetworkct,@pompbtrack,senate,senior,first,\xf0\x9f\x93\xba,bills,care,cmte,consider,fairfield,job,norwalk,officials,ondemand,referred,saturday,vs
2017-05-08,ME,18,\xe2\x80\x94,\xf0\x9f\x98\xae,catcher,chefs,collins,couple
2017-05-08,MD,wmdt,delaware,update,@lilizhengtv,black,says,set,@abc,abuse,afronews,cambridge,cannabis,center,chibok,communities,death,enter,father,freed,infant,live,officer,p.m,pd,plea
2017-05-08,MA,meeting,town,episode,@eagletrib,budget,chatham,methuen,andover,capecod,colleen,memory,million,salem,new,police,water,@ap,@lisakash23,@petermfrancis,begins,food,fourth,group,homes,innovation
2017-05-08,MO,cape,5-8-17,@1240klik,@1400kfru,@gycomo,break,closers,coffee,freedom,ksim,kzim,meeting,morning,nascar,religious,see,tickets,wknd,$20k,+,4-6p,4th,5k,720am
2017-05-08,MI,michigan,cadillac,county,monroe,detroit,first,baseball,chelseabruck,clay,daniel,prom,lake,would,high,school,jury,teacher,end,find,girl,macomb,one,says,us,work
2017-05-08,KS,de,cinco,mayo,spring,farm,icymi,kansas,million,storm,5th,@derby_sports,all-miaa,america,baseball,brings,champs,cleanup,commission,connect,county,dancers,event,fhsu,final,first
2017-05-08,MT,montana,mtnews,bdcnews,ap,gianforte,law,missing,motorcycle,opinions,fire,bozeman,enforcement,across,dies,fly,helena,interstate,mtnews\xe2\x80\xa6,mtpol,mtpol\xe2\x80\xa6,people,reported,tuesday,voters,county
2017-05-08,MS,@dennisseid,corinth,miss,msu,ole,softball,exploitation,know,mine,operation,person,series,sweeps,team,texas,veterans,vulnerable,woman,zero,charged
2017-05-08,SC,.@sethstokesword,5-8-17,5k,@ashleylandess,@taraservatius,@youtube,bill,discuss,dui,find,hand,officer,plant,rabbit,ridiculous,s,swamp,tarastirade,tirade,vehicle
2017-05-08,KY,kentucky,\xe2\x80\x94,charge,lexington,morning,st,run,county,school,day,co,could,crash,national,says,second,sunday,tourism,us,high,60s,@wkytbreaking,advisory,allen,brings
2017-05-08,OR,update,i-5,crash,fire,right,nb,responders,vanwa,ashland,clear,exit,lane,one,reported,use,99w,across,caution,family,first,get,heading,moment,morning
2017-05-08,SD,right,school,area,game,get,morning,one,southdakota,work,3-year-old,@aberdeenwings,aberdeensd,chance,dirty,home,icymi,lunch,missing,next,people,says,spring,tourism,used,want
