2016-12-05,WA,snow,skagit,capitol,hill,county,bellingham,cover,dec,defense,football,holiday,hwy,live,people,public,whatcom,wsu,help,icymi,like,never,open,season,story
2016-12-05,DE,netde,accident,dr,rd,report,ninja,due,corner,go,i-95,nb,today,closed,delays,memorial,milford,network,pike,w/injuries,wilmington,full,monday,5x,@_mariakirsten,bad
2016-12-05,DC,new,president,say,t,today,want,afford,almost,attention,baltimore,brennan,enough,issue,la
2016-12-05,TX,johnson,$1b+,.@neimanmarcus,alice,ask,book,bring,classaction,exhaust,fees,gc,helps,hits,independent,ip,lawyers,legal,life,options,post-dtsa,preston,protection,scales,texas,the
2016-12-05,LA,parish,hammond,st,tangipahoa,police,sisters,center,citrus,claims,deadline,domestic,get,girls,government,louisiana,mississippi,nearly,new,sunday,carson,department,health,murder,property,season
2016-12-05,NC,@kevinhensleycs,andrews,basketball,martins,middle,score,wildcats,creek,school,@thescoutnews,lead,final,update,26-1,30-29,39-3,49-3,53-6,@andrews_journal,@bchfamily,@brnow,\xe2\x80\x9cfixer
2016-12-05,NE,fairbury,nebraska,unl,police,county,department,forecast,lexington,skies,winds,cloudy,crash,get,good,help,holiday,man,time,years
2016-12-05,TN,$10,@sportsradiownml
2016-12-05,NY,27east,army,hoops,press,wrestling,beach,away,babylon,bays,canes,classic,close,consolidates,contractors,corps,crews,game,girls,group,hampton,hurricanes,league,mix,montauk
2016-12-05,PA,@jenni_wentz,ramp,via,@phillytrib,heroin,house,newtown,photos,shooting,man,new,santa,still,county,@bae_lay,following,great,holiday,increase,pa,police,see,students,support
2016-12-05,RI,de,el,la,que,\xe2\x80\xa6,est\xc3\xa1,hombre,un,una,al,con,en,@james_bessette,counts,dan,doyle,es,las,para,se,aeronave,apu\xc3\xb1alaron,asistieron,auto,autom\xc3\xb3vil
2016-12-05,CA,gear,new,get,zeke,cowboys,rep,us,dez,elliott,hottest,enough,game,t,cowboysnation,day,ezekiel,dak,pride,check,season,making,proud,team,cheer,jersey
2016-12-05,AL,18th,@dothaneagle,annual,arab,burn,can-a-thon,charles,coach,collect,commission,county\xe2\x80\x99s,forestry,gordon,heard
2016-12-05,AR,@cbsnews,arkansas,basketball,de,death,honor,la,oakland,say,warehouse,fire,today,$150m,@cbsthismorning,according,air,booneville,capital,case,conway,county,day,economy,educator,el
2016-12-05,VT,suncmtynews,vermont,magazine,business,|,give,light,smith,/,argus,david,face,fairpoint,held,lantern,life\xe2\x80\x99,paralysis,procession,rehab,river,saturday,snow,success,upbeat,video
2016-12-05,IL,rockford,snow,snowfall,new,around,catholic,city,coming,cpd,finds,gambling,gender,girl,illegal,record,reports,side,breaking,first,money,ways
2016-12-05,IN,northwestern,western,class,compete,pound,weight,album,facebook,posted,photos,vs
2016-12-05,IA,christmas,boys,fmhs,girls,holy,trinity,new,\xf0\x9f\x8e\x84,area,back,combine,dance,iowa,manson,maybe,oiiiiiiio,performance,president,saturday,show,sigourney,sweep,teams,wartburg,xmas
2016-12-05,ID,christmasdevo,idaho,@eyringhb,access,boise,brotherholmes,pipeline,savior,christmas,state,@ibrnews,@oaksdallinh,basketball,dakota,director,gift,god,resigns,snow
2016-12-05,CT,@hannetworkct,live,watch,shelton,ridgefield,class,connecticut,filmmaker,finn,football,gold,joins,negri,farmington,news,holiday,stadium,cthsfb,darien,dream,hartford,semifinals,monday,star,victoria
2016-12-05,MA,bowl,super,enjoy,king,maynard,trip,win,christmas,3-night,4-day,@nwsalbany,bc,beverly,bmhs,boston,boys,capecod,casino,centerville,chatham,coach,dance,enter,important,left
2016-12-05,UT,day,\xe2\x80\x93,american,city,history,hoe,media,trump,$1,bag,bowl,byu,byufootball,called,couple,expert,fitness,free,full-time,independent,join,learn,man,monday,one
2016-12-05,MI,380,380th,9\xe2\x80\xa6,@bhsstudentcoun,@folsombrandonj,@jasminehines4,@michigantheater,@monroenews,@sterlingheights
2016-12-05,KS,christmas,el,@highplainsjrnl,@usda,de,place,@lifeshareok,@momsapronstring,act,boys,center,click,cookies,cowley,cp,derby,difference,display,emporia,en,food,headed,hill,kansas,las
2016-12-05,SC,blufftontoday,@charlieonair,chsnews,accident,beaufort,mistrial,rooftrial,trial,black,declared,food,free,holiday,icymi,judge,last,slager
2016-12-05,KY,11-12,@archbishopkurtz,@archloufamily,\xe2\x80\x93,advent,blessed,bussey,deacons,encounter,february,fentress,liz,marriage,playwriting,widows,worldwide,gather,weekend,workshop
