2017-02-19,DE,bruce,salisbury,arrested,$1-m,3rd,also,anti,birthdays,burger,candidates,david,deadline,dover,drawing,elections,file,firearm\xe2\x80\x99,gotham,it\xe2\x80\x99s,king,listed,maryland,mazouz,newark
2017-02-19,DC,de,en,la,el,gay,por,chair,dc,del,dnc,@gusassociation,@washblade,gusa2017,lgbt,platform,ticket,un,|,.@tomperez,@afpespanol,@chrisjohnson82,@verticenews,afp,al,buckley
2017-02-19,FL,sunday,de,diane,fog,kacmarik,morning,feb,que,@jrourourou,clash,festival,fl,great,know,landing,launch,moving,orlando,spacex,start,tonight,coming,man,new,@
2017-02-19,NH,@nickstoico,newhampshire,nhpolitics,unh,@bowfalconspuck,@granitegeek,college,dover,history,islam,month,photostory,sale,team,title,case,john,police,today,via,$1.5b,$135,$6.2,$68m,.@unhhoops
2017-02-19,NJ,madison,main,targumreread,|,building,fire,street,downtown,police,students,.@rutgers_police,.@rutgersbschool,.@rutgersu,16-22,3rd,5-10,@amagedoff,@madisoneaglenj,@madisonpatch,@njerzyfirealert,address,agent,alarm,announcements,anti-muslim
2017-02-19,NM,lobos,bishop,@unmhoops,golobos,media,2h,@matt_narvaiz,fresno,know,movements,must,say,view,life
2017-02-19,TX,2017\xe2\x80\xa6,analysis,expect,firms,largest,law,lawyer,nation\xe2\x80\x99s,newest,performed,stories,texas,trial,popular,one,week
2017-02-19,LA,click,great,nicholls,ntnewspaper,@ofaathletics,@thatmancarteriv,aaaa,excitement,gramfam,gras,head,louisiana,mardi,monroe,mr,tonight,town,academy,back,@couriereditor,@sportscenter,championship,forward,gives
2017-02-19,TN,d2-aaa,championship,cocke,boys,consolation,jefferson,lady,lawrence,morristown,sevier,@cchsbasketball7,franklin,mall,raiders,east,end,game,school,3q,@iam__demo,bill,bristol,child,district,district8aaa
2017-02-19,NY,11am,@77wabcradio,@ritacosby,27east,5p,@audioboom,@josephabboud,c,class,conference,cosby,director,discuss,exclusive,falls,fashion,final,hoops,interview,it!\xe2\x80\xa6,jeff,joins,leadership,miss
2017-02-19,PA,newsor,icymi,year,|,win,dubois,four,new,night,@efactoryphilly,@tovelo,boys,crash,east,freeaccesssunday,greene,increase,pair,pennsylvania,recap,rock,saturday,see,week
2017-02-19,RI,la,en,de,un,del,es,los,loses,el,que,trump
2017-02-19,NV,carsoncity,el,tiempo,|,carson,city,nevada,de,reno,4th,@keepmemoryalive,@topgolf,cause,cheers,details,drinking,hallan,images,joe,koby,las,noticias,photo,que,review-journal
2017-02-19,VA,acc,caroline,win,baby,help,hokies,since,virginia,game,|,@coastalvamag,block,captures,coastal,essex,jmu,love,opinion,re,seen,friday,winter,first,18-12,4a
2017-02-19,CO,@jcarney_sports,state,match,championship,falling,3a,4a,@coloradomatters,@gvhscardinals,@koaa,@riflehsbears,\xe2\x80\x94,aspen,beat,copreps,cup,editor,evan,fall,finals,gunnison,hoff,outdoor,place,pueblo
2017-02-19,CA,financial,napa,7am,@acornnewspaper,@bobby_acornnews,@camarilloacorn,@naparegister,@nws\xe2\x80\xa6,@toacornnews,bayarea,breast,breastcancer,camarillo,creek,d,daughter,drowning,faces,father,flood,gpc,inspecting,latest,nears
2017-02-19,AL,auburn,@plainsmansports,alabama,regional,team,de,city,efe,en,feb,mercer,que,university,w/,new,basketball,four,@e_hisk25,advanced,b,bibb,bogot\xc3\xa1,boys,charged,council
2017-02-19,AR,2a4westdistrict,arpreps,lavaca,magazine,boys,hackett,westside,jc,final,annie,dear,finals,girls,3a-1east,bentonville,clinton,it\xe2\x80\x99s,lead,marshall,springs,third,end,@aaa_scores,clark,district
2017-02-19,IL,state,miller,lee,escapes,gazette-democrat,lead,niu,period,feb,police,takedown,|,217foodweek,edgebrook,fall,match,near,points,sectional,starts,veterans,second,12-9,195-lb,3-1
2017-02-19,IN,iu,friday,use,school,@diningoutduvall,@jaycountycheer,@ucaupdates,brought,common,get,high,jay,passed,pizza,placed,pork,prayer,seventh,state,swim,team,tennis,thursday,tuesday
2017-02-19,IA,des,moines,project,second,state,145-pound,1a,@colezy24,biscoglia,broke,bucket,business,careers,championship,chicago,class,deadly,destruction,dike-new,expo,friends,garden,highest-paying,home.\xe2\x80\xa6,inside
2017-02-19,MA,@chan3rd,d2,place,5th,6rebs,@bankertradesman,@beverlycitizen,@bhs_gb,@jimmorrisonbt,@salemnewssports,beaudry,beverlyma,massachusetts,maynard,mellinger,mile,state,tie,walsh,two
2017-02-19,ID,state,win,championship,ibrnews,idaho,minico,roundup,tournament,4a,advance,blast,boise,burley,castleford,consolation,defeats,donald,feb,games,halfpipe,head,ibrpeople,idpreps,interview,media
2017-02-19,CT,bridgeport,college,feel,folks,officials,proposed,sorry,sportssaturday,drive,live
2017-02-19,ME,class,north,b,boys,hoops,mesports,record,s,times,tourney17,brunswick,cape,elizabeth,read,top,w/,*you*,20-12,50-49,88-66,@jonalba,\xe2\x80\x9cthe,action,archival
2017-02-19,MD,baltimore,@takomaradio,maryland,takomavoice,frederick,city,diana,hagerstown,howard,kohn,man,md,melo,miss,park,police,public,shooting,trauma,trimble,welcome,wisconsin,new,food,local
2017-02-19,OK,north,norman,collision,head-on,okpreps,february,state,city,ffa,jenks,swim,waukomis,@clayhorning,area,grove,halftime,journalist,killed,kingston,kmhm,lucas,mahir,math,mile,mph
