2017-04-29,WA,camas,icymi,union,@360preps,capitol,fire,soccer,@seattlefire,beautiful,broadway,goal,harvard,hill,live,richland,russell,seattle,snook,softball,today,umatilla,wilson,1918-built,3-3
2017-04-29,DE,see,wild,04-29-17,@patrickstoner,@whyyontour,a.m,action,alert,arrangements,bale,ballard,beautiful,bet,birds,blues,bronx,buttery,chance,changes,cpl/1,crabby,delaware,discusses,dover,east
2017-04-29,DC,saturday,april,pix,see,d.c,at\xe2\x80\xa6,de,drag,s,show,tonight,la,new,towndanceboutique,town,@930club,cherry,cool,dj,enter,event,gomez,ivan,main
2017-04-29,WI,\xe2\x80\x93,beef,breeding,u.s,adding,agency,antrim,april,bright,calves,colo,consult,corner,cows,current,demand,denver,department,enthusiasts,excess,farm,future,get,hands,happens
2017-04-29,WV,@toddthemurr,wvu,oklahoma,@cjacksonwvu,@wvubaseball,game,@patrickkotnik,douglas,leads,two,eagles,lead,manoah,rasul,2-1,heading,philadelphia,second,1-0,inning,6th,alek,kyle,rhp,third
2017-04-29,HI,|,content,free,sub.req,\xe2\x80\x98dance,bees\xe2\x80\x99,hawaii,state,academy,access,alohafriday,art,battle,beautiful,bee,begins,berth,bill,birth,classes,construction,control,deserving,earn,examines
2017-04-29,WY,57-year-old
2017-04-29,TX,acquitted,baker,big,botts,bribery,careerist,charges,conspiracy,dallas,dunn,energy,federal,gibson,john,jury,nabs,new,office\xe2\x80\xa6,partners,popular,price,really,returns
2017-04-29,ND,agweek,best,bet,broadway,bull,fargo,group,minnesota,show,tv,well
2017-04-29,TN,morristown,east,prep,high,leads,rhea,west,innings,school,county,baseball,new,bradley,final,lady,\xe2\x9a\xbe,body,franklin,jackson,law,mcminnville,prom,rutherfordcounty,standefer
2017-04-29,PA,baseball,read,local,arts,fun,one,.@iamfujimura,@cpbj,bucknell,column,council,headed,looking,music,photos,place,rock,round,solebury,somerset,trinity,us,via,weekend,family
2017-04-29,VA,@coastalvamag,may,april,covabeerfest,roundup,around,beginning,business-related,cova,events,main,major,meet,road,route,slate,sunday,twice,local,week,county,p.m,tickets,$395,11-2:00
2017-04-29,AL,auburn,baseball,weactv24,|,new,game,playoffs,alabama,round,04/28,@audioboom,@nathankingdra,class,friday,hour,image,players,state,team,@plainsmansports,@wcs2015,football,home,hs,illegal
2017-04-29,AR,sat,pm,warning,cdt,co,severe,thunderstorm,ar,flood,arwx,flash,fri,nwark,people,water,arkansas,nwanews,@nwstulsa,@knwanews,carroll,fayetteville,including,weather,closed,flooding
2017-04-29,VT,event,free,police,vermont,speech,\xe2\x80\x9csteel,abruptly,according,actors,bank,barton,brownington,campus,canceled,city,competition,constitutes,davidson,defamation,demonstration,died,events,finished,first,fourth
2017-04-29,IL,chicago,man,goals,police
2017-04-29,GA,lovett,dawson,cherokeecty,first,new,tigers,county,round,guns,second,still,sunday,30-foot,advances,bears,end,even,getting,innings,lions,man,may,official,really
2017-04-29,IN,\xe2\x80\x93,april,trump\xe2\x80\x99s,warning,climate,dcema,decatur,tornado,trump,county,vs,100th,8:15pm,bartholomew,business,church,counties,effect,flood,g1,g2,home,host
