2016-11-22,WA,hill,capitol,@bhamcaleb,@wsdot,re,says,thanksgiving,action,anti-protest,cascades,fees,focus,highway,likely,looking,needs,north,pass,passes,pop,real,season,seattle,six
2016-11-22,DC,us,thanksgiving,@thehilltophu,black,please,president,trump
2016-11-22,WI,angus,wisconsin,nov,department,\xe2\x80\x93,\xe2\x80\x94,agriculture,application,contest,convention,harvest,madison,manure,monday,p.m,part,protection,u.s,wis,report,2017-2018,\xe2\x80\x9csee,a.m,afbfa
2016-11-22,WV,county,@dougsmock,away,examiner,jackson,marshall,moorefield,showers,wvu,state,@mikecasazza,available,basketball,bring,cold,cole,concord,cool,could,elliott,final,football,game,hardy,herd
2016-11-22,HI,@auliicravalho,@byuhawaii,@kealakainews,action:\xe2\x80\xa6,advisory,agriculture,album,annual
2016-11-22,WY,wyoming,annual,always,celebration,county,day,holiday,host,season,sheridan,take,thanksgiving,time,unemployment,saturday,10-11,37th,5:30-7:30,@jacksonholenews,@jhngcourts,@jhngeditor,@jhngschools,\xe2\x80\x98tis,\xe2\x80\x9ctop
2016-11-22,NJ,@rutgersu,police,families,holiday,season,trenton,man,madison,nj,pennsylvania,reports,school,state,students,thanksgiving,township,.@setonhall,@cleespot,@garyhphillips,@rfootball,@targumsports,agreement,alleged,back,borough
2016-11-22,TX,$21b,.@lathamwatkins,@haynesboone,@vinsonandelkins,advise,bramblett,co,extraordinary,friend,george,hundreds,logistics,make-whole,merger,millions,payments,person,prtnrs,prtnrs\xe2\x80\xa6,rip,sunoco
2016-11-22,LA,kdm,says,thanksgiving,garbage,tonight,week,drill,howl,@kameron_hay,@taylorcford,baby,everyone,holiday,monroe,reports,road,stay,tuned,uptown,win,young,last,@,@bridget_mire,@loyola_maroon
2016-11-22,NC,&amp;caitlyn,11/28,2015-16
2016-11-22,ND,day,best,hpr20,access,complies,corporate,dakota,determines,fargo,farming,holiday,land,law,llc,protest,purchase,ag,start
2016-11-22,NE,c2,diller-odell,football,wilber-clatonia,**class,1st,barn,championship,cited,donate,fans,half,it\xe2\x80\x99s,lincoln,monday,re,thanksgiving,updates**,volleyball,w-c,class,fire,high,one,school
2016-11-22,PA,budget,borough,butler,ridgway,tax,bank,center,council,former,group,increase,keep,school,students,township,vote,|,@k8isgr8ful,across,ag,approves,board,brockway,charged,city
2016-11-22,CO,aspen,colorado,denver,help,season,weekend,chance,enter,look,ski,thanksgiving,year,local,@coloradobizmag,ahead,animals,aurora,barn,beautiful,ben,bess,birthday,ceo,chefs
2016-11-22,AR,magazine,rivers,two,final,@usatoday,arkansas,arpreps,ceo,death,dow,end,favorite,jb,sb,sg,us,year,schools,st
2016-11-22,IL,\xe2\x80\x94,thanksgiving,gazette-democrat,reports,freeport,lead,president,new,@uie_hort,case,first,flanagan-cornell,illinois,island,take,tips,fire,@tim_obrien10,black,busy,candidates,day,harvest16,holiday,ind
2016-11-22,GA,county,news,|,planning,thanksgiving,city,public,aids,atlanta,authorities,christmas,conviction,day,development,first,gallery,georgia,head,jekyll,law,lee,liberty,monday,murder,photo
2016-11-22,IN,fine,jay,print,nov,article,county,mercy,morning,much,season,@pontifex,augsburger,cecelia,court,day,desire,every,feastday,fort,freshman,full,funds,goodness,home,katelin
2016-11-22,IA,november,issue,see,house,thanksgiving,@catholicglobe,best,holiday,photo,raider,red,season,win,@briarcliffalum,@mattheinrix,@scj,black,break,community,contest,county,doane,engagement,friday,get
2016-11-22,ID,idaho,byuidevo,franson,\xe2\x80\x94,scott,shopping,local,@ibr_bentonsmith,@ibr_teyavitu,@kpvi,\xe2\x80\x94scott,ap,downtown,find,holiday,ibrnews,kmvt11,minutes,right,team,travel,crash,get
2016-11-22,CT,new,@hannetworkct,canaan,live,connecticut,get,letter,taking,watch,association,day,re,thanksgiving,annual,break,ct\xe2\x80\xa6,de,farmington,high,holiday,local,ondemand,police,special
2016-11-22,ME,annual,appeal,bath,canal,city,college,downeaster,east,engineering,eves,food,football,forbes
2016-11-22,UT,best,bestofutah2016,soutah,stgeorge,thanksgiving,byu,county,day,lift,like,music,photos,starts,team,utah,winners,students,last,today,$500,35-year-old,3rd
2016-11-22,MN,nov,among,apartment,bridge,built,chaska,edina,last,mercy,morning,rents,office
2016-11-22,MT,thanksgiving,football,mhsa,@montanasports,\xe2\x80\x93,\xe2\x80\xa2,county,day,dinner,flathead,holiday,monday,montana,via,lake,allix,b,call,daily,finalizes,food,grizzly,inter,jaqueth,jr
2016-11-22,MS,mississippi,thanksgiving,@jimcoll,see,building,county,east,friday,govt,home,msu,safety,still,fire,ap,back,bowl,breaking,closed,firefighters,holiday,lady,november,open,reported
2016-11-22,OR,thanksgiving,trump,via,director,oregon,portland,sale,10:00pm,@realdonaldtrump,@truthout,amid,annual,award,bay,called,city,come,concrete,county,dining,donald,ever,hell,holiday,hope
