2017-03-26,DE,*you*are,19th-century,87ers,9p,@aclu,@altaplanning,@daveweigel,@draperrobert,@juddlegum,@marketwatch,@motherjones,@nannyfat
2017-03-26,DC,de,d.c,university,con,el,en,gay,new,tickets,@studio_theatre,del,election,it\xe2\x80\x99s,nic,sisters,win,a&amp;m,ads,album,cherry,consider,court,coverboy,dc
2017-03-26,WI,falls,\xe2\x80\x94,caused,drought,expected,expects,facebook,farmers,fed,fish,food,hagerman,higher,leo,nearly,posted,price,prices,produce,ray,river,university,wis,wisconsin-river,beef
2017-03-26,WV,da,s,read,$45,.@wvucareerserv,asked,bench,career,court,everything,fairs,future,gorsuch,hundreds,nominee,offers,prepare,pros,resume,seat,see,soon,stressed,study,supreme
2017-03-26,HI,\xe2\x80\x98reef,coral-killing,marks,maui,safe\xe2\x80\x99,smith,sunscreens,swap,uh-mc,unbeaten,versions,yamamoto,ends,high,sets,students,three,start
2017-03-26,FL,recalls,@wordofsouthfest,beach,bring,cape,charlotte,chicken,co,contamination,coral,council,course,discuss,driver,early,eating,enjoy,epileptic,fits,florida,foods,form,fort,gator,germain
2017-03-26,NH,$2,@govchrissununu,@pulitzerprize,board,editor,former,last,monitor,newhampshire,out-of-state,quietly,retiring,return,traveled,twice,week
2017-03-26,NM,film,poetry,santa
2017-03-26,TX,$48m,big\xe2\x80\xa6,insurance,insurers,legal,mckool,refused,smith,back,bill,head,hit,pay
2017-03-26,LA,@bradcesak,election,results,polls,ulm,yleh,closed,ktve,louisiana,offer,runoff,saturday,biblical,drones,hour,kard,la,mg,parkway,race,school,texas,baseball,college,house
2017-03-26,TN,saturday,afternoon,congratulations,family,finest,forecast,franklin,gets,hotel,near,skies,southerly,speaks,thoughts,vote,voted,winds,worth,away,get,latest,missing,new,state,world
2017-03-26,PA,state,@tdc_mhockey,denver,penn,final,goal,fire,first,via,@pennstatemhky,@rdgschools,check,basketball,best,regional,watch,@cpbj,@prschools,boys,game,piaa,pm,sunday,|
2017-03-26,RI,de,el,un,en,la,los,se,su,sunday,a\xe2\x80\xa6,aberrante,abogado,acusada,ataques,aviso,cadena,cientos,ciudad,club,complicados
2017-03-26,NV,de,el,las,vegas,tiempo,@eltiempolv,carsoncity,en,inmigrantes,nevada,noticias,|,alcalde,domestic,providence,spring,tahoe,year,@dangbergranch,@thenvindy,blvd,business,coco,con,declara
2017-03-26,CO,meeker,colorado,greeley,denver,board,cemetery,dirt,district,lead,town,allowed,aspen,buy,contributions,debate,du,hills,land,limits,powerplay,pueblo,questions,riders,talk
2017-03-26,CA,gracias,@ocweekly,beach,huntington,oc,pro-trump,protesters,anti-trump,attack,march,weekly,turns,via,@stevenjwilson11,de,get,new,@woodcreek_hs,update,@gustavoarellano,paloalto,\xf0\x9f\x8f\x80,california,cif
2017-03-26,AR,nwa,@nwarick,\xf0\x9f\x93\xb8,arpreps,correspondents,division,fort,john,near,pace,read,saturday,basketball,health,high,history,love,morning,new,next,school,students,team,years
2017-03-26,IL,dog,expected,hospital,police,rockford,care,health,shot,$10,allegedly,bustos,cheri,congresswoman,crashed,escape,fails,fled,gop,ho,men,mulford,officer,person,pizza,plan
2017-03-26,IN,iu,jay,miller,county,archie,little500,@satrackxc,official,qualifying,thursday,basketball,running,state,today,67th,attucks,big,brought,column,crispus,hire,iubb,kokomo,saturday,tennis
2017-03-26,IA,h,icymi,credit,photo,alert,allegations,alternative,authorities,brief,ceo,chamber,charges,chief,chris,confirmed,couples,cubs,departure,district,dossier,due,everything,faces,feel,got
2017-03-26,AZ,de,el,en,@portavoz,dies,sun,via,@gowildua,ad,devils,durante,rodeo,yuma,5pm,@kellyb1459,@ninelconde,@phoenixprideaz,@univisionaz,\xc2\xa1llega,abril,age,asesino,bomb\xc3\xb3n,changing,ciudadan\xc3\xada
2017-03-26,ID,idpreps,know,sisterburton,treefort2017,via,knows,lives,siscordon,softball,taking
2017-03-26,CT,farmington,\xe2\x80\x94,\xf0\x9f\x92\xbb,cmte,find,new,news,sportssaturday,spring,battle,boy,check,coming,complaints,conn,connecticut,corner,court,ct,damage,date,direct,entries,escape
2017-03-26,ME,home,husson,maine,octagon
2017-03-26,MD,@barcs_shelter,@lilizhengtv,alphonza,animals,attack,bad,brenda,city,community,company,crisis,democracy,editorial,field,frese,national,never,new
2017-03-26,OK,sun,severe,pm,area,cdt,co,thunderstorm,tornado,warning,watch,cleveland,religious,storms,county,march,campus,corner,counties,country,dinner,double,including,issued,months,mph
2017-03-26,OH,@mpopovichrep,win,added,said,@purplengoldcrew,seconds,bell,story,ushs,@917wvxu,@jmpallotta44,@jweirrep,@kyleyoung_35,@ohsaasports,barberton,div,fhs,free,moeller,ohio
2017-03-26,KY,@jacquelinewbko,unc,@kykernelsports,uk,two,@a_craw_,overnight,saturday,bam,cats,fox,free,ky,road,south,throws,trails,showers,0.3,38-33,50s,@michaelmreaves,area,bbn,boy
2017-03-26,SD,34f,country,dairy,future,high,indian,low,media,mph,network,see,torrid,wheel,county,first,local,state,tax,$2,$314k,**,50f,51f,60th,@tristateneighbr
