2017-05-17,MD,wmdt,high,salisbury,@abcpolitics,abortion,committee,delaware,efforts,finale,house,protecting,record,u.s,coast,commencement,guard,live,rights,wins
2017-05-17,CO,denver,colorado,cosprings,peak,pikes,@jctvweather,aspen,even,summer,west,|,@cbsnews,bomb,dry,great,homeless,pizza,son,weekend,help,man,market,road
2017-05-17,TX,$13k,@eagleford_shale,@lockelord,@vinsonandelkins,@whitecase,acquisition,advise,alistair,assoc,bar,biglaw,dawson,dc,firms,houston,installed,launch,legal,napping,needs\xe2\x80\xa6,pop,prez
2017-05-17,WA,de,seattle,la,renton,council,@cityofrenton,@komonews,cedar,homeless,king,para,video,last,$27m,@gperednia,@matrevinomx,@townhallseattle,airlines,alaska,allow,appeal\xe2\x80\xa6,arte,begin,booked
2017-05-17,ND,man,dakota,fargo,minnesota,nd,port,day,dickinson,kfgo,lawsuit,marijuana,officer,vehicle,north,new,7:40,@gatecitybank,accused,alone,appoints,bear,bismarck,confused,department,devils
2017-05-17,CA,$3,admits,arrest,chokes,day,drug,fidget,find,part,spinner,suspect,bc,girl,texas,use
2017-05-17,UT,utah,mock,valley,fork,provo,crash,high,student,cold,filling,killing,lehi,life,park,snow,worker,week,@hansonherald,alpine,american,appoints,arrest,baseball,byu,catholic
2017-05-17,MI,*hold*,*pass*,..despite,3rd,active,agendas,ahead.....sunsets,another,caucasian,chalk,circle,company,continues,create,day,duty,ellipsis,encouraged,flint,fm,jpins,loss,military,moratorium
2017-05-17,NE,@3newsnowomaha,nebraska,lnk,near,severe,hail,newx,@craignigrelli,@nickstarlingtv,rain,@mstewartkmtv,mph,storm,thunderstorm,tornado,wind,@jen_zeppelin,@kensiemek,@rustywx,air,damage,hwy,lightning,looks,moving
2017-05-17,KS,kansas,end,lyon,state,@bluestemlions,abuse,announces,asked,comey,commission,county,due,flynn,hamilton,headed,house,investigation,memo,nafta,senate,severe,southern,storm,tornado,trade
2017-05-17,MT,bdcnews,montana,mtnews,homicide,ap,mtpol,shooting,investigation,mtal,opinions,suspect,attempted,billings,bozeman,broadwater,community,deputy,father,dean,death,died,gianforte,msu,names,nursing
2017-05-17,PA,results,primary,race,election,county,@69news,races,city,bucksvotes,democratic,judge,update,school,@cpbj,district,polls,police,allentown,butler,butlerelection,candidate,low,votes,crash,icymi
2017-05-17,VT,30-year-old,71-year-old,@dartmouthhitch,@purpleheartwine,\xe2\x80\x98men
2017-05-17,IL,chicago,man,@crainschicago,another,right,rockford,@chicagomag,america,great,guilty,icymi,illinois,neighborhoods,pleads,restaurant,severe,things,week,house,like,update,via,bar,beer
2017-05-17,GA,atlanta,albany,cherokeecty,death,georgia,@brunswick_news,convo,hall,hosting,job,july,show,@altamahariver,\xe2\x80\xa6,arts,beltline,braselton,chamber,county,dawson,dchs,dougherty,favorite,festival,final
2017-05-17,IN,owensboro,@14news,@brandon14news,murder,tax,jury,&gt;&gt;&gt,@paige14news,evansville,gerrod,guilty,increase,pointer,proposed,trial,@aesia14news,@vcprosecutor,circuit,commission,death,details,elijah,finds,henderson
2017-05-17,SC,southcarolina,statenews,greenwood,man,blufftontoday,golf,summer,new,high,abbeville,beaufort,lakelandssports,murder,@crbr,announces,athletic,attempted,cart,last,lowcountry,million,superintendent,upstate,county,car
2017-05-17,SD,emergency,@mrosendahl_aan,meet,@wolvesathletics,\xe2\x80\x9ci,affordable,become,congrats,continues,murder,officials,passenger,pipeline,pumps,runners,s,sd,sentinel,target,teen,track,vehicle,5th,center,chance
2017-05-17,FL,canterbury,de,mdca,plate,la,outs,allen,en,second,beach,miller,florida,bump,one,batting,runners,ari,avalos,caropreso,musselwhite,&gt;&gt;&gt,craft,fine,romanello,strikes
2017-05-17,ID,1st,3a,alert,amber,anxiety,arbiter,as\xe2\x80\xa6,boise,budget,challenges,challenging,defended,efforts,excellence,expense,girls,great,home,honor,idpreps,industry
2017-05-17,CT,live,watch,@hannetworkct,\xe2\x80\x94,@trumbulleagles,ctbase,trumbull,briefing,house,bipartisan,connecticut,ctbudget,danbury,health,leaders,session,@govmalloyoffice,senate,following,may,talks,video,$25k,@hatter\xe2\x80\xa6
