2016-12-02,WA,icymi,hill,holiday,wsu,capitol,cwu,skagit,board,christmas,home,house,last,man,new,review,seattle,student,students,team,two,year,3-1,@gonzagau,bank
2016-12-02,DE,netde,accident,st,due,jammed,nb,report,i-95,rd,lane,market,pedestrian,pike,roadway,station,traffic,train,wilmington,approaching,ave,l,lancaster,restriction,roadwork,sb
2016-12-02,WI,beloit,\xe2\x80\x94,air,council,prices,propane,store,us,volatile,seats
2016-12-02,WV,$299,304-599-8200,@dailyathenaeum,\xe2\x80\x9cit,\xe2\x80\x9cthe,\xf0\x9f\x8d\x95#ad,ad,all-american,assaults,away,baker,big,brain,call,calls,center
2016-12-02,NH,uppervalley,nh,vt,route,upval,@actualcandrews,fire,judge,police,new,died,hartfordvt,holiday,life,lymenh,make,says,today,top,way,\xe2\x80\x98murder,affidavit,alleged,closed,cog
2016-12-02,NJ,back,madison,night,sunday,friday,police,holiday,new,.@rutgersu,@isaacavilucea,@targumsports,@usccb,athlete,charged,dinner,family,hamilton,hoboken,join,mercer,something,special,tomorrow,trenton,week
2016-12-02,TX,legalnews,.@kelleydrye,14-lawyer,@talmageboston,acquisition,andrew,boutique,edison,enters,expands,florida,hires,historian-partner,jackson,mcdowell,s,says,southeast,texas,time,txlegal
2016-12-02,ND,day,pipeline,county,dakota,kidder,ndpreps,best,christmas,dakotastudent,photos,time,und,week,basketball,bcn,high,hits,holiday,lights,protesters,river,says,tech,trump,winter
2016-12-02,NE,gering,team,school,@ekrembert,hastings,high,season,@hastingstigers,basketball,county,boys,christmas,girls,hastingstigers,lovelibrary,nebpreps,seward,around,away,library,lot,new,open,wrestling,**tri
2016-12-02,TN,county,sevier,corker,new,tennessee,987traffic,@eaphil,alexander,arrested,christmas,cowan,disabled,due,facebook,go,governor,haslam,latest,lawn,lighting,news,parade,photo,posted,report
2016-12-02,RI,de,la,el,en,los,que,un,se,para,con,las,del,@anitabaffoni,al,su,tragedia,workers,@wpro,\xc2\xa1mira,\xe2\x80\xa6,chapecoense,despu\xc3\xa9s,es,han,obtener
2016-12-02,VA,man,culpeper,via,@dailyprogress,breaking,cms,danville,police,today,action,advocate,award,become,celebrate,center,citizen,clear,concert,dan,disease,dnr,food,get,health,holiday
2016-12-02,AL,18-year-old,@alpublicradio,@debamabeat,@kendallclinton,@prison_health,a.m,airport,al,alleges,allowed,arab,army,at:\xe2\x80\xa6,bama,birmingham,boat
2016-12-02,AR,arkansas,court,jobs,magnolia_arkansas,$122.5,178k,4.6,award,bombing,case,employers,local,look,looking,magazine,man,million,mountainburg,names,new,percent,rate,set,upholds,wants
2016-12-02,VT,uppervalley,vt,suncmtynews,nh,business,route,upval,fire,hartfordvt,lymenh,tax,vermont,way,new,@bizvermont,\xe2\x80\x98murder,affidavit,alleged,closed,details,hire\xe2\x80\x99,house,life,norwich,plot
2016-12-02,GA,news,christmas,|,annual,best,canton,georgia,new,weekend,albany,early,first,gwinnett,lady,parade,tree,ways,army,awards,black,county,day,hall,holiday
2016-12-02,IA,december,issue,see,center,christmas,state,new,one,services,charged,farm,future,holiday,iowa,life,november,show,\xe2\x80\x94,a.m,academic,accident,annual,arson,bank
2016-12-02,AZ,via,gallup,rock,window,check,lights,new,students,@gowildua,@santistevanryan,@statepress,opinion,school,brew,day,get,lady,piece,student,weekend,annual,asu,center,fire
2016-12-02,ID,+,opreps,set
2016-12-02,ME,maine,could,director,hockey,mesports,new
2016-12-02,OK,ou,school,week,christmas,dual,high,holiday,oklahoma,tickets,today,community,concert,first,local,new,season,student,students,tonight,5-10,@oudailypromos,@treyhunter87,ad,axe,bartlesville
2016-12-02,UT,\xe2\x80\x9c.com,announces,back,begins,book,brian,cassettes,christmas,cleveland-lloyd,club,coal,come,conduct,cookies,dinosaur,director
2016-12-02,KS,read,basketball,de,editor,el,season,team,central,del,esu,football,hornet,kansas,la,loss,online,randy,teacher,2nd,44-13,73-66,74-59,\xe2\x80\x9cmingle,acci\xc3\xb3n,accident
2016-12-02,MT,alleged,mtscores,toys,@amandaroleykfbb,@kfbb,break,butte,collecting,cup,flathead,good,helena,inter,jail,lake,montana,public,right,snow,taco,tech,toothbrush,tots,u.s,us
2016-12-02,MS,calhouncity,christmas,bay,springs,state,game,p.m,parade,championship,county,football,mississippi,nabors,play,new,today,wildcats,jessie,retweeted,saturday,1a,22-8,pass,postponed
2016-12-02,KY,.@mercyacademyjag,.@stxtigers,11am,5pm,8:30am,@\xe2\x80\xa6,@archlouym,@carolegoodwin1,@edchoiceky,@gorocks
2016-12-02,SD,fire,new,house,plum,rock,sioux,standing,falls,via,building,facebook,photo,today,@tristateneighbr,collapse,dakota,pipeline,posted,black,caused,high,hills,law,low,news
