2017-06-29,WA,washington,agreement,area,budget,contained,traffic
2017-06-29,DE,netde,nb,delaware,fund,nonprofits,organizations,t,want,i-95,jams,marsh,mud,play,rd,lawmakers,5x,lane,news,next,radio,republicans,s,sb,show
2017-06-29,DC,@curious_kurz,back,climbing,concerns,dc,district
2017-06-29,WI,\xe2\x80\x94,wis,\xe2\x80\x93,county,it\xe2\x80\x99s,june,power,rock,students,without,$15.2,.@dekker,4-strings,@badgermbb,account,accused,agri-mart,aldrich,algoma,ames,ap,ashland,ashland-native,awe
2017-06-29,WV,wvu,virginia,west,county,i-79,marker,mile,tuition,@wv511,bill,fire,stop,wv,man,accident,area,board,budget,charleston,prepared,season,use,woman,2-1
2017-06-29,WY,wyoming,cheyenne,wy,june,laramie,photos,rock,world,bradie,budget,bull,casper,details,fishing,gray,injured,mph,news,riverton,shot,springs,wind,wypol,man,new
2017-06-29,NH,opinion,1960s,@fargofx,\xe2\x80\x9cmy,alive,antique,appeared,beatles,begin,better,born,came,chad,collecting,coming,company,corcoran,cousin,died,different,dolls,emphasizes,essays,family,founded
2017-06-29,NJ,@nj1015,july,weekend,@billspadea,new,@sinbadbad,jersey,bill,budget,fourth,madison,school,township,traffic,week,alert,baseball,big,fireworks,government,help,lakewood,latest,morning,passes
2017-06-29,NM,\xc2\xa0,county,durango,abq,albuquerque,fire,man,@durangofire,fe,golf,mexico,near,news,police,tax,award,breaking,dead,feds,i-40,ic,lightner,local,recovery,santa
2017-06-29,TX,lawyer,dallas,$12.2m,5thcircuit,alarm,arbitrated,attack,bachelors,biglaw,bracewell,brett,clay,client,despite,different,dlapiper,energy,firm,gas,gc,hires,home,houston-based
2017-06-29,NC,artis,bill,it\xe2\x80\x99s,legal,students,man,@blueridgenow,allen,charges,delaney,dismissed,editorial,effect,free,gets,health,june,less,says,travel,trump,first,$6.5m
2017-06-29,ND,nd,near,rain,bismarck,minnesota,ndwx,security,sheriff,crash,dies,firstwarn,health,morning,warning,new,bill,coach,forks,grand,park,pilot,plane,says,south
2017-06-29,NE,nebraska,@3newsnowomaha,watch,live,man,morning,wednesday,-gina,@extremechaser,@jakewasikowski,damage,four,home,killed,police,president,see,tornado,twitter,vehicle,video,@griswoldkmtv,@habitatomaha,@iowastatepatrol
2017-06-29,TN,wate,@6news,@bridgettebjorlo,chattanooga,knoxville,@gma,flying,j,pilot,@tearsasmith,tonight,4th,@icebears,@lucky13wxman,@marcwhiteman,@watetraffic,coach,fireworks,fun,head,october,p.m,reported,sevierville,watch
2017-06-29,PA,@69newsbusiness,@69news,program,story,@vanallenwfmz,allentown,another,berkscounty,bridge,case,coming,dispensaries,july,man,one,pennsylvania,today,years,charged,$32b,12th,2nd,5:30,5\xe2\x80\xa6,69news
2017-06-29,NV,.@seanhannity,next,@ingrahamangle,back,buffalo,go,joins,kdwntraffic,may,news,parkway,past,pic,rtc/fast,sb,summerlin,coming,today,+,.@amihorowitz,.@jgilliam_seal,.@loudobbs,.@newtgingrich,.@potus,15n
2017-06-29,VA,@8news,police,richmond,via,gmrva,virginia,@culpeperse,news,rva,would,breaking,justice,morning,teen,us,crash,family,local,newport,photos,says,trump,weather,city,@cvillepulse
2017-06-29,CO,colorado,denver,see,things,walks
2017-06-29,AL,montgomery,alabama,4th,@joshninketv,mayor,year,@ryan_stinnett,alwx,arrest,county,department,force,former,help,holiday,morning,police,rain,task,video,july,1st,@alnewsnetwork,@biscuitbaseball
2017-06-29,AR,guest,special,health,jason,names,pritchett,$57m,3rd,@ucabears,adults,ahlen,all-inclusive,arkansas,asa,bargins,bids,bill,branson,buys,california,capitol,care,chancellor,changes
2017-06-29,VT,vt,new,vermont,nh,suncmtynews,weekend,|,help,july,state,tonight,@seanmparker,holiday,man,rain,take,weather,police,building,center,crash,n,ny,performance
2017-06-29,IL,park,illinois,boone,breaking,budget,confirms,county,ef-1,four,home,kids,looking,loves,machesney,mess,mom,national,okay,senate,service,storms,tornadoes,weather,wednesday,lawmakers
2017-06-29,IN,news,indiana,fire,police,@14news,ave,@steve14news,@tonykatz,abortion,every,water,&gt;&gt;&gt,@abpetienne,@hillary14news,crash,general,heidelbach,home,june,law,morning,n,near,officers,portland
2017-06-29,IA,@catholicglobe,weekend,county,hours,video,man
2017-06-29,MA,@bankertradesman,community,mahar,mentoring,adn,announced,capecod,environment,local,mortgage,record,special,today,town,water,$1m,$45m,$6.9,22-2,23-10,46-24,5:30,6.2,6:30
2017-06-29,AZ,arizona,@gowildua
