2017-06-01,OK,us,@mandybaileywx,explosions,storms,state,county,heavy,locally,met,mr,near,oklahoma,online,open,rain,still,today,vote,wind,years,best,says,across,ap
2017-06-01,NM,new,breaking,county,albuquerque,arrested,mexico,nm,today,state,us,american,budget,day,education,golf,help,judge,killing,martyr,one,santa,support,woman,2-week,acquires
2017-06-01,TX,firms,@americanlawyer,@brendasjeffreys,@texaslawyer,@winstonlaw,busiest,client,conflict,dealmaking,delays,florida,gators,gc,investigation,jamie,keith,lateral,lawsuit,lawyers,lewis,major,move,poses,quits,s
2017-06-01,OH,timesavertraffic,crash,man,today,@,say,bowling,green,season,thursday,traffic,breaking,cincinnati,cincinnatiedition,could,degree,early,genetic,icymi,injuries,involving,june,lane,new,news
2017-06-01,WV,west,virginia,day,baseball,take,thursday,@bschuermanwboy,june,set,valley,work,@swn_r2,air,climate,honored,hurricane,i-79,kid,killed,live,marker,memorial,mile,northbound
2017-06-01,UT,utah,@hansonherald,i-15,traffic,american,fatal,fork,accident,assault,byu,county,involved,june,mayor,new,northbound,one,patriarchy,pride,run,second,sexual,shuts,week,af
2017-06-01,NC,clt,@chuckroadsfox46,clttraffic,near,man,fire,accident,morning,suspect,@jenynedonaldson,breaking,charged,road,via,state,@fox46news,ave,baseball,blocked,blvd,brookshire,championship,cmpd,county
2017-06-01,NE,nebraska,lincoln,@3newsnowomaha,win,@nickstarlingtv,new,killed,missing,near,breaking,budget,man,omaha,police,6/1,arrested,homicide,lnk,nu,say,bounds,climate,council,old
2017-06-01,WI,dairy,june,\xe2\x80\x93,today,cooperative,final,month,town,state,10-0,@readywisconsin,\xe2\x80\x94,brillion,card,cheese,could,county,crews,e-edition,explosion,farmer-owned,farmers,help,iowa,learn
2017-06-01,RI,ri,@golocalprov,beach,live\xe2\x80\x99s,taste,new,2-2,2017-18,4-1,\xe2\x80\x9cthe,action,agreement,among,amputee,aren\xe2\x80\x99t,assoc,billington,blackstone,blockisland,bridge,brown\xe2\x80\x99s,carbotti,case
2017-06-01,KS,kansas,city,garden,county,firefighter,funding,new,still,\xe2\x80\x93,budget,coach,community,editorial,head,issues,legion,legislature,man,minutes,nafta,named,read,senate,summer,tuesday
2017-06-01,NY,06-01-17,212-613-3878,5-year-old,6/1/17,7-eleven,@77wabcradio,@potus,@ritacosby,abandon,air,albanese,an\xe2\x80\xa6
2017-06-01,PA,boy,@69newsbusiness,police,3-year-old,allentown,breaking,find,wandering,allen,butane,catches,drivers,east,filled,high,lighters,manor,midway,older,photo,president,section,time,trailer,update
2017-06-01,HI,|,content,free,sub.req,bigisland,|\xe2\x80\xa6,airlines,booths,creeper,gas,hawaii,hawaiian,hike,installing,japan,jazz,kona,man,name,offers,raising,regains,reject,resume,school
2017-06-01,GA,atlanta,things,festival,june,weekend,according,around,assessor,biien,branch,butterfly,chapelle,cobb,colors,cops,council,county,dave,day,dietitians,diets,doughnut,event,flowery
2017-06-01,WA,today,capitol,free,live,next,two,@cityofseattle,anti-muslim,applications,coming,event\xe2\x80\xa6,ferndale,form,former,hanford,hill,june,latest,leave,march,movie,opening,permits,processed,program
2017-06-01,KY,county,says,day,june,region,climate,bevin,man,\xe2\x80\x94,championship,kentucky,new,night,violence,4th,@jacobhryan,@realdyates,baseball,decision,first,orders,softball,team,today,@seanwbko
2017-06-01,AZ,new,sonoita,fire,@kgun9,blood,first,@erinsaiditwould,@gowildua,@hughesfcu,@uofa,@whitneyclarktv,area,bank/credit,corona,crews,day,homes,hurricane,kellogg,kelloggfire,led,maketheswitch,murder,official
2017-06-01,OR,@corbanathletics,doitforthefamily,grazing,stay,street,warriors,$1,9am,@corbansoftball,@ortradeswomen,@usccb,\xe2\x80\x98how,\xe2\x80\x9closer,accomplishments,across,adopts,app,approved,archdpdx,brown,calling,catholics
2017-06-01,AR,log,rock,delivery,i-57,june,line,little,power,still,testing,today
2017-06-01,SD,aberdeenscanner,aberdeensd,account,away,new,one,pole,theaters,two,vault,$1,$1m,40th,@gofundme,@nichelleisuhura,@northernstateu,@startrek,\xf0\x9f\x93\x9e,aberdeen,aberdeensd-based,alan,almost,amazon,arrive
