2017-01-27,DC,armory,attend,dc,gather,marchforlife,mass,nearly,pray,people,thousands,young
2017-01-27,WI,.@asmstudentgovt,.@lukekunin9,.@uwmadison,23f,28f,3.5,@bheraldpromo,@dailycardinal,@noahhabenstreit,@sampcoutu,\xe2\x80\x98around,administrators,agreed,agri-mart
2017-01-27,HI,content,|,free,sub.req,hawaii,kuabay,lifeguards,seeks,car,council,police,american,arm,arrested,avoid,awash,beach,becoming,bigisland,biif,birds,blossoms,break,break-in
2017-01-27,NH,cold,ice,@actualcandrews,@conmonitornews,board,could,died,farming,five,impact,injunction,kittery,logged,man,nh,organic,passes,play,prison,reduces,school,ski,tax,city,grabs
2017-01-27,NM,\xc2\xa0,unm,@cathy_daily,@dailylobo,@realdavidlynch,milo,nm,abq,albuquerque,mexico,yiannopoulos,@mreisen88,anniversary,archbishop,beyond,catholic,catron,clear,close,conference,federal,hiring,international,invite,lent
2017-01-27,LA,pack,edwards,wolf,@ryanmicklin61,loyola,@loyola_maroon,budget,director,everyday,jan,moms,session,special,lead,new,aide,begins,boys,deficit,downtown,fest,flood,gramfam,half,hoops
2017-01-27,NC,basketball,@andrews_journal,@kevinhensleycs,andrews,jv,rosman,tigers,wildcats,trump,anti-abortion,executive,fall,groups,live,rally,rhsvsahsbb,score,sign,student,triumphant,tweets,wall,lead,lost,suspect
2017-01-27,TN,county,@thewpdean,house,walker,jan,report,$4.5,13-19,2-4,30+,@betterstu,agenda,almost,anonymous,arrest,arrested,asks\xe2\x80\xa6,atlanta-chattanooga,barking,beppe,best,blotter,booking,caller
2017-01-27,PA,@kississippiphl,@jscottjournal,game,story,city,police,says,|,@darrenrovell,mayor,prison,time,county,@museummouth,board,butler,case,charges,check,delivered,died,home,last,local,new
2017-01-27,CO,brings
2017-01-27,CA,ksfomorningshow,netflix,2nd,@560ks\xe2\x80\xa6,@920kvec,@brian_sussman,@patmaymerc,@the__sicilian,admit,america,android,barnett,birthday,carnage,continues,danger,fairfield,fakenews,hacked,highway,hillary,joins,kittens,koby,ksfo
2017-01-27,AL,@audioboom,talladega,01/27,sylacauga,via,hour,talk995,city,alabama,holds,huntsville,m&amp;a,pell,utilities,utility,board,police,01/26,2nd,@aunielindenberg,@mattmurphyshow,aswa,author,boys,candidate
2017-01-27,AR,arkansas,governor,disabled,list,reduce,sent,waiting,bill,$35,3rd,bag,banker,beaty,bentonville-bella,boosting,breathe,changes,crossett,deck,factories,fined,funny,growth,ha,hey...are
2017-01-27,VT,vermont,suncmtynews,days,magazine,state,business,police,|,budget,made,orders,pond,toffee,vpr,vt,year,@vnewsuv,\xc2\xbb,amber,annual,availability,awesome,catch,commentary,could
2017-01-27,IA,january,see,issue,iowa,art,county,@briabellkcau,@catholicglobe,accident,building,cities,insurance,raider,city,first,near,thursday,boyden,cafe,cecil\xe2\x80\x99s,court,creative,cutest,diabetes,dickinson
2017-01-27,MA,capecod,compassion,deserve,disorders,eastham,emphasize,america,great
2017-01-27,AZ,@jp2catholicaz,\xe2\x80\x93,students,via,green,education,st,@sportswriter52,arizona,asu,groundbreaking,check,@bishopolmsted,@gowildua,@yavapaibaseball,benefit,fun,join,making,marchforlife,news/sahuarita,sale,sr,valley
2017-01-27,ME,$112,2-1,55-45,@bryanstackpole,@jaclyncangro,@visitmaine,abc,acadia,address,advantage,amount,appreciated,avoid
2017-01-27,MD,days,five,four,growth/learning,leadership,open,opportunities,regions,registration,baltimore,inauguration,county,@obamawhitehouse,arrested,ban,crisis,democracy,happening,heroin,md,methodist,order,protest,see
2017-01-27,OK,tedxou,updates,oklahoma,follow,@kayla_branch,speaking,@mollykruse98,@sierramrains,miami,8th,award,back,collision,currently,mph,nodapl,owasso,city,march,wrestling,@ohptraffic,ball,chocolate,cleveland,commerce
2017-01-27,OH,drive,fund,@scifri,@917wvxu,best,early,good,hip,thank,thanks,wrap,everyone,great,help,way,$11,$120,11am,98%,@alexcoolidge,@atlantafx,@billgrinehart,@cambridge_uni
2017-01-27,UT,@ap,allstartrek,meet,face,@heroesicons_tv,assault,cache,channel8,making,measures,might,named,olsen,prevent,signs,slc,spock,startrekblock,swim,trips,trump,tv,utah,utpol,vetting
2017-01-27,KS,@derby_sports,@ladypantherbb,@dhs_panthers,@mads_youn,belleville,columbus,edge,election,heights,p.m,pharmacy,special,wichita,check,college,community,people,$5,.@ladypantherbb,2nd,430-7,@kennedybrown42,@mads\xe2\x80\xa6
2017-01-27,SC,blufftontoday,accident,i-26w,ravenel,wants,west,man,near,work,10a,1p,31st,@charlieonair,@lizsegrist,\xe2\x80\x98this,across,aid,airport,arrested,ashley,assault,assisted,authority,automated
2017-01-27,KY,@archlouky,@archlouym,@ascmullaney,@catholicrelief,@ccofky,@edchoiceky,@fallonglick,@harpring_cathy,@kcadp,@pontifex,\xe2\x80\x98life,administration,america,archlouym,attend
2017-01-27,SD,dakota,south,deals,facebook,low,photo,posted,repeal,spearfish,tune,western,winter,would,city,great,27f,@chynnasdpb,@tristateneighbr,bit,building,buy,canyon,daugaard,esd,ethics
