2017-05-07,WA,seattle,cwu,@timdurkan,hill,lightning,@bittitan,@cdwgwagov,@chronmatt,@cityofrenton,@emrgncyfeeding,@rentonem,@seattlepd,awesome,capitol,cert,cool,gwawards,involved,shot,show,thank,today,win,community
2017-05-07,WI,cdt,today,may,&gt;&gt,8:00am,issued,leader-telegram,nws,racine,|,prep,two,@bheraldpromo,crosse,food,freeze,get,la,pirates,summer,warning,wkbtnews8,year,advisory,award
2017-05-07,HI,boys,competitors,halt,imua,lesson,living,maliko,paddle,raiders,takes,title,run
2017-05-07,FL,de,@bn9,@sbelsole,anclotebranch,en,s,smoke,@bn9weather,@pascosheriff,beach,cape,con,deputies,florida,juli,la,los,m\xc3\xa1s,marquez,open,pacific,sky,warmer,morning
2017-05-07,NH,$29,automotive,blades,change,cheers,d&amp;d,deal,oil,rotation,s,standard,subscribers,summer,tire,wiper
2017-05-07,NJ,$1,17-30,@cmcchamber,april,aquarian,arrests,benson,chamber,charley,dale,dave,davies,dennis,director,drba,everynight,executive,host,krieger,may,meeting,o\xe2\x80\xa6,police,ray,receives
2017-05-07,NM,fe,santa,life,street,sfr,know,series,sfr\xe2\x80\xa6,one,@matt_narvaiz,come,conference,course,dead,garcia,golf,guys,human,jesus,los,mexico,names,paul,pray,readings
2017-05-07,LA,takeemdownnola,@nicksreimann,lee,march,congo,square,circle,state,take,@bradcesak,@nopdnews,caddo,fell,lake,mike,orleans,people,shreveport,bayou,black,brusly,check,game,get
2017-05-07,NC,|,championship,police,big,check,fargo,final,hpu,wells,wins,@hpegreer,@hpemichael,de,duke,food,french,get,health,kentucky,much,news,campbell,charge,clouds,con
2017-05-07,ND,fargo,first,heidi,temperatures,today,tomorrow,werosta,80s,@jimkfgo,across,baseball,big,buildings,driver,firstwarn,glyndon,grade,honor,hpr20,inmates,kansas,late,life,meteorologist,minot
2017-05-07,NE,lincoln,marathon,highlights,mark,monday,nebraska,still,weekend,berkshire,big,burbridge,chance,class,deputy,evening,high,hope,hot,night,omaha,storm,day,school,20%
2017-05-07,NY,@jewishpress,brooklyn,new,limarathon,sentinel,says,sevenday,streets,city,free,macron,police,first,get,nyc,opinion,president,@ritacosby,@samarkhurshid,annual,history,man,may,photo
2017-05-07,RI,ask,lacrosse,@lynnarditi,championship,amy,carolyn,hax,league,man,ncaalax,stonington,woman,10-9,@gwaynemiller,@nargesbajoghli,@projo,@pubstory,@ripbs36,brown,budget,cranston,farewell,former,hurt,iran
2017-05-07,NV,el,tiempo,|,high,@carsonnow,@nwsreno,@photogeniususa,@recordcouriernv,@spann,\xe2\x80\x94,away,carsonvalley,contracts,entrepreneurs,far,la,+,=,@boulder_hs,@carenroblin,@kolo8,@kolo\xe2\x80\xa6,\xe2\x80\x93
2017-05-07,CA,$726,2-3,26th,@23abcnews,@frankbettearts,@kerncountyfire
2017-05-07,AL,@talladegasupers,geico500,talladega,auburn,ok,see,stage,state,@nascaronfox,back,follow,go,nascar,pit,superspeedway,sweep,win,1st,4th,@dalejr,@dennyhamlin,@nascar,@plainsmansports,alabama
2017-05-07,AR,arkansas,trump,nwanews,nwark,\xe2\x80\x93,fayetteville,french,high,speech,state,week,20th,@secretarysonny,case,flood,flooding,fort,france,hinges,le,limits,macron,naturals,near,pen
2017-05-07,VT,great,get,love,photoshop,webdesign,$40,action,actions,basics,bit,conservancy,course,downtime,essex,even,fill,garden,george,hazmat,lastest,learning,make,managing,media,nets
2017-05-07,ID,idahopress,@kmvtnews,@youtube,may,7th,broadford,flooding,hard,weekend,work,back,beautify,bestof2016,challenges,chukar,club,congratulations,curious,degree,deserving,excited,fantastic,far,final,flood
2017-05-07,CT,connecticut,high,lacrosse,president,school,\xe2\x80\x94,column,darien,day,good,greenwich,macron,week,new,faces,may,photos,budget,defeats,end,girls,letter,morning,plan,police
2017-05-07,ME,maine,day,may,\xe2\x80\x94,enter,great,vote,@seacoastonline,centrist,emmanuel,final,health,macron,poliquin,sister,softball,two,sunday
2017-05-07,OH,ohio,\xe2\x80\x94,ap,cleveland,cincinnati,state,athens,back,college,freeze,life,spots,today,update,video,warning,commencement,daybook,find,giants,hall,high,husted,jon
2017-05-07,UT,utah,byu,cache,jail,provo,valley,week,\xe2\x80\x94,acts,album,americana,co,crash,davis,deaths,derby,fundraiser,heather,high,impulse,inspires,kiefer,know,logan,ncaa
2017-05-07,MN,@hibbdailytrib,via,forecast,girls,today,win,@keycclark,brittney,cards,first,fishing,lake,merlot,meteorologist,opener,skies,softball,split,winds,may,7-day,another,begin,events
2017-05-07,MI,$2.1m,+,17th,@aadl,@capuchinretreat,@ford,@gm
2017-05-07,MT,bdcnews,montana,still,mtnews,opinions,kalispell,ap,killed,lgbtq,students,weather,accident,celebration,cool,describe,first,forest,freshman,honors,i-90,lavender,lawmakers,legislature,looks,motorcycle
2017-05-07,MS,djpreps,kersh,mississippi,msedu,series,three
2017-05-07,KY,county,derby,hardin,breaking,campbell,firefighter,fort,friday,frost,@thevictorpuente,charges,cold,dead,died,join,kentucky,overnight,possible,prep,shooting,sterling,tonight,u.s,05/07
2017-05-07,OR,@corbanathletics,could,french,said,state,trump,day,@bipartisan,@corbansoftball,beds,cast,ccc,chukar,donald,downs,election,field,fill,food,friday,future,getting,girls,health,hike
